"certain" "glad" "good" "great" "happy" "little" "old" "open" "pleasant" "poor" "short" "strange" "strong" "young"
"certain" 0 30 77 78 17 71 66 14 21 27 35 21 29 59
"glad" 30 0 69 62 17 73 59 21 20 26 37 14 20 46
"good" 77 69 0 184 46 193 170 51 54 80 94 53 69 154
"great" 78 62 184 0 43 178 145 49 47 72 80 46 73 131
"happy" 17 17 46 43 0 48 46 13 15 23 21 11 16 40
"little" 71 73 193 178 48 0 173 57 57 78 96 46 65 143
"old" 66 59 170 145 46 173 0 47 43 68 78 48 57 129
"open" 14 21 51 49 13 57 47 0 14 20 22 16 14 45
"pleasant" 21 20 54 47 15 57 43 14 0 18 28 10 11 38
"poor" 27 26 80 72 23 78 68 20 18 0 34 21 28 65
"short" 35 37 94 80 21 96 78 22 28 34 0 31 33 74
"strange" 21 14 53 46 11 46 48 16 10 21 31 0 22 40
"strong" 29 20 69 73 16 65 57 14 11 28 33 22 0 50
"young" 59 46 154 131 40 143 129 45 38 65 74 40 50 0
