"certain" "good" "great" "hard" "little" "old" "open" "poor" "quiet" "short" "strong" "young"
"certain" 0 16 15 1 16 17 7 7 6 9 5 11
"good" 16 0 51 15 70 52 21 31 14 23 32 31
"great" 15 51 0 11 60 46 19 26 18 20 32 30
"hard" 1 15 11 0 20 15 7 11 5 8 7 10
"little" 16 70 60 20 0 58 25 35 19 26 34 38
"old" 17 52 46 15 58 0 24 27 15 17 30 30
"open" 7 21 19 7 25 24 0 11 4 10 14 10
"poor" 7 31 26 11 35 27 11 0 8 6 19 17
"quiet" 6 14 18 5 19 15 4 8 0 5 9 9
"short" 9 23 20 8 26 17 10 6 5 0 11 11
"strong" 5 32 32 7 34 30 14 19 9 11 0 18
"young" 11 31 30 10 38 30 10 17 9 11 18 0
