"agreeable" "anxious" "certain" "fine" "glad" "good" "great" "happy" "little" "natural" "old" "open" "pleased" "poor" "short" "strong" "young"
"agreeable" 0 4 4 3 8 16 15 9 10 4 5 1 8 2 7 5 9
"anxious" 4 0 4 4 7 17 17 10 14 6 7 4 6 2 3 7 11
"certain" 4 4 0 3 10 15 15 11 19 6 4 12 4 10 10 4 15
"fine" 3 4 3 0 7 13 14 8 11 4 5 7 4 6 7 2 10
"glad" 8 7 10 7 0 28 25 19 24 4 11 5 12 10 13 6 17
"good" 16 17 15 13 28 0 58 44 56 19 26 20 15 21 25 18 41
"great" 15 17 15 14 25 58 0 41 57 18 23 17 14 17 23 15 34
"happy" 9 10 11 8 19 44 41 0 38 13 15 19 11 12 17 10 25
"little" 10 14 19 11 24 56 57 38 0 22 25 16 16 21 28 15 39
"natural" 4 6 6 4 4 19 18 13 22 0 8 6 7 7 8 8 17
"old" 5 7 4 5 11 26 23 15 25 8 0 4 6 7 10 5 15
"open" 1 4 12 7 5 20 17 19 16 6 4 0 2 8 6 3 11
"pleased" 8 6 4 4 12 15 14 11 16 7 6 2 0 4 11 5 12
"poor" 2 2 10 6 10 21 17 12 21 7 7 8 4 0 10 4 17
"short" 7 3 10 7 13 25 23 17 28 8 10 6 11 10 0 7 20
"strong" 5 7 4 2 6 18 15 10 15 8 5 3 5 4 7 0 13
"young" 9 11 15 10 17 41 34 25 39 17 15 11 12 17 20 13 0
