"bright" "certain" "cold" "glad" "good" "great" "little" "old" "open" "poor" "quiet" "short" "strong" "young"
"bright" 0 11 19 14 42 43 43 45 12 27 16 19 19 20
"certain" 11 0 12 11 42 49 44 37 13 19 11 19 20 25
"cold" 19 12 0 11 34 35 35 36 16 19 10 18 13 18
"glad" 14 11 11 0 39 38 30 30 12 24 9 19 9 21
"good" 42 42 34 39 0 152 136 128 47 68 44 53 58 86
"great" 43 49 35 38 152 0 141 131 51 69 44 58 65 85
"little" 43 44 35 30 136 141 0 120 42 67 41 54 55 75
"old" 45 37 36 30 128 131 120 0 40 53 44 46 56 76
"open" 12 13 16 12 47 51 42 40 0 19 16 19 13 26
"poor" 27 19 19 24 68 69 67 53 19 0 20 29 27 41
"quiet" 16 11 10 9 44 44 41 44 16 20 0 15 20 23
"short" 19 19 18 19 53 58 54 46 19 29 15 0 23 34
"strong" 19 20 13 9 58 65 55 56 13 27 20 23 0 31
"young" 20 25 18 21 86 85 75 76 26 41 23 34 31 0
