"bad" "good" "great" "little" "old" "poor" "quiet" "short" "young"
"bad" 0 18 12 22 13 14 4 8 16
"good" 18 0 43 61 37 26 20 19 39
"great" 12 43 0 48 33 18 15 17 33
"little" 22 61 48 0 42 28 22 20 40
"old" 13 37 33 42 0 19 14 10 25
"poor" 14 26 18 28 19 0 9 9 17
"quiet" 4 20 15 22 14 9 0 8 13
"short" 8 19 17 20 10 9 8 0 10
"young" 16 39 33 40 25 17 13 10 0
