"cold" "fine" "good" "great" "happy" "little" "loud" "old" "open" "poor" "short" "young"
"cold" 0 16 44 46 19 44 16 48 17 16 25 35
"fine" 16 0 41 44 9 46 11 48 18 10 16 34
"good" 44 41 0 156 46 152 36 146 43 36 78 118
"great" 46 44 156 0 45 168 43 163 52 38 84 125
"happy" 19 9 46 45 0 44 12 44 11 15 18 32
"little" 44 46 152 168 44 0 41 157 55 53 75 123
"loud" 16 11 36 43 12 41 0 40 15 10 22 31
"old" 48 48 146 163 44 157 40 0 53 47 80 124
"open" 17 18 43 52 11 55 15 53 0 11 28 41
"poor" 16 10 36 38 15 53 10 47 11 0 19 37
"short" 25 16 78 84 18 75 22 80 28 19 0 63
"young" 35 34 118 125 32 123 31 124 41 37 63 0
