"afraid" "agreeable" "bad" "glad" "good" "great" "happy" "kind" "little" "natural" "old" "pleased" "poor" "proper" "satisfied" "short" "strong" "young"
"afraid" 0 6 11 11 37 36 28 14 40 9 19 12 22 11 9 13 5 31
"agreeable" 6 0 7 15 34 29 18 7 30 10 12 12 16 9 8 10 10 26
"bad" 11 7 0 11 27 34 20 8 33 8 14 5 16 6 12 11 9 20
"glad" 11 15 11 0 32 34 25 9 37 7 15 12 14 7 5 10 8 23
"good" 37 34 27 32 0 98 68 27 106 28 47 28 52 27 29 42 25 79
"great" 36 29 34 34 98 0 70 36 105 33 50 28 56 27 28 39 30 72
"happy" 28 18 20 25 68 70 0 24 69 20 35 19 38 18 17 25 14 50
"kind" 14 7 8 9 27 36 24 0 32 14 16 10 20 8 9 13 10 27
"little" 40 30 33 37 106 105 69 32 0 36 49 30 57 33 33 44 31 80
"natural" 9 10 8 7 28 33 20 14 36 0 16 8 19 12 8 14 11 23
"old" 19 12 14 15 47 50 35 16 49 16 0 13 29 14 14 16 13 32
"pleased" 12 12 5 12 28 28 19 10 30 8 13 0 12 13 7 16 3 22
"poor" 22 16 16 14 52 56 38 20 57 19 29 12 0 18 17 24 11 37
"proper" 11 9 6 7 27 27 18 8 33 12 14 13 18 0 11 10 7 23
"satisfied" 9 8 12 5 29 28 17 9 33 8 14 7 17 11 0 9 8 23
"short" 13 10 11 10 42 39 25 13 44 14 16 16 24 10 9 0 11 30
"strong" 5 10 9 8 25 30 14 10 31 11 13 3 11 7 8 11 0 20
"young" 31 26 20 23 79 72 50 27 80 23 32 22 37 23 23 30 20 0
