"alone" "bright" "certain" "good" "great" "hard" "little" "old" "open" "poor" "quiet" "short" "strange" "strong" "young"
"alone" 0 7 4 14 11 4 17 9 7 8 6 5 4 3 10
"bright" 7 0 5 19 14 7 21 11 5 12 4 8 7 6 12
"certain" 4 5 0 17 11 7 21 14 8 8 2 6 7 6 10
"good" 14 19 17 0 39 14 55 33 21 25 15 18 10 17 38
"great" 11 14 11 39 0 13 39 21 15 23 10 15 8 8 25
"hard" 4 7 7 14 13 0 18 8 6 10 4 5 5 1 11
"little" 17 21 21 55 39 18 0 35 22 33 17 24 18 16 50
"old" 9 11 14 33 21 8 35 0 11 18 11 12 12 9 25
"open" 7 5 8 21 15 6 22 11 0 12 5 5 5 6 14
"poor" 8 12 8 25 23 10 33 18 12 0 7 12 11 6 22
"quiet" 6 4 2 15 10 4 17 11 5 7 0 8 4 6 14
"short" 5 8 6 18 15 5 24 12 5 12 8 0 4 6 14
"strange" 4 7 7 10 8 5 18 12 5 11 4 4 0 3 10
"strong" 3 6 6 17 8 1 16 9 6 6 6 6 3 0 14
"young" 10 12 10 38 25 11 50 25 14 22 14 14 10 14 0
