"good" "great" "little" "old" "poor" "strong" "surprised" "young"
"good" 0 77 70 20 24 19 23 22
"great" 77 0 90 23 30 28 27 27
"little" 70 90 0 25 28 29 22 23
"old" 20 23 25 0 9 7 5 16
"poor" 24 30 28 9 0 9 11 8
"strong" 19 28 29 7 9 0 6 8
"surprised" 23 27 22 5 11 6 0 10
"young" 22 27 23 16 8 8 10 0
