"bad" "excellent" "good" "great" "ignorant" "little" "open" "rich" "short" "wise" "young"
"bad" 0 1 5 7 0 6 1 3 1 1 2
"excellent" 1 0 5 6 0 5 1 2 1 1 1
"good" 5 5 0 16 5 15 5 7 6 2 8
"great" 7 6 16 0 5 17 6 7 6 5 6
"ignorant" 0 0 5 5 0 4 2 2 1 1 1
"little" 6 5 15 17 4 0 6 8 5 6 4
"open" 1 1 5 6 2 6 0 2 2 2 2
"rich" 3 2 7 7 2 8 2 0 3 3 2
"short" 1 1 6 6 1 5 2 3 0 3 4
"wise" 1 1 2 5 1 6 2 3 3 0 2
"young" 2 1 8 6 1 4 2 2 4 2 0
