"glad" "good" "great" "happy" "little" "old" "poor" "short" "young"
"glad" 0 61 53 24 73 48 32 24 47
"good" 61 0 181 68 254 170 103 67 129
"great" 53 181 0 62 220 156 88 70 112
"happy" 24 68 62 0 77 59 41 21 43
"little" 73 254 220 77 0 209 119 89 153
"old" 48 170 156 59 209 0 80 60 105
"poor" 32 103 88 41 119 80 0 31 65
"short" 24 67 70 21 89 60 31 0 40
"young" 47 129 112 43 153 105 65 40 0
