"extraordinary" "good" "great" "happy" "little" "old" "open" "poor" "short" "strong" "young"
"extraordinary" 0 48 61 18 54 41 13 27 27 13 50
"good" 48 0 169 55 187 132 41 99 74 43 141
"great" 61 169 0 59 209 145 53 109 90 49 164
"happy" 18 55 59 0 64 45 8 36 34 16 50
"little" 54 187 209 64 0 167 57 118 93 52 171
"old" 41 132 145 45 167 0 41 87 72 38 125
"open" 13 41 53 8 57 41 0 22 24 15 33
"poor" 27 99 109 36 118 87 22 0 48 26 91
"short" 27 74 90 34 93 72 24 48 0 16 74
"strong" 13 43 49 16 52 38 15 26 16 0 46
"young" 50 141 164 50 171 125 33 91 74 46 0
