"alone" "ashamed" "cruel" "fine" "glad" "good" "great" "happy" "little" "old" "pleased" "poor" "short" "strange" "surprised" "unhappy" "young"
"alone" 0 5 7 3 8 17 17 7 12 5 9 7 9 7 7 6 11
"ashamed" 5 0 6 8 9 21 26 7 12 7 11 9 17 5 10 4 10
"cruel" 7 6 0 7 5 21 22 7 16 7 5 8 6 4 8 6 16
"fine" 3 8 7 0 11 20 15 9 16 5 9 7 5 4 3 1 15
"glad" 8 9 5 11 0 27 29 10 29 12 14 8 14 11 9 4 24
"good" 17 21 21 20 27 0 63 25 51 23 17 27 33 20 18 16 48
"great" 17 26 22 15 29 63 0 23 52 29 25 29 35 17 31 18 46
"happy" 7 7 7 9 10 25 23 0 18 7 9 9 13 10 14 4 19
"little" 12 12 16 16 29 51 52 18 0 17 15 20 28 23 20 20 47
"old" 5 7 7 5 12 23 29 7 17 0 10 13 9 5 8 5 14
"pleased" 9 11 5 9 14 17 25 9 15 10 0 12 11 8 11 3 17
"poor" 7 9 8 7 8 27 29 9 20 13 12 0 11 6 11 8 18
"short" 9 17 6 5 14 33 35 13 28 9 11 11 0 10 17 15 20
"strange" 7 5 4 4 11 20 17 10 23 5 8 6 10 0 6 7 21
"surprised" 7 10 8 3 9 18 31 14 20 8 11 11 17 6 0 7 23
"unhappy" 6 4 6 1 4 16 18 4 20 5 3 8 15 7 7 0 17
"young" 11 10 16 15 24 48 46 19 47 14 17 18 20 21 23 17 0
