"afraid" "glad" "good" "great" "happy" "little" "old" "poor" "short" "young"
"afraid" 0 25 57 63 28 84 69 32 39 41
"glad" 25 0 66 67 36 88 70 27 28 42
"good" 57 66 0 164 84 225 176 92 78 100
"great" 63 67 164 0 68 205 161 76 67 108
"happy" 28 36 84 68 0 102 83 40 38 43
"little" 84 88 225 205 102 0 230 118 104 130
"old" 69 70 176 161 83 230 0 91 83 101
"poor" 32 27 92 76 40 118 91 0 45 51
"short" 39 28 78 67 38 104 83 45 0 47
"young" 41 42 100 108 43 130 101 51 47 0
