"certain" "cold" "good" "great" "happy" "little" "old" "open" "poor" "short" "strange" "strong" "young"
"certain" 0 10 39 45 12 46 41 8 22 23 6 15 22
"cold" 10 0 33 36 16 47 45 19 27 22 10 16 17
"good" 39 33 0 119 42 139 125 41 66 61 38 43 73
"great" 45 36 119 0 37 141 130 42 62 70 37 39 72
"happy" 12 16 42 37 0 50 51 22 25 20 12 15 28
"little" 46 47 139 141 50 0 164 56 85 80 41 49 89
"old" 41 45 125 130 51 164 0 53 77 68 45 40 79
"open" 8 19 41 42 22 56 53 0 30 23 16 13 30
"poor" 22 27 66 62 25 85 77 30 0 30 19 21 42
"short" 23 22 61 70 20 80 68 23 30 0 20 24 34
"strange" 6 10 38 37 12 41 45 16 19 20 0 14 20
"strong" 15 16 43 39 15 49 40 13 21 24 14 0 29
"young" 22 17 73 72 28 89 79 30 42 34 20 29 0
