"bad" "certain" "good" "great" "little" "old" "open" "poor" "short" "young"
"bad" 0 23 56 36 62 45 23 28 18 28
"certain" 23 0 69 45 79 63 21 28 30 41
"good" 56 69 0 99 184 120 48 79 63 89
"great" 36 45 99 0 121 85 31 55 35 55
"little" 62 79 184 121 0 150 57 109 79 108
"old" 45 63 120 85 150 0 42 70 51 71
"open" 23 21 48 31 57 42 0 28 16 28
"poor" 28 28 79 55 109 70 28 0 35 51
"short" 18 30 63 35 79 51 16 35 0 38
"young" 28 41 89 55 108 71 28 51 38 0
