"afraid" "anxious" "charming" "delightful" "fine" "glad" "good" "great" "handsome" "happy" "little" "old" "open" "poor" "short" "strange" "young"
"afraid" 0 2 1 6 5 5 13 11 4 4 10 5 4 5 5 3 12
"anxious" 2 0 3 3 7 3 7 10 3 6 10 4 4 3 6 5 7
"charming" 1 3 0 3 4 3 10 8 5 7 10 5 1 1 6 2 10
"delightful" 6 3 3 0 5 4 17 16 6 10 14 7 5 5 8 2 11
"fine" 5 7 4 5 0 7 18 16 7 11 17 11 5 6 9 3 14
"glad" 5 3 3 4 7 0 15 13 2 11 17 9 6 7 10 6 14
"good" 13 7 10 17 18 15 0 39 15 27 40 18 12 16 25 13 33
"great" 11 10 8 16 16 13 39 0 12 26 40 17 10 14 21 14 31
"handsome" 4 3 5 6 7 2 15 12 0 8 10 7 2 1 7 2 11
"happy" 4 6 7 10 11 11 27 26 8 0 27 9 8 10 17 6 19
"little" 10 10 10 14 17 17 40 40 10 27 0 16 12 18 23 12 33
"old" 5 4 5 7 11 9 18 17 7 9 16 0 4 5 13 6 14
"open" 4 4 1 5 5 6 12 10 2 8 12 4 0 5 9 3 9
"poor" 5 3 1 5 6 7 16 14 1 10 18 5 5 0 13 9 12
"short" 5 6 6 8 9 10 25 21 7 17 23 13 9 13 0 8 16
"strange" 3 5 2 2 3 6 13 14 2 6 12 6 3 9 8 0 7
"young" 12 7 10 11 14 14 33 31 11 19 33 14 9 12 16 7 0
