"certain" "glad" "good" "great" "little" "old" "poor" "short" "young"
"certain" 0 25 59 47 72 52 32 28 32
"glad" 25 0 55 45 61 45 30 17 29
"good" 59 55 0 158 224 154 112 66 92
"great" 47 45 158 0 195 132 94 60 78
"little" 72 61 224 195 0 184 128 81 108
"old" 52 45 154 132 184 0 97 57 74
"poor" 32 30 112 94 128 97 0 32 50
"short" 28 17 66 60 81 57 32 0 36
"young" 32 29 92 78 108 74 50 36 0
