"Sense_and_Sensibility"
"49"
"0"
"910"
"119.846153846154"
"0.000821994833882017"
"0.674964368343353"
"Sense_and_Sensibility"
"49"
"0"
"910"
"119.846153846154"
"0.000821994833882017"
"0.674964368343353"
"Sense_and_Sensibility"
"27"
"0"
"1185"
"136.705882352941"
"0.000684059650446074"
"0.631572961807251"
