"Frankenstein"
"37"
"0"
"602"
"113.777777777778"
"0.00110829820381232"
"0.735472142696381"
"Frankenstein"
"29"
"0"
"888"
"104.833333333333"
"0.000819639426089429"
"0.591408252716064"
