"care::heavy";"care::trim"
"anno_domini::dutiful";"anno_domini::meek"
"dombey::weak";"paul::weak"
"louisa::bland";"mrs_chick_paul::bland"
"miss_tox::fast";"miss_tox::particular"
"miss_tox::fast";"paul::fast"
"miss_tox::fast";"paul::particular"
"miss_tox::particular";"paul::fast"
"miss_tox::particular";"paul::particular"
"paul::fast";"paul::particular"
"miss_tox::general";"paul::general"
"miss_tox::spasmodic";"paul::spasmodic"
"miss_tox::invincible";"paul::invincible"
"tox::certain";"tox::genteel"
"louisa::sweet";"mrs_chick::sweet"
"louisa::sweet";"tox::sweet"
"mrs_chick::sweet";"tox::sweet"
"paul::general";"paul::natural"
"mrs_chick::good-natured";"mrs_chick::weak"
"mrs_chick::christian";"mrs_chick::sweet"
"mrs_chick::particular";"mrs_chick::pleasant"
"dombey::soft";"paul::soft"
"mrs_chick::general";"mrs_chick::sanguine"
"johnny::original";"louisa::original"
"johnny::original";"tox::original"
"louisa::original";"tox::original"
"mrs_chick::emphatic";"polly::emphatic"
"dombey::natural";"dombey::strong"
"dombey::natural";"toodle::natural"
"dombey::natural";"toodle::strong"
"dombey::strong";"toodle::natural"
"dombey::strong";"toodle::strong"
"toodle::natural";"toodle::strong"
"biler::#-true";"steamingine::#-true"
"richards::easy";"richards::natural"
"miss_tox::matronly";"mrs_chick::matronly"
"louisa::sure";"tox::sure"
"dombey::captious";"dombey::domestic"
"mrs_chick::melancholy";"paul_dombey::melancholy"
"mrs_chick::melancholy";"paul::melancholy"
"mrs_chick::melancholy";"tox::melancholy"
"paul_dombey::melancholy";"paul::melancholy"
"paul_dombey::melancholy";"tox::melancholy"
"paul::melancholy";"tox::melancholy"
"floy::deliberate";"mrs_richards::deliberate"
"floy::deliberate";"susan_nipper::deliberate"
"mrs_richards::deliberate";"susan_nipper::deliberate"
"mrs_richards::free";"susan::free"
"floy::sweet";"richards::sweet"
"polly::matter-of-fact";"polly::sober"
"polly::matter-of-fact";"toodle::matter-of-fact"
"polly::matter-of-fact";"toodle::sober"
"polly::sober";"toodle::matter-of-fact"
"polly::sober";"toodle::sober"
"toodle::matter-of-fact";"toodle::sober"
"polly::constant";"toodle::constant"
"dombey::careless";"paul::careless"
"dombey::careless";"richards::careless"
"paul::careless";"richards::careless"
"polly::cheerful";"polly::lively"
"dombey::mute";"polly::mute"
"paul::timid";"polly::timid"
"nipper::enthusiastic";"nipper::free"
"uncle_sol::clean";"uncle_sol::solemn"
"mile-end_turnpike::true";"solomon::true"
"uncle::diligent";"uncle::steady"
"john_brown::second";"uncle::second"
"cuttle::silent";"walter::silent"
"dombey::natural";"tox::natural"
"kirby::domestic";"tox::domestic"
"richards::heavy";"tox::heavy"
"dombey::active";"dombey::airy"
"dombey::active";"richards::active"
"dombey::active";"richards::airy"
"dombey::active";"tox::active"
"dombey::active";"tox::airy"
"dombey::airy";"richards::active"
"dombey::airy";"richards::airy"
"dombey::airy";"tox::active"
"dombey::airy";"tox::airy"
"richards::active";"richards::airy"
"richards::active";"tox::active"
"richards::active";"tox::airy"
"richards::airy";"tox::active"
"richards::airy";"tox::airy"
"tox::active";"tox::airy"
"paul::sure";"tox::sure"
"paul::acceptable";"tox::acceptable"
"mrs_chick::true";"paul::true"
"dombey::haughty";"dombey::second"
"mrs_chick::social";"mrs_chick::wry"
"mrs_chick::social";"susan_nipper::social"
"mrs_chick::social";"susan_nipper::wry"
"mrs_chick::social";"tox::social"
"mrs_chick::social";"tox::wry"
"mrs_chick::wry";"susan_nipper::social"
"mrs_chick::wry";"susan_nipper::wry"
"mrs_chick::wry";"tox::social"
"mrs_chick::wry";"tox::wry"
"susan_nipper::social";"susan_nipper::wry"
"susan_nipper::social";"tox::social"
"susan_nipper::social";"tox::wry"
"susan_nipper::wry";"tox::social"
"susan_nipper::wry";"tox::wry"
"tox::social";"tox::wry"
"mrs_chick::curious";"paul::curious"
"florence::bold";"mrs_chick::bold"
"florence::bold";"richards::bold"
"mrs_chick::bold";"richards::bold"
"richards::loving";"richards::silent"
"nipper::conscientious";"nipper::severe"
"dombey::heavy";"dombey::stiff"
"dombey::joyful";"louisa::joyful"
"dombey::joyful";"mrs_chick::joyful"
"dombey::joyful";"paul::joyful"
"louisa::joyful";"mrs_chick::joyful"
"louisa::joyful";"paul::joyful"
"mrs_chick::joyful";"paul::joyful"
"dombey::#-sensible";"john::#-sensible"
"dombey::#-sensible";"louisa::#-sensible"
"dombey::#-sensible";"mrs_chick::#-sensible"
"dombey::#-sensible";"paul::#-sensible"
"john::#-sensible";"louisa::#-sensible"
"john::#-sensible";"mrs_chick::#-sensible"
"john::#-sensible";"paul::#-sensible"
"louisa::#-sensible";"mrs_chick::#-sensible"
"louisa::#-sensible";"paul::#-sensible"
"mrs_chick::#-sensible";"paul::#-sensible"
"richards::active";"susan_nipper::active"
"chick::awkward";"chick::honest"
"mrs_chick::open";"tox::open"
"dombey::cold";"dombey::gentlemanly"
"chick::majestic";"dombey::majestic"
"pitt::cold";"pitt::social"
"john::cold";"mr_chick::cold"
"dombey::severe";"john::severe"
"dombey::emphatic";"dombey::expressive"
"dombey::emphatic";"louisa::emphatic"
"dombey::emphatic";"louisa::expressive"
"dombey::emphatic";"mrs_chick::emphatic"
"dombey::emphatic";"mrs_chick::expressive"
"dombey::emphatic";"tox::emphatic"
"dombey::emphatic";"tox::expressive"
"dombey::expressive";"louisa::emphatic"
"dombey::expressive";"louisa::expressive"
"dombey::expressive";"mrs_chick::emphatic"
"dombey::expressive";"mrs_chick::expressive"
"dombey::expressive";"tox::emphatic"
"dombey::expressive";"tox::expressive"
"louisa::emphatic";"louisa::expressive"
"louisa::emphatic";"mrs_chick::emphatic"
"louisa::emphatic";"mrs_chick::expressive"
"louisa::emphatic";"tox::emphatic"
"louisa::emphatic";"tox::expressive"
"louisa::expressive";"mrs_chick::emphatic"
