"" "anno_domini::windy" "antoine::bitter" "antoine::familiar" "antoine::unhappy" "antoine::watchful" "attorney-general::grave" "attorney-general::quiet" "bailey_spi::sure" "bailey::honest" "barsad::affectionate" "barsad::genteel" "barsad::treacherous" "barsad::unblushing" "beauvais::vain" "brutus::cavalier" "brutus::limp" "brutus::loud" "brutus::original" "brutus::voluble" "bully_stryver::worldly" "carton::close" "carton::unhappy" "charles_darnay::#-easy" "charles_darnay::cautious" "charles_darnay::compassionate" "charles_darnay::congratulatory" "charles_darnay::general" "charles_darnay::grave" "charles_darnay::quiet" "charles_darnay::resigned" "charles_darnay::serene" "charles_darnay::straight" "charles_darnay::uncertain" "charles_darnay::urgent" "charles_evremonde::honest" "charles_evremonde::rough" "charles_evremonde::turbulent" "charles::cheerful" "charles::confident" "charles::matter-of-fact" "charles::melancholy" "charles::steady" "charles::strict" "charles::strong" "charles::thoughtful" "cly::general" "cly::straight" "cly::virtuous" "cook::strong" "cruncher::cavalier" "cruncher::clean" "cruncher::general" "cruncher::honest" "cruncher::industrious" "cruncher::just" "cruncher::limp" "cruncher::moderate" "cruncher::orderly" "cruncher::serious" "cruncher::stiff" "cruncher::straight" "cruncher::sure" "cruncher::vain" "damiens::eager" "damiens::open" "darnay::clean" "darnay::close" "darnay::gloomy" "darnay::honest" "darnay::mournful" "darnay::natural" "darnay::open" "darnay::patriotic" "darnay::peevish" "darnay::sure" "darnay::sweet" "defarge::certain" "defarge::exact" "defarge::familiar" "defarge::gloomy" "defarge::gruff" "defarge::military" "defarge::rough" "defarge::steep" "defarge::true" "defarge::watchful" "evremonde::original" "evremonde::patriotic" "fancy_ball::close" "farmer::traitorous" "gabelle::honest" "gabelle::impatient" "gabelle::swift" "jacques_three::croaking" "jacques_three::gloomy" "jacques::certain" "jacques::eager" "jarvis_lorry::certain" "jarvis::cold" "jarvis::courageous" "jarvis::honest" "jarvis::restless" "jarvis::strong" "jerry::acute" "jerry::cunning" "jerry::grave" "jerry::gruff" "jerry::windy" "john_solomon::sudden" "juryman::fearless" "juryman::shrewd" "la_guillotine::gloomy" "leonora::swift" "lorry::cheery" "lorry::congratulatory" "lorry::contentious" "lorry::curious" "lorry::delicate" "lorry::demonstrative" "lorry::discreet" "lorry::earnest" "lorry::fanciful" "lorry::fearful" "lorry::fervent" "lorry::free" "lorry::fresh" "lorry::general" "lorry::gloomy" "lorry::heartless" "lorry::heavy" "lorry::honest" "lorry::impetuous" "lorry::intimate" "lorry::methodical" "lorry::observant" "lorry::open" "lorry::peevish" "lorry::pleasant" "lorry::quiet" "lorry::simple" "lorry::slow" "lorry::stern" "lorry::strong" "lorry::submissive" "lorry::sure" "lorry::sweet" "lorry::vain" "lucie_manette::compassionate" "lucie_manette::congratulatory" "lucie_manette::sad" "lucie::cheerful" "lucie::confident" "lucie::easy" "lucie::energetic" "lucie::fervent" "lucie::formal" "lucie::natural" "lucie::persistent" "lucie::pleasant" "lucie::quiet" "lucie::straight" "madame_defarge::cold" "madame_defarge::confident" "madame_defarge::familiar" "madame_defarge::genteel" "madame_defarge::malevolent" "madame_defarge::sudden" "madame_defarge::watchful" "manette::bold" "manette::congratulatory" "manette::explicit" "manette::faithful" "manette::familiar" "manette::feminine" "manette::formal" "manette::grave" "manette::helpless" "manette::hopeful" "manette::moderate" "manette::stolid" "marquis::generous" "monseigneur::general" "monsieur_orleans::dainty" "monsieur_the_marquis::loud" "monsieur_the_marquis::slow" "pross::affectionate" "pross::cold" "pross::curious" "pross::friendly" "pross::gracious" "pross::heartless" "pross::loud" "pross::original" "pross::tight" "pross::unkind" "ranelagh::formal" "stryver::animated" "stryver::busy" "stryver::forensic" "stryver::intimate" "stryver::irresolute" "stryver::reckless" "stryver::silent" "tellson::acute" "tellson::cold" "tellson::courageous" "young_jerry::gentle" "young_jerry::second" "young_jerry::sudden" "cruncher::windy" "madame_defarge::bitter" "manette::watchful" "gaspard::unhappy" "jerry::quiet" "jerry::sure" "jerry::honest" "monsieur::genteel" "pitt::treacherous" "stryver::unblushing" "monsieur_manette::vain" "pross::cavalier" "pross::limp" "pross::voluble" "darnay::worldly" "carton::reproachful" "manette::unhappy" "charles_darnay::fresh" "manette::cautious" "charles_darnay::soft" "stryver::congratulatory" "pross::general" "charles_darnay::selfish" "lewis::serene" "pross::straight" "tellson::uncertain" "manette::urgent" "darnay::turbulent" "darnay::rough" "lorry::cheerful" "pross::matter-of-fact" "lorry::melancholy" "lorry::strict" "charles::weak" "darnay::thoughtful" "jerry::general" "jerry::straight" "cly::watchful" "cook::sullen" "cruncher::domestic" "cruncher::sarcastic" "cruncher::strong" "cruncher::sufficient" "pross::just" "lorry::moderate" "lorry::serious" "cruncher::sudden" "pross::sure" "pross::vain" "jacques::open" "lorry::clean" "gabelle::close" "darnay::reproachful" "manette::natural" "lucie_manette::open" "gabelle::patriotic" "madame_defarge::certain" "lorry::exact" "jacques_three::steep" "lorry::gruff" "monsieur::military" "jacques_three::rough" "ma'amselle_manette::true" "evremonde::stolid" "fancy_ball::swift" "woodman::traitorous" "gabelle::sure" "monsieur_gabelle::impatient" "monsieur_gabelle::swift" "jacques_three::restless" "jarvis_lorry::sunny" "jarvis::subtle" "tellson::honest" "tellson::strong" "tellson::windy" "jerry::fresh" "solomon_john::sudden" "juryman::strong" "la_guillotine::sudden" "tellson::cheery" "stryver::contentious" "manette::curious" "pross::simple" "lorry::feminine" "lorry::friendly" "stryver::discreet" "manette::earnest" "lorry::true" "lorry::quick" "monsieur_defarge::free" "lorry::handsome" "solomon::heartless" "lorry::second" "pross::honest" "manette::impetuous" "tellson::intimate" "lorry::neat" "stryver::methodical" "lorry::weak" "pross::pleasant" "lucie::sweet" "monsieur_defarge::slow" "monsieur_defarge::stern" "lorry::tight" "lorry::uncertain" "manette::strong" "monsieur_defarge::submissive" "lucie_manette::sweet" "manette::sad" "pross::cheerful" "lucie::steady" "lucie::strong" "madame_defarge::easy" "pross::energetic" "pross::formal" "stryver::quiet" "madame_defarge::sensitive" "madame_defarge::supple" "pross::malevolent" "pross::sudden" "manette::cool" "stryver::explicit" "manette::straightforward" "manette::headless" "stryver::formal" "manette::mournful" "manette::open" "manette::sudden" "manette::scientific" "tellson::stolid" "monsieur::generous" "monseigneur::particular" "monsieur_paris::dainty" "monsieur_the_marquis::stable" "monsieur_the_marquis::sure" "pross::loving" "pross::open" "solomon::friendly" "pross::sweet" "solomon::unkind" "stryver::purposeless" "stryver::sensitive" "stryver::general" "stryver::strong" "stryver::sullen" "young_jerry::superstitious"
"anno_domini::windy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::bitter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::familiar" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::unhappy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::watchful" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"attorney-general::grave" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"attorney-general::quiet" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bailey_spi::sure" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bailey::honest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"barsad::affectionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
