"anne_page::stable";"hugh_evans::stable"
"anne_page::careful";"hugh_evans::careful"
"henry_the_eighth::certain";"queen_elizabeth::certain"
"willet::mute";"willet::silent"
"phil_parkes::general";"phil_parkes::restless"
"phil_parkes::general";"tom_cobb::general"
"phil_parkes::general";"tom_cobb::restless"
"phil_parkes::restless";"tom_cobb::general"
"phil_parkes::restless";"tom_cobb::restless"
"tom_cobb::general";"tom_cobb::restless"
"joe::tough";"parkes::tough"
"john_willet::irreverent";"natur::irreverent"
"geoffrey::heavy";"geoffrey::impatient"
"geoffrey::heavy";"john_willet::heavy"
"geoffrey::heavy";"john_willet::impatient"
"geoffrey::heavy";"reuben_haredale::heavy"
"geoffrey::heavy";"reuben_haredale::impatient"
"geoffrey::heavy";"solomon_daisy::heavy"
"geoffrey::heavy";"solomon_daisy::impatient"
"geoffrey::impatient";"john_willet::heavy"
"geoffrey::impatient";"john_willet::impatient"
"geoffrey::impatient";"reuben_haredale::heavy"
"geoffrey::impatient";"reuben_haredale::impatient"
"geoffrey::impatient";"solomon_daisy::heavy"
"geoffrey::impatient";"solomon_daisy::impatient"
"john_willet::heavy";"john_willet::impatient"
"john_willet::heavy";"reuben_haredale::heavy"
"john_willet::heavy";"reuben_haredale::impatient"
"john_willet::heavy";"solomon_daisy::heavy"
"john_willet::heavy";"solomon_daisy::impatient"
"john_willet::impatient";"reuben_haredale::heavy"
"john_willet::impatient";"reuben_haredale::impatient"
"john_willet::impatient";"solomon_daisy::heavy"
"john_willet::impatient";"solomon_daisy::impatient"
"reuben_haredale::heavy";"reuben_haredale::impatient"
"reuben_haredale::heavy";"solomon_daisy::heavy"
"reuben_haredale::heavy";"solomon_daisy::impatient"
"reuben_haredale::impatient";"solomon_daisy::heavy"
"reuben_haredale::impatient";"solomon_daisy::impatient"
"solomon_daisy::heavy";"solomon_daisy::impatient"
"haredale::lonely";"solomon::lonely"
"haredale::lonely";"warren::lonely"
"solomon::lonely";"warren::lonely"
"daisy::keen";"daisy::strong"
"joe::silent";"solomon::silent"
"joe::bold";"joe::mettlesome"
"joe::bold";"joe::steady"
"joe::mettlesome";"joe::steady"
"gabriel::cold";"gabriel::hospitable"
"gabriel::cold";"joe::cold"
"gabriel::cold";"joe::hospitable"
"gabriel::hospitable";"joe::cold"
"gabriel::hospitable";"joe::hospitable"
"joe::cold";"joe::hospitable"
"gabriel_varden::sober";"gabriel_varden::strong"
"gabriel_varden::sober";"mrs_varden::sober"
"gabriel_varden::sober";"mrs_varden::strong"
"gabriel_varden::strong";"mrs_varden::sober"
"gabriel_varden::strong";"mrs_varden::strong"
"mrs_varden::sober";"mrs_varden::strong"
"gabriel::bold";"gabriel::straight"
"barnaby::careful";"barnaby::hasty"
"barnaby::active";"barnaby::strong"
"barnaby::brisk";"gabriel::brisk"
"barnaby::brisk";"mrs_varden::brisk"
"barnaby::brisk";"varden::brisk"
"gabriel::brisk";"mrs_varden::brisk"
"gabriel::brisk";"varden::brisk"
"mrs_varden::brisk";"varden::brisk"
"sim::rabid";"sim::simple"
"sim::rabid";"simon_tappertit::rabid"
"sim::rabid";"simon_tappertit::simple"
"sim::simple";"simon_tappertit::rabid"
"sim::simple";"simon_tappertit::simple"
"simon_tappertit::rabid";"simon_tappertit::simple"
"sim_tappertit::adventurous";"sim_tappertit::enterprising"
"sim_tappertit::certain";"sim_tappertit::christian"
"mrs_varden::devout";"mrs_varden::ill-tempered"
"gabriel::mild";"gabriel::quiet"
"edward::bold";"varden::bold"
"gabriel::silent";"mr_varden::silent"
"barnaby::particular";"barnaby::tight"
"mrs_varden::certain";"mrs_varden::uncertain"
"mrs_varden::cheerful";"mrs_varden::merry"
"mrs_varden::domestic";"mrs_varden::genteel"
"miggs::fickle";"miggs::general"
"gabriel::open";"miggs::open"
"barnaby::talkative";"miggs::talkative"
"barnaby::talkative";"varden::talkative"
"miggs::talkative";"varden::talkative"
"martha::good-natured";"martha::natural"
"miggs::cheerful";"miggs::compassionate"
"tappertit::gallant";"tappertit::general"
"curzon::gracious";"tappertit::gracious"
"joe::hasty";"joseph_willet::hasty"
"joe::hasty";"joseph::hasty"
"joseph_willet::hasty";"joseph::hasty"
"joe::energetic";"joe::festive"
"joe::energetic";"joseph_willet::energetic"
"joe::energetic";"joseph_willet::festive"
"joe::energetic";"joseph::energetic"
"joe::energetic";"joseph::festive"
"joe::festive";"joseph_willet::energetic"
"joe::festive";"joseph_willet::festive"
"joe::festive";"joseph::energetic"
"joe::festive";"joseph::festive"
"joseph_willet::energetic";"joseph_willet::festive"
"joseph_willet::energetic";"joseph::energetic"
"joseph_willet::energetic";"joseph::festive"
"joseph_willet::festive";"joseph::energetic"
"joseph_willet::festive";"joseph::festive"
"joseph::energetic";"joseph::festive"
"joe::#-enthusiastic";"joseph_willet::#-enthusiastic"
"joe::#-enthusiastic";"joseph::#-enthusiastic"
"joseph_willet::#-enthusiastic";"joseph::#-enthusiastic"
"miggs::snappish";"miggs::suspicious"
"miggs::gentle";"miggs::rough"
"miggs::gentle";"miggs::strong"
"miggs::rough";"miggs::strong"
"john::grave";"john::placid"
"john::grave";"john::staid"
"john::placid";"john::staid"
"john::serious";"john::slow"
"john_willet::oracular";"john_willet::sudden"
"barnaby::serious";"hugh::serious"
"barnaby::serious";"joe::serious"
"hugh::serious";"joe::serious"
"barnaby::free";"john::free"
"barnaby::free";"mrs_rudge::free"
"john::free";"mrs_rudge::free"
"barnaby::mute";"geoffrey_haredale::mute"
"barnaby::mute";"john::mute"
"geoffrey_haredale::mute";"john::mute"
"barnaby::familiar";"chester::familiar"
"barnaby::familiar";"willet::familiar"
"chester::familiar";"willet::familiar"
"chester::conciliatory";"chester::pleasant"
"chester::conciliatory";"john::conciliatory"
"chester::conciliatory";"john::pleasant"
"chester::pleasant";"john::conciliatory"
"chester::pleasant";"john::pleasant"
"john::conciliatory";"john::pleasant"
"john_willet::reasonable";"john_willet::thoughtful"
"chester::bitter";"haredale::bitter"
"chester::bitter";"john::bitter"
"haredale::bitter";"john::bitter"
"barnaby::loving";"john::loving"
"barnaby::strong";"barnaby::unpolite"
"barnaby::strong";"willet::strong"
"barnaby::strong";"willet::unpolite"
"barnaby::unpolite";"willet::strong"
"barnaby::unpolite";"willet::unpolite"
"willet::strong";"willet::unpolite"
"john::flip";"john::grateful"
"john::flip";"solomon_daisy::flip"
"john::flip";"solomon_daisy::grateful"
"john::grateful";"solomon_daisy::flip"
"john::grateful";"solomon_daisy::grateful"
"solomon_daisy::flip";"solomon_daisy::grateful"
"john::opening";"john::philosophical"
"haredale::heavy";"john::heavy"
"chester::impatient";"haredale::impatient"
"haredale::aloof";"haredale::free"
"ned::handsome";"ned::weak"
"haredale::sluggish";"haredale::sure"
"chester::confidential";"joseph_willet::confidential"
"joe::constant";"joe::natural"
"joe::constant";"joe::particular"
"joe::natural";"joe::particular"
"joe::certain";"joe::exact"
"joe::certain";"john_willet::certain"
"joe::certain";"john_willet::exact"
"joe::exact";"john_willet::certain"
"joe::exact";"john_willet::exact"
"john_willet::certain";"john_willet::exact"
"hugh::self-command";"john::self-command"
"hugh::stalwart";"joe::stalwart"
