"emma_woodhouse::affectionate";"emma_woodhouse::indulgent"
"weston::easy";"weston::generous"
"weston::easy";"weston::pleasant"
"weston::easy";"weston::self-denying"
"weston::generous";"weston::pleasant"
"weston::generous";"weston::self-denying"
"weston::pleasant";"weston::self-denying"
"emma::playful";"taylor::playful"
"emma::playful";"weston::playful"
"taylor::playful";"weston::playful"
"emma::cheerful";"emma::melancholy"
"taylor::good-humoured";"taylor::pleasant"
"taylor::good-humoured";"weston::good-humoured"
"taylor::good-humoured";"weston::pleasant"
"taylor::pleasant";"weston::good-humoured"
"taylor::pleasant";"weston::pleasant"
"weston::good-humoured";"weston::pleasant"
"james::civil";"james::sure"
"isabella::cheerful";"knightley::cheerful"
"knightley::kind";"woodhouse::kind"
"knightley::sure";"taylor::sure"
"weston::acceptable";"weston::cheerful"
"churchill::proud";"weston::proud"
"frank_churchill::handsome";"weston::handsome"
"taylor::gentle";"woodhouse::gentle"
"taylor::sorrowful";"woodhouse::sorrowful"
"taylor::vain";"woodhouse::vain"
"perry::gentlemanlike";"woodhouse::gentlemanlike"
"bates::come-at-able";"bates::second"
"bates::come-at-able";"goddard::come-at-able"
"bates::come-at-able";"goddard::second"
"bates::come-at-able";"hartfield::come-at-able"
"bates::come-at-able";"hartfield::second"
"bates::come-at-able";"james::come-at-able"
"bates::come-at-able";"james::second"
"bates::come-at-able";"woodhouse::come-at-able"
"bates::come-at-able";"woodhouse::second"
"bates::second";"goddard::come-at-able"
"bates::second";"goddard::second"
"bates::second";"hartfield::come-at-able"
"bates::second";"hartfield::second"
"bates::second";"james::come-at-able"
"bates::second";"james::second"
"bates::second";"woodhouse::come-at-able"
"bates::second";"woodhouse::second"
"goddard::come-at-able";"goddard::second"
"goddard::come-at-able";"hartfield::come-at-able"
"goddard::come-at-able";"hartfield::second"
"goddard::come-at-able";"james::come-at-able"
"goddard::come-at-able";"james::second"
"goddard::come-at-able";"woodhouse::come-at-able"
"goddard::come-at-able";"woodhouse::second"
"goddard::second";"hartfield::come-at-able"
"goddard::second";"hartfield::second"
"goddard::second";"james::come-at-able"
"goddard::second";"james::second"
"goddard::second";"woodhouse::come-at-able"
"goddard::second";"woodhouse::second"
"hartfield::come-at-able";"hartfield::second"
"hartfield::come-at-able";"james::come-at-able"
"hartfield::come-at-able";"james::second"
"hartfield::come-at-able";"woodhouse::come-at-able"
"hartfield::come-at-able";"woodhouse::second"
"hartfield::second";"james::come-at-able"
"hartfield::second";"james::second"
"hartfield::second";"woodhouse::come-at-able"
"hartfield::second";"woodhouse::second"
"james::come-at-able";"james::second"
"james::come-at-able";"woodhouse::come-at-able"
"james::come-at-able";"woodhouse::second"
"james::second";"woodhouse::come-at-able"
"james::second";"woodhouse::second"
"woodhouse::come-at-able";"woodhouse::second"
"goddard::honest";"goddard::reasonable"
"goddard::honest";"goddard::refined"
"goddard::reasonable";"goddard::refined"
"emma::quiet";"weston::quiet"
"emma::respectful";"goddard::respectful"
"emma::respectful";"miss_smith::respectful"
"emma::respectful";"smith::respectful"
"goddard::respectful";"miss_smith::respectful"
"goddard::respectful";"smith::respectful"
"miss_smith::respectful";"smith::respectful"
"emma::kind";"knightley::kind"
"emma::kind";"martin::kind"
"knightley::kind";"martin::kind"
"emma::busy";"emma::soft"
"emma::busy";"knightley::busy"
"emma::busy";"knightley::soft"
"emma::busy";"martin::busy"
"emma::busy";"martin::soft"
"emma::soft";"knightley::busy"
"emma::soft";"knightley::soft"
"emma::soft";"martin::busy"
"emma::soft";"martin::soft"
"knightley::busy";"knightley::soft"
"knightley::busy";"martin::busy"
"knightley::busy";"martin::soft"
"knightley::soft";"martin::busy"
"knightley::soft";"martin::soft"
"martin::busy";"martin::soft"
"bates::tart";"emma::tart"
"harriet_smith::grateful";"harriet_smith::humble"
"harriet_smith::grateful";"woodhouse::grateful"
"harriet_smith::grateful";"woodhouse::humble"
"harriet_smith::humble";"woodhouse::grateful"
"harriet_smith::humble";"woodhouse::humble"
"woodhouse::grateful";"woodhouse::humble"
"elizabeth_martin::general";"goddard::general"
"elizabeth_martin::general";"martin::general"
"elizabeth_martin::general";"robert_martin::general"
"goddard::general";"martin::general"
"goddard::general";"robert_martin::general"
"martin::general";"robert_martin::general"
"alderneys::handsome";"emma::handsome"
"alderneys::handsome";"goddard::handsome"
"alderneys::handsome";"martin::handsome"
"alderneys::handsome";"welch::handsome"
"emma::handsome";"goddard::handsome"
"emma::handsome";"martin::handsome"
"emma::handsome";"welch::handsome"
"goddard::handsome";"martin::handsome"
"goddard::handsome";"welch::handsome"
"martin::handsome";"welch::handsome"
"harriet::independent";"woodhouse::independent"
"emma::quick";"robert_martin::quick"
"harriet::busy";"woodhouse::busy"
"emma::grave";"harriet::grave"
"elton::cheerful";"elton::gentle"
"elton::cheerful";"elton::good-humoured"
"elton::gentle";"elton::good-humoured"
"elton::natural";"emma::natural"
"elton::natural";"harriet::natural"
"emma::natural";"harriet::natural"
"elton::general";"elton::handsome"
"elton::general";"robert_martin::general"
"elton::general";"robert_martin::handsome"
"elton::handsome";"robert_martin::general"
"elton::handsome";"robert_martin::handsome"
"robert_martin::general";"robert_martin::handsome"
"isabella::diffident";"isabella::quick"
"isabella::diffident";"isabella::slow"
"isabella::quick";"isabella::slow"
"knightley::dependent";"woodhouse::dependent"
"emma::reasonable";"isabella::reasonable"
"emma::reasonable";"john_knightley::reasonable"
"isabella::reasonable";"john_knightley::reasonable"
"emma::quiet";"knightley::quiet"
"elton::confident";"elton::handsome"
"elton::confident";"elton::sensible"
"elton::confident";"emma::confident"
"elton::confident";"emma::handsome"
"elton::confident";"emma::sensible"
"elton::confident";"harriet::confident"
"elton::confident";"harriet::handsome"
"elton::confident";"harriet::sensible"
"elton::handsome";"elton::sensible"
"elton::handsome";"emma::confident"
"elton::handsome";"emma::handsome"
"elton::handsome";"emma::sensible"
"elton::handsome";"harriet::confident"
"elton::handsome";"harriet::handsome"
"elton::handsome";"harriet::sensible"
"elton::sensible";"emma::confident"
"elton::sensible";"emma::handsome"
"elton::sensible";"emma::sensible"
"elton::sensible";"harriet::confident"
"elton::sensible";"harriet::handsome"
"elton::sensible";"harriet::sensible"
"emma::confident";"emma::handsome"
"emma::confident";"emma::sensible"
"emma::confident";"harriet::confident"
"emma::confident";"harriet::handsome"
"emma::confident";"harriet::sensible"
"emma::handsome";"emma::sensible"
"emma::handsome";"harriet::confident"
"emma::handsome";"harriet::handsome"
"emma::handsome";"harriet::sensible"
"emma::sensible";"harriet::confident"
"emma::sensible";"harriet::handsome"
"emma::sensible";"harriet::sensible"
"harriet::confident";"harriet::handsome"
"harriet::confident";"harriet::sensible"
"harriet::handsome";"harriet::sensible"
"miss_smith::easy";"miss_smith::graceful"
"bella::eager";"bella::easy"
"bella::eager";"henry::eager"
"bella::eager";"henry::easy"
"bella::eager";"little_john::eager"
"bella::eager";"little_john::easy"
"bella::easy";"henry::eager"
"bella::easy";"henry::easy"
"bella::easy";"little_john::eager"
"bella::easy";"little_john::easy"
"henry::eager";"henry::easy"
"henry::eager";"little_john::eager"
"henry::eager";"little_john::easy"
"henry::easy";"little_john::eager"
"henry::easy";"little_john::easy"
"little_john::eager";"little_john::easy"
"isabella::cold";"isabella::handsome"
"isabella::cold";"isabella::sure"
"isabella::cold";"weston::cold"
"isabella::cold";"weston::handsome"
"isabella::cold";"weston::sure"
"isabella::handsome";"isabella::sure"
"isabella::handsome";"weston::cold"
"isabella::handsome";"weston::handsome"
"isabella::handsome";"weston::sure"
"isabella::sure";"weston::cold"
"isabella::sure";"weston::handsome"
"isabella::sure";"weston::sure"
"weston::cold";"weston::handsome"
"weston::cold";"weston::sure"
"weston::handsome";"weston::sure"
"elton::fearful";"emma::fearful"
"elton::fresh";"emma::fresh"
"elizabeth::direct";"goddard::direct"
"elizabeth::direct";"martin::direct"
"goddard::direct";"martin::direct"
"emma::general";"harriet::general"
"elton::tender-hearted";"martin::tender-hearted"
"elton::unhappy";"martin::unhappy"
"emma::rude";"knightley::rude"
"elton::general";"knightley::general"
"emma::obliging";"harriet::obliging"
"robert_martin::open";"robert_martin::straightforward"
"harriet_smith::natural";"robert_martin::natural"
"harriet_smith::sensible";"robert_martin::sensible"
"harriet_smith::simple";"robert_martin::simple"
"harriet_smith::willing";"robert_martin::willing"
"harriet_smith::general";"robert_martin::general"
"harriet::general";"harriet::good-natured"
"harriet::general";"harriet::handsome"
"harriet::good-natured";"harriet::handsome"
"harriet::humble";"harriet::thorough"
"harriet_smith::true";"martin::true"
"elton::vain";"harriet::vain"
"elton::true";"knightley::true"
"elton::cheerful";"harriet::cheerful"
"elton::cheerful";"martin::cheerful"
"harriet::cheerful";"martin::cheerful"
"elton::particular";"goddard::particular"
"elton::particular";"miss_nash::particular"
"elton::particular";"nash::particular"
"elton::particular";"perry::particular"
"goddard::particular";"miss_nash::particular"
"goddard::particular";"nash::particular"
"goddard::particular";"perry::particular"
"miss_nash::particular";"nash::particular"
"miss_nash::particular";"perry::particular"
"nash::particular";"perry::particular"
"elton::sure";"perry::sure"
"elton::careful";"elton::ungallant"
"elton::certain";"harriet::certain"
"hartfield::true";"shakespeare::true"
"emma::spirited";"martin::spirited"
"harriet::sweet";"woodhouse::sweet"
"isabella::sure";"taylor::sure"
"emma::submissive";"woodhouse::submissive"
"emma::quick";"harriet::quick"
"emma::compassionate";"emma::sure"
"elton::sudden";"emma::sudden"
"elton::sudden";"harriet::sudden"
"emma::sudden";"harriet::sudden"
"john_knightley::domestic";"john_knightley::reserved"
"isabella::kind";"isabella::respectful"
"emma::strong";"john_knightley::strong"
"taylor::exact";"weston::exact"
"john_knightley::easy";"john_knightley::social"
"weston::sure";"woodhouse::sure"
"hartfield::sure";"taylor::sure"
"hartfield::sure";"weston::sure"
"taylor::sure";"weston::sure"
"henry::particular";"henry::windy"
"emma::particular";"knightley::particular"
"emma::grave";"hartfield::grave"
"john::curious";"john::strong"
"emma::awkward";"emma::grave"
"emma::awkward";"john_knightley::awkward"
"emma::awkward";"john_knightley::grave"
"emma::awkward";"knightley::awkward"
"emma::awkward";"knightley::grave"
"emma::grave";"john_knightley::awkward"
"emma::grave";"john_knightley::grave"
"emma::grave";"knightley::awkward"
"emma::grave";"knightley::grave"
"john_knightley::awkward";"john_knightley::grave"
"john_knightley::awkward";"knightley::awkward"
"john_knightley::awkward";"knightley::grave"
"john_knightley::grave";"knightley::awkward"
"john_knightley::grave";"knightley::grave"
"knightley::awkward";"knightley::grave"
"isabella::general";"jane_fairfax::general"
"jane_fairfax::sweet";"john_knightley::sweet"
"perry::sure";"wingfield::sure"
"emma::simple";"harriet::simple"
"elton::sweet";"emma::sweet"
"elton::sweet";"goddard::sweet"
"emma::sweet";"goddard::sweet"
"elton::quick";"goddard::quick"
"elton::quick";"hartfield::quick"
"elton::quick";"john_knightley::quick"
"goddard::quick";"hartfield::quick"
"goddard::quick";"john_knightley::quick"
"hartfield::quick";"john_knightley::quick"
"emma::quick";"goddard::quick"
"goddard::quick";"harriet::quick"
"emma::cold";"goddard::cold"
"emma::cold";"perry::cold"
"emma::cold";"weston::cold"
"goddard::cold";"perry::cold"
"goddard::cold";"weston::cold"
"perry::cold";"weston::cold"
"elton::moderate";"elton::negligent"
"elton::moderate";"emma::moderate"
"elton::moderate";"emma::negligent"
"elton::negligent";"emma::moderate"
"elton::negligent";"emma::negligent"
"emma::moderate";"emma::negligent"
"goddard::cordial";"smith::cordial"
"elton::joyous";"john_knightley::joyous"
"elton::grateful";"emma::grateful"
"elton::grateful";"weston::grateful"
"emma::grateful";"weston::grateful"
"elton::close";"emma::close"
"weston::certain";"weston::pleasant"
"churchill::certain";"weston::certain"
"frank_churchill::sure";"isabella::sure"
"frank_churchill::sure";"knightley::sure"
"isabella::sure";"knightley::sure"
"churchill::sure";"isabella::sure"
"emma::unhappy";"weston::unhappy"
"emma::certain";"isabella::certain"
"weston::chatty";"weston::convivial"
"emma::friendly";"emma::willing"
"emma::friendly";"frank_churchill::friendly"
"emma::friendly";"frank_churchill::willing"
"emma::friendly";"harriet::friendly"
"emma::friendly";"harriet::willing"
"emma::willing";"frank_churchill::friendly"
"emma::willing";"frank_churchill::willing"
"emma::willing";"harriet::friendly"
"emma::willing";"harriet::willing"
"frank_churchill::friendly";"frank_churchill::willing"
"frank_churchill::friendly";"harriet::friendly"
"frank_churchill::friendly";"harriet::willing"
"frank_churchill::willing";"harriet::friendly"
"frank_churchill::willing";"harriet::willing"
"harriet::friendly";"harriet::willing"
"goddard::certain";"smith::certain"
"goddard::certain";"woodhouse::certain"
"smith::certain";"woodhouse::certain"
"goddard::careless";"goddard::scrupulous"
"goddard::careless";"smith::careless"
"goddard::careless";"smith::scrupulous"
"goddard::careless";"woodhouse::careless"
"goddard::careless";"woodhouse::scrupulous"
"goddard::scrupulous";"smith::careless"
"goddard::scrupulous";"smith::scrupulous"
"goddard::scrupulous";"woodhouse::careless"
"goddard::scrupulous";"woodhouse::scrupulous"
"smith::careless";"smith::scrupulous"
"smith::careless";"woodhouse::careless"
"smith::careless";"woodhouse::scrupulous"
"smith::scrupulous";"woodhouse::careless"
"smith::scrupulous";"woodhouse::scrupulous"
"woodhouse::careless";"woodhouse::scrupulous"
"goddard::cold";"smith::cold"
"goddard::cold";"woodhouse::cold"
"smith::cold";"woodhouse::cold"
"emma::#-easy";"knightley::#-easy"
"elton::second";"emma::second"
"elton::second";"isabella::second"
"elton::second";"john_knightley::second"
"emma::second";"isabella::second"
"emma::second";"john_knightley::second"
"isabella::second";"john_knightley::second"
"elton::sanguine";"woodhouse::sanguine"
"elton::conceited";"elton::gentle"
"elton::conceited";"emma::conceited"
"elton::conceited";"emma::gentle"
"elton::gentle";"emma::conceited"
"elton::gentle";"emma::gentle"
"emma::conceited";"emma::gentle"
"harriet::humble";"harriet::modest"
"elton::acute";"elton::retentive"
"elton::acute";"harriet::acute"
"elton::acute";"harriet::retentive"
"elton::retentive";"harriet::acute"
"elton::retentive";"harriet::retentive"
"harriet::acute";"harriet::retentive"
"elton::unvarying";"hartfield::unvarying"
"weston::sanguine";"weston::sober"
"weston::general";"weston::quiet"
"emma::sure";"emma::weak"
"harriet::sudden";"jane_fairfax::sudden"
"coles::sure";"elton::sure"
"bates::civil";"bates::fast"
"bates::civil";"emma::civil"
"bates::civil";"emma::fast"
"bates::fast";"emma::civil"
"bates::fast";"emma::fast"
"emma::civil";"emma::fast"
"bates::rude";"jane_fairfax::rude"
"campbell::natural";"campbell::particular"
"campbell::natural";"dixon::natural"
"campbell::natural";"dixon::particular"
"campbell::natural";"jane::natural"
"campbell::natural";"jane::particular"
"campbell::particular";"dixon::natural"
