"" "abraham::certain" "alexander::certain" "arthur::careful" "barnard::general" "barnard::kind" "bartholomew::certain" "belinda::expressive" "bentley_drummle::awkward" "bentley_drummle::proud" "bentley_drummle::sluggish" "bentley::christian" "bentley::exact" "betsy::rusty" "biddy::constant" "biddy::destructive" "biddy::fresh" "biddy::grave" "biddy::honest" "biddy::humble" "biddy::lonely" "biddy::moderate" "biddy::negative" "biddy::open" "biddy::particular" "biddy::pleasant" "biddy::quick" "biddy::quiet" "biddy::second" "biddy::strong" "biddy::sweet" "biddy::sympathetic" "biddy::true" "biddy::weak" "bill_barley::motherly" "bill_barley::sanguine" "bill_barley::swift" "brandley::constant" "brandley::sudden" "cain::jolly" "camilla::close" "camilla::honest" "camilla::vicious" "campbell::strong" "clara_barley::airy" "clara_barley::motherly" "clara::cheerful" "clara::compassionate" "clara::motherly" "clara::pleasant" "clara::swift" "coiler::domestic" "compeyson::second" "drummle::certain" "drummle::christian" "drummle::exact" "drummle::morose" "drummle::sulky" "drummle::surly" "drummle::ugly" "estella::#-proud" "estella::calm" "estella::clumsy" "estella::cold" "estella::cruel" "estella::fierce" "estella::graceful" "estella::greedy" "estella::incredulous" "estella::inflexible" "estella::open" "estella::particular" "estella::proud" "estella::responsive" "estella::serious" "estella::sure" "estella::sympathetic" "estella::treacherous" "estella::true" "estella::unthankful" "estella::urgent" "flopson::certain" "handel::eager" "handel::free" "handel::gay" "handel::hopeful" "handel::jealous" "handel::proud" "havisham::#-sure" "havisham::dogged" "havisham::easy" "havisham::familiar" "havisham::fierce" "havisham::frank" "havisham::grave" "havisham::honest" "havisham::mechanical" "havisham::narrative" "havisham::obstinate" "havisham::open" "havisham::playful" "havisham::sensible" "herbert_pocket::easy" "herbert_pocket::familiar" "herbert::acceptable" "herbert::busy" "herbert::careful" "herbert::certain" "herbert::constant" "herbert::dependent" "herbert::doleful" "herbert::friendly" "herbert::gay" "herbert::general" "herbert::generous" "herbert::gloomy" "herbert::hasty" "herbert::melancholy" "herbert::mischievous" "herbert::motherly" "herbert::open" "herbert::quiet" "herbert::rough" "herbert::strong" "herbert::true" "herbert::vain" "herbert::wise" "hereupon::choleric" "jack::direct" "jack::prudent" "jaggers::#-responsible" "jaggers::#-sure" "jaggers::certain" "jaggers::confidential" "jaggers::constant" "jaggers::dictatorial" "jaggers::excitable" "jaggers::facetious" "jaggers::general" "jaggers::greedy" "jaggers::immovable" "jaggers::inflexible" "jaggers::melancholy" "jaggers::sprightly" "jaggers::strict" "jo::slow" "joe::#-acceptable" "joe::#-true" "joe::blusterous" "joe::busy" "joe::certain" "joe::circumstantial" "joe::clean" "joe::cold" "joe::decisive" "joe::domestic" "joe::expressive" "joe::free" "joe::friendly" "joe::gloomy" "joe::grateful" "joe::handy" "joe::helpless" "joe::jolly" "joe::neat" "joe::open" "joe::particular" "joe::penitent" "joe::pleasant" "joe::remorseful" "joe::reproachful" "joe::reserved" "joe::sensible" "joe::slack" "joe::slow" "joe::strict" "joe::subtle" "joe::sure" "joe::thoughtful" "joe::vain" "joe::weak" "joe::willing" "john::busy" "john::open" "joseph::blusterous" "joseph::constant" "joseph::efficient" "joseph::tearful" "knight::helpless" "matthew_pocket::acceptable" "matthew_pocket::generous" "mooncalfs::cold" "mooncalfs::sudden" "old_orlick::christian" "ophelia::impatient" "ophelia::musical" "ophelia::slow" "orlick::intellectual" "orlick::sure" "orlick::true" "orlick::violent" "philip::avaricious" "philip::christian" "philip::explicit" "philip::handy" "pip::blusterous" "pip::confidential" "pip::constant" "pip::facetious" "pip::grateful" "pip::honest" "pip::orderly" "pip::pleasant" "pip::sensible" "pip::silent" "pip::slow" "pip::true" "pip::vain" "pirrip::christian" "provis::busy" "provis::general" "provis::mischievous" "provis::motherly" "provis::rough" "pumblechook::constant" "pumblechook::expressive" "pumblechook::fitful" "pumblechook::genteel" "pumblechook::polite" "raymond::vicious" "richard::grateful" "richard::prudent" "richard::religious" "richard::reproachful" "roger::certain" "sarah::cruel" "skiffins::slow" "skiffins::suggestive" "startop::busy" "startop::certain" "startop::open" "trabb::cheerful" "trabb::disrespectful" "trabb::friendly" "uncle_pumblechook::cold" "waldengarver::classic" "walworth::friendly" "wemmick::delicate" "wemmick::dictatorial" "wemmick::immovable" "wemmick::nigh" "wemmick::slow" "wopsle::#-easy" "wopsle::general" "wopsle::grateful" "wopsle::hopeless" "wopsle::impertinent" "wopsle::inquisitive" "wopsle::jolly" "wopsle::natural" "wopsle::reckless" "wopsle::sarcastic" "tobias::certain" "compeyson::careful" "herbert::kind" "pocket::expressive" "bentley_drummle::suspicious" "pocket::christian" "pocket::exact" "johns::rusty" "joe::constant" "joe::destructive" "estella::fresh" "joe::grave" "biddy::sure" "joe::humble" "biddy::sorrowful" "joe::moderate" "wopsle::negative" "pip::particular" "wopsle::particular" "joe::sympathetic" "joe::quick" "pip::quiet" "joe::strong" "joe::sweet" "joe::true" "provis::swift" "herbert::sanguine" "estella::constant" "estella::sudden" "jolly_bargemen::jolly" "havisham::close" "joe::honest" "sarah_pocket::vicious" "herbert::airy" "whimple::motherly" "herbert::cheerful" "herbert::compassionate" "herbert::pleasant" "herbert::domestic" "sally::second" "estella::certain" "pocket::sulky" "herbert::surly" "finch::ugly" "estella::sulky" "estella::polite" "estella::self-possessed" "havisham::proud" "estella::mechanical" "havisham::incredulous" "joe::urgent" "estella::refined" "estella::scornful" "estella::smooth" "sarah_pocket::sure" "herbert::sympathetic" "joe::treacherous" "joe::unthankful" "herbert::eager" "handel::sour" "herbert::hopeful" "handel::revengeful" "handel::second" "pip::#-sure" "havisham::sullen" "herbert_pocket::frank" "havisham::willing" "herbert::mechanical" "herbert::narrative" "pip::open" "pip::playful" "uncle_pumblechook::sensible" "matthew_pocket::open" "herbert::serious" "startop::rough" "provis::careful" "startop::strong" "herbert::uncertain" "startop::doleful" "provis::friendly" "whimple::general" "startop::hasty" "startop::mischievous" "startop::quiet" "matthew::true" "provis::vain" "provis::wise" "hereupon::violent" "wopsle::direct" "tom::prudent" "pip::#-responsible" "pip::certain" "wemmick::confidential" "wemmick::constant" "wemmick::inflexible" "mithter_jaggerth::excitable" "wemmick::facetious" "mike::general" "wemmick::general" "jaggers::noisy" "jaggers::stern" "mike::melancholy" "jaggers::sure" "pip::strict" "pip::#-true" "pumblechook::blusterous" "pumblechook::busy" "wopsle::circumstantial" "joe::cool" "wopsle::decisive" "uncle_pumblechook::domestic" "orlick::expressive" "joe::hearty" "trabb::willing" "joe::tremulous" "pumblechook::grateful" "wopsle::open" "pumblechook::neat" "joe::opened" "joe::vague" "joseph::reproachful" "pip::slack" "pip::weak" "uncle_pumblechook::slow" "wopsle::strict" "pumblechook::subtle" "pip::sure" "pip::thoughtful" "pip::willing" "john::cheerful" "skiffins::open" "pumblechook::efficient" "pumblechook::tearful" "knight::judicious" "uncle_pumblechook::sudden" "old_orlick::definite" "ophelia::sulky" "wopsle::intellectual" "provis::sure" "pip::violent" "philip::lazy" "pirrip::explicit" "pip::serious" "wemmick::pleasant" "wemmick::silent" "pumblechook::sunny" "pumblechook::impatient" "pumblechook::handsome" "pumblechook::sensible" "wopsle::religious" "wopsle::reproachful" "sarah::watchful" "wemmick::suggestive" "trabb::honest" "trabb::solemn" "waldengarver::thoughtful" "wemmick::friendly" "wemmick::particular" "wopsle::low-spirited" "wopsle::noisy" "wopsle::strong" "wopsle::slow" "wopsle::true" "wopsle::suspicious"
"abraham::certain" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"alexander::certain" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"arthur::careful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"barnard::general" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"barnard::kind" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bartholomew::certain" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"belinda::expressive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bentley_drummle::awkward" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bentley_drummle::proud" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bentley_drummle::sluggish" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
