"lady_lucas::general";"william::general"
"bingley::hearty";"lizzy::hearty"
"bennet::quick";"bennet::sarcastic"
"bingley::second";"lizzy::second"
"bennet::hypocritical";"bennet::selfish"
"bennet::#-sufficient";"bingley::#-sufficient"
"bingley::certain";"bingley::lively"
"bingley::easy";"bingley::pleasant"
"bingley::lively";"bingley::unreserved"
"bennet::handsome";"darcy::handsome"
"darcy::cordial";"elizabeth::cordial"
"darcy::lively";"darcy::playful"
"darcy::lively";"elizabeth::lively"
"darcy::lively";"elizabeth::playful"
"darcy::playful";"elizabeth::lively"
"darcy::playful";"elizabeth::playful"
"elizabeth::lively";"elizabeth::playful"
"bingley::cautious";"elizabeth::cautious"
"bingley::cautious";"jane::cautious"
"elizabeth::cautious";"jane::cautious"
"bingley::lively";"bingley::sensible"
"bingley::lively";"elizabeth::lively"
"bingley::lively";"elizabeth::sensible"
"bingley::lively";"jane::lively"
"bingley::lively";"jane::sensible"
"bingley::sensible";"elizabeth::lively"
"bingley::sensible";"elizabeth::sensible"
"bingley::sensible";"jane::lively"
"bingley::sensible";"jane::sensible"
"elizabeth::lively";"elizabeth::sensible"
"elizabeth::lively";"jane::lively"
"elizabeth::lively";"jane::sensible"
"elizabeth::sensible";"jane::lively"
"elizabeth::sensible";"jane::sensible"
"jane::lively";"jane::sensible"
"bingley::general";"elizabeth::general"
"--_bingley::steady";"darcy::steady"
"bingley::sure";"darcy::sure"
"bennet::kind";"bingley::kind"
"bennet::intimate";"elizabeth::intimate"
"bennet::intimate";"jane::intimate"
"bennet::intimate";"kitty::intimate"
"bennet::intimate";"lydia::intimate"
"bennet::intimate";"mary::intimate"
"elizabeth::intimate";"jane::intimate"
"elizabeth::intimate";"kitty::intimate"
"elizabeth::intimate";"lydia::intimate"
"elizabeth::intimate";"mary::intimate"
"jane::intimate";"kitty::intimate"
"jane::intimate";"lydia::intimate"
"jane::intimate";"mary::intimate"
"kitty::intimate";"lydia::intimate"
"kitty::intimate";"mary::intimate"
"lydia::intimate";"mary::intimate"
"bennet::civil";"lucas::civil"
"bingley::intimate";"bingley::sure"
"bingley::intimate";"darcy::intimate"
"bingley::intimate";"darcy::sure"
"bingley::intimate";"jane::intimate"
"bingley::intimate";"jane::sure"
"bingley::sure";"darcy::intimate"
"bingley::sure";"jane::intimate"
"bingley::sure";"jane::sure"
"darcy::intimate";"darcy::sure"
"darcy::intimate";"jane::intimate"
"darcy::intimate";"jane::sure"
"darcy::sure";"jane::intimate"
"darcy::sure";"jane::sure"
"jane::intimate";"jane::sure"
"darcy::proud";"lucas::proud"
"jane::general";"jane::impertinent"
"eliza::partial";"jane::partial"
"darcy::impertinent";"forster::impertinent"
"darcy::energetic";"elizabeth::energetic"
"darcy::energetic";"forster::energetic"
"darcy::energetic";"lucas::energetic"
"elizabeth::energetic";"forster::energetic"
"elizabeth::energetic";"lucas::energetic"
"forster::energetic";"lucas::energetic"
"elizabeth::easy";"lucas::easy"
"elizabeth::easy";"mary::easy"
"lucas::easy";"mary::easy"
"darcy::silent";"william_lucas::silent"
"darcy::silent";"william::silent"
"william_lucas::silent";"william::silent"
"eliza::gallant";"elizabeth::gallant"
"eliza::cruel";"eliza::general"
"kitty::general";"lydia::general"
"elizabeth::violent";"jane::violent"
"elizabeth::original";"jane::original"
"bingley::indolent";"darcy::indolent"
"bingley::indolent";"elizabeth::indolent"
"bingley::indolent";"hurst::indolent"
"darcy::indolent";"elizabeth::indolent"
"darcy::indolent";"hurst::indolent"
"elizabeth::indolent";"hurst::indolent"
"bingley::exact";"louisa::exact"
"hurst::bitter";"miss_bingley::bitter"
"bennet::cold";"miss_bingley::cold"
"darcy::general";"elizabeth::general"
"lydia::easy";"lydia::natural"
"darcy::curious";"elizabeth::curious"
"bingley::careless";"charles::careless"
"bingley::careless";"darcy::careless"
"charles::careless";"darcy::careless"
"bennet::thankful";"darcy::thankful"
"bennet::thankful";"elizabeth::thankful"
"darcy::thankful";"elizabeth::thankful"
"bingley::polite";"elizabeth::polite"
"bennet::lively";"darcy::lively"
"bingley::jealous";"elizabeth::jealous"
"bingley::jealous";"jane::jealous"
"elizabeth::jealous";"jane::jealous"
"bennet::polite";"hurst::polite"
"darcy::open";"hurst::open"
"bennet::serious";"charles::serious"
"bennet::firm";"jane::firm"
"miss_bingley::careful";"miss_bingley::sensible"
"bennet::cold";"bennet::sure"
"bennet::cold";"jane::cold"
"bennet::cold";"jane::sure"
"bennet::sure";"jane::cold"
"bennet::sure";"jane::sure"
"jane::cold";"jane::sure"
"bennet::laconic";"jane::laconic"
"catherine_de_bourgh::earnest";"catherine_de_bourgh::grateful"
"catherine_de_bourgh::earnest";"lewis_de_bourgh::earnest"
"catherine_de_bourgh::earnest";"lewis_de_bourgh::grateful"
"catherine_de_bourgh::grateful";"lewis_de_bourgh::earnest"
"catherine_de_bourgh::grateful";"lewis_de_bourgh::grateful"
"lewis_de_bourgh::earnest";"lewis_de_bourgh::grateful"
"lady_catherine::conscientious";"lady_catherine::indulgent"
"lady_catherine::conscientious";"lady_catherine::polite"
"lady_catherine::indulgent";"lady_catherine::polite"
"elizabeth::pompous";"lady_catherine::pompous"
"elizabeth::sensible";"lady_catherine::sensible"
"elizabeth::impatient";"lady_catherine::impatient"
"bennet::silent";"collins::silent"
"bennet::heavy";"collins::heavy"
"catherine::true";"de_bourgh::true"
"catherine::humble";"de_bourgh::humble"
"lady_catherine::acceptable";"lady_catherine::delicate"
"collins::serious";"lydia::serious"
"collins::miserly";"collins::sensible"
"bennet::general";"jane::general"
"collins::free";"collins::prompt"
"collins::free";"collins::sure"
"collins::free";"elizabeth::free"
"collins::free";"elizabeth::prompt"
"collins::free";"elizabeth::sure"
"collins::prompt";"collins::sure"
"collins::prompt";"elizabeth::free"
"collins::prompt";"elizabeth::prompt"
"collins::prompt";"elizabeth::sure"
"collins::sure";"elizabeth::free"
"collins::sure";"elizabeth::prompt"
"collins::sure";"elizabeth::sure"
"elizabeth::free";"elizabeth::prompt"
"elizabeth::free";"elizabeth::sure"
"elizabeth::prompt";"elizabeth::sure"
"meryton::civil";"meryton::pompous"
"bingley::unassuming";"darcy::unassuming"
"collins::sudden";"jane::sudden"
"collins::sudden";"jones::sudden"
"collins::sudden";"philips::sudden"
"jane::sudden";"jones::sudden"
"jane::sudden";"philips::sudden"
"jones::sudden";"philips::sudden"
"lydia::eager";"lydia::particular"
"darcy::willing";"elizabeth::willing"
"darcy::willing";"wickham::willing"
"elizabeth::willing";"wickham::willing"
"darcy::general";"darcy::malicious"
"darcy::confidential";"darcy::intimate"
"wickham::careful";"wickham::kind"
"bingley::vain";"elizabeth::vain"
"wickham::dictatorial";"wickham::insolent"
"collins::silent";"lydia::silent"
"collins::silent";"wickham::silent"
"lydia::silent";"wickham::silent"
"darcy::intimate";"lizzy::intimate"
"bennet::ceremonious";"bingley::ceremonious"
"catherine::particular";"elizabeth::particular"
"catherine::particular";"lydia::particular"
"catherine::particular";"wickham::particular"
"elizabeth::particular";"lydia::particular"
"elizabeth::particular";"wickham::particular"
"lydia::particular";"wickham::particular"
"elizabeth::vain";"wickham::vain"
"caroline::certain";"darcy::certain"
"caroline::certain";"denny::certain"
"caroline::certain";"lydia::certain"
"caroline::certain";"wickham::certain"
"darcy::certain";"denny::certain"
"darcy::certain";"lydia::certain"
"darcy::certain";"wickham::certain"
"denny::certain";"lydia::certain"
"denny::certain";"wickham::certain"
"lydia::certain";"wickham::certain"
"darcy::polite";"elizabeth::polite"
"darcy::polite";"lydia::polite"
"darcy::polite";"wickham::polite"
"elizabeth::polite";"lydia::polite"
"elizabeth::polite";"wickham::polite"
"lydia::polite";"wickham::polite"
"charlotte_lucas::particular";"elizabeth::particular"
"darcy::silent";"elizabeth::silent"
"darcy::close";"william_lucas::close"
"darcy::serious";"jane::serious"
"darcy::serious";"william::serious"
"jane::serious";"william::serious"
"bingley::civil";"darcy::civil"
"bingley::civil";"eliza::civil"
"bingley::civil";"george_wickham::civil"
"bingley::civil";"wickham::civil"
"darcy::civil";"eliza::civil"
"darcy::civil";"george_wickham::civil"
"darcy::civil";"wickham::civil"
"eliza::civil";"george_wickham::civil"
"eliza::civil";"wickham::civil"
"george_wickham::civil";"wickham::civil"
"darcy::kind";"george_wickham::kind"
"darcy::insolent";"george_wickham::insolent"
"--_elizabeth::sweet";"jane::sweet"
"elizabeth::modest";"jane::modest"
"darcy::impertinent";"elizabeth::impertinent"
"collins::second";"darcy::second"
"bingley::true";"elizabeth::true"
"bingley::true";"jane::true"
"elizabeth::true";"jane::true"
"darcy::vain";"elizabeth::vain"
"darcy::nonsensical";"elizabeth::nonsensical"
"darcy::particular";"darcy::sure"
"bennet::cold";"lady_lucas::cold"
"mary::silent";"mary::vain"
