"" "agatha::animated" "agatha::free" "agatha::gentle" "agatha::musical" "agatha::simple" "agatha::sweet" "angelica::frank-hearted" "ariosto::frank-hearted" "clerval::cheerful" "clerval::feminine" "cornelius_agrippa::indefatigable" "cornelius_agrippa::sly" "de_lacey::free" "elizabeth::airy" "elizabeth::certain" "elizabeth::fearful" "elizabeth::lively" "elizabeth::timid" "felix::animated" "felix::earnest" "felix::free" "felix::lively" "felix::sweet" "frankenstein::bitter" "frankenstein::unhappy" "john_melbourne::congratulatory" "justine::bitter" "justine::busy" "justine::free" "justine::gay" "justine::inquisitive" "justine::natural" "justine::prophetic" "justine::sorrowful" "justine::vain" "kirwin::severe" "krempe::sly" "m._duvillard::ugly" "m._krempe::literary" "m._waldman::certain" "m._waldman::general" "mont_blanc::pleasant" "mont_blanc::vain" "mont_salêve::pleasant" "r._walton::affectionate" "robert_walton::affectionate" "safie::generous" "victor::fearful" "victor::gay" "victor::gentle" "victor::sweet" "william::bitter" "william::busy" "william::gay" "william::gentle" "william::prophetic" "safie::free" "felix::gentle" "felix::musical" "justine::frank-hearted" "clerval::unsocial" "elizabeth::feminine" "m._krempe::indefatigable" "m._waldman::sly" "elizabeth::placid" "victor::timid" "victor::lively" "safie::earnest" "felix::mild" "safie::lively" "safie::sweet" "frankenstein::insatiable" "henry::unhappy" "mansfield::congratulatory" "william::natural" "william::sorrowful" "william::free" "justine::inconsiderate" "william::inquisitive" "william::vain" "kirwin::violent" "manon::ugly" "m._krempe::natural" "m._waldman::mild" "m._waldman::natural" "mont_salêve::vain" "saville::affectionate" "safie::tyrannical" "william::sweet"
"agatha::animated" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::free" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::gentle" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::musical" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::simple" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::sweet" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"angelica::frank-hearted" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ariosto::frank-hearted" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"clerval::cheerful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"clerval::feminine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
