"terms";"clusters"
"tight";30
"timid";102
"timorous";107
"tortuous";70
"tough";93
"traitorous";11
"tranquil";181
"tremulous";121
"trim";59
"true";165
"trusty";228
"turbulent";216
"tyrannical";185
"ugly";178
"uncertain";102
"unconscionable";122
"undecided";122
"undutiful";193
"ungainly";24
"ungraceful";142
"unhappy";95
"unkind";132
"unmerciful";170
"unobservant";90
"unrelenting";155
"unreserved";186
"unthinking";6
"untoward";141
"unvarying";242
"unyielding";170
"vague";101
"vain";178
"valiant";244
"vehement";157
"vicious";132
"vigilant";188
"violent";243
"virtuous";62
"visionary";6
"vivacious";7
"weak";56
"whimsical";61
"wise";79
"unassuming";29
"verbal";118
"unceremonious";68
"ungrateful";23
"willing";124
"worldly";134
"zealous";149
"unsociable";71
"wily";219
"unchanging";232
"wiser";241
"truthful";133
"unmindful";215
"unerring";143
"wry";87
"uncivil";13
"vagrant";122
"watchful";231
"weakly";144
"superstitious";216
"unsparing";143
"wistful";121
"wrathful";97
"urgent";93
"testy";58
"windy";143
"technical";128
"tumultuous";64
"tempered";94
"unresponsive";94
