"terms";"clusters"
"stately";56
"steadfast";235
"steady";211
"stealthy";232
"steep";88
"stern";70
"stiff";22
"still";178
"stormy";231
"straight";239
"strict";173
"strong";149
"stubborn";15
"studious";216
"submissive";26
"subtle";247
"sudden";94
"sufficient";41
"suggestive";183
"sullen";161
"sunny";49
"sure";259
"suspicious";125
"sweet";92
"sympathetic";132
"systematic";175
"taciturn";77
"tasteful";191
"tearful";176
"temperate";181
"tempered";42
"tenacious";129
"tender";200
"thankful";108
"thankless";241
"thoughtful";150
"thoughtless";29
"tight";53
"timid";224
"timorous";81
"tranquil";261
"treacherous";102
"tremulous";262
"trim";198
"true";19
"truthful";271
"ugly";142
"uncertain";126
"uncharitable";155
"uncompromising";268
"undecided";205
"undutiful";81
"unerring";256
"unflinching";133
"ungentle";79
"ungrateful";6
"unhappy";92
"unscrupulous";93
"untoward";88
"urgent";186
"vague";200
"vain";224
"violent";3
"virtuous";232
"vivacious";178
"volatile";166
"weak";108
"willing";56
"wise";59
"trustful";252
"wiser";168
"vindictive";273
"unrelenting";115
"surly";212
"tough";63
"verbal";54
"wrathful";89
"watchful";189
"talkative";258
"unmindful";202
"unceremonious";191
"worldly";254
"unchanging";229
"visionary";36
"ungainly";36
"unresisting";136
"untidy";98
"womanly";163
"unbending";256
"variable";14
"wasteful";269
"unamiable";257
"unassuming";163
"unyielding";66
"vicious";209
"wary";177
"unkind";154
"woeful";207
"whimsical";65
"wistful";1
"superstitious";257
"unsteady";98
"susceptible";195
"windy";95
"trusty";265
"roguish";187
"unworldly";206
"zealous";191
"unwinking";181
"vagrant";129
"vehement";206
"thorough";10
