"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-abide";13;13;0;0;1;"#-abide";4,13940692302449;"#-abide";0,850411428035616;"#-abide";130;"#-abide";0,133004926108374;"#-abide";0,281035661697388
"#-dress";14;14;0;0;1;"#-dress";4,23961691381247;"#-dress";0,799429221459586;"#-dress";201;"#-dress";0,0676056338028169;"#-dress";0,37237811088562
"#-gaze";12;12;0;0;1;"#-gaze";4,30904875491691;"#-gaze";0,730021417819264;"#-gaze";366;"#-gaze";0,0166666666666667;"#-gaze";0,56297904253006
"#-partner";16;16;0;0;1;"#-partner";4,32019432536643;"#-partner";0,741162228776746;"#-partner";340;"#-partner";0,0204813108038914;"#-partner";0,546175241470337
"#-persuaded";14;14;0;0;1;"#-persuaded";4,32018783929189;"#-persuaded";0,726321860437981;"#-persuaded";383;"#-persuaded";0,0153425193003029;"#-persuaded";0,567523777484894
"#-point";12;12;0;0;1;"#-point";4,01206485279618;"#-point";0,88515759198593;"#-point";93;"#-point";0,198529411764706;"#-point";0,205589845776558
"#-proposed";7;7;0;0;1;"#-proposed";4,32033712425182;"#-proposed";0,726028674394676;"#-proposed";384;"#-proposed";0,0152895431190112;"#-proposed";0,567807376384735
"#-quite";52;35;3;26,6666666666667;0,673076923076923;"#-quite";4,28153126378145;"#-quite";0,756058110067171;"#-quite";289,5;"#-quite";0,0305319712396645;"#-quite";0,486818619072438
"#-responded";8;8;0;0;1;"#-responded";4,17134712241346;"#-responded";0,81408595750887;"#-responded";168;"#-responded";0,0854901960784314;"#-responded";0,344489097595215
"#-sanguine";22;17;1;296;0,772727272727273;"#-sanguine";3,88295608881695;"#-sanguine";0,835583324284601;"#-sanguine";195,5;"#-sanguine";0,176187909323594;"#-sanguine";0,313100226223469
"#-seen";234;90;19;19,1052631578947;0,384615384615385;"#-seen";4,19728868216577;"#-seen";0,782919881219343;"#-seen";250,45;"#-seen";0,0704312145692081;"#-seen";0,429870009422302
"#-stronger";9;9;0;0;1;"#-stronger";4,13681325826575;"#-stronger";0,816115888805668;"#-stronger";159;"#-stronger";0,0880102040816326;"#-stronger";0,313986331224442
"#-touch";32;20;2;145;0,625;"#-touch";3,89185286448172;"#-touch";0,821047775960838;"#-touch";235;"#-touch";0,180251926494704;"#-touch";0,359926223754883
"#-wanting";40;30;2;102,5;0,75;"#-wanting";4,20069119417061;"#-wanting";0,79574554215932;"#-wanting";239,666666666667;"#-wanting";0,0865874149929876;"#-wanting";0,397979900240898
"#-what";9;9;0;0;1;"#-what";4,32219831243793;"#-what";0,74849073185136;"#-what";322;"#-what";0,0248838885329917;"#-what";0,519396781921387
"#-will";43;28;3;124,333333333333;0,651162790697674;"#-will";4,10337995145355;"#-will";0,808567026259025;"#-will";212,25;"#-will";0,106835628040862;"#-will";0,37975038588047
"#-youthful";12;12;0;0;1;"#-youthful";4,27188873709467;"#-youthful";0,758609141798777;"#-youthful";279;"#-youthful";0,0316394013226592;"#-youthful";0,483626663684845
"abide";10;10;0;0;1;"abide";4,22277646680641;"abide";0,763144628696198;"abide";253;"abide";0,0380989787902592;"abide";0,453941196203232
"abstracts";9;9;0;0;1;"abstracts";4,25014335567014;"abstracts";0,794143501130073;"abstracts";211;"abstracts";0,062200956937799;"abstracts";0,368584722280502
