"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-abandon";31;31;0;0;1;"#-abandon";4,52340137043037;"#-abandon";0,843714767003716;"#-abandon";213;"#-abandon";0,12512077294686;"#-abandon";0,300062626600266
"#-affronted";20;20;0;0;1;"#-affronted";4,74950213597867;"#-affronted";0,799202839634378;"#-affronted";381;"#-affronted";0,0523989898989899;"#-affronted";0,456541657447815
"#-arrange";21;21;0;0;1;"#-arrange";4,72682522761106;"#-arrange";0,81724897945603;"#-arrange";325;"#-arrange";0,0736842105263158;"#-arrange";0,397959172725677
"#-attributed";22;22;0;0;1;"#-attributed";4,30574394456021;"#-attributed";0,865174664229874;"#-attributed";145;"#-attributed";0,186153846153846;"#-attributed";0,218700915575027
"#-compel";48;34;2;46,5;0,708333333333333;"#-compel";4,61032904338891;"#-compel";0,825571786355097;"#-compel";282;"#-compel";0,094533116586198;"#-compel";0,363232478499412
"#-consider";18;18;0;0;1;"#-consider";4,74119613657203;"#-consider";0,807021623535708;"#-consider";356;"#-consider";0,061965811965812;"#-consider";0,445072054862976
"#-denied";36;29;1;9;0,805555555555556;"#-denied";4,61179612340255;"#-denied";0,834759028383728;"#-denied";251;"#-denied";0,101936002593897;"#-denied";0,344134360551834
"#-distinguish";29;23;1;116;0,793103448275862;"#-distinguish";4,4814194826697;"#-distinguish";0,841003521057221;"#-distinguish";247;"#-distinguish";0,139963923074685;"#-distinguish";0,321490973234176
"#-else";43;35;1;90;0,813953488372093;"#-else";4,36033755302429;"#-else";0,885229501985525;"#-else";193;"#-else";0,287234042553192;"#-else";0,205373391509056
"#-endure";222;102;12;9,58333333333333;0,459459459459459;"#-endure";4,60201631802138;"#-endure";0,831825424540756;"#-endure";268,615384615385;"#-endure";0,106643791367915;"#-endure";0,349612944401227
"#-explain";76;51;3;40,3333333333333;0,671052631578947;"#-explain";4,4684625961498;"#-explain";0,851111719892834;"#-explain";223,75;"#-explain";0,156941271697941;"#-explain";0,284691765904427
"#-first";14;14;0;0;1;"#-first";4,32692648139318;"#-first";0,860149066345197;"#-first";153;"#-first";0,172413793103448;"#-first";0,234999984502792
"#-impute";21;21;0;0;1;"#-impute";4,72682522761106;"#-impute";0,81724897945603;"#-impute";325;"#-impute";0,0736842105263158;"#-impute";0,397959172725677
"#-inclination";25;25;0;0;1;"#-inclination";3,74300198863453;"#-inclination";0,972171037539459;"#-inclination";47;"#-inclination";0,5;"#-inclination";0
"#-indebted";13;13;0;0;1;"#-indebted";4,34667216573618;"#-indebted";0,857517126449597;"#-indebted";159;"#-indebted";0,162365591397849;"#-indebted";0,239528983831406
