"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"adventure";14;10;4;418,75;0,714285714285714;"adventure";4,02165665937643;"adventure";0,799985756732731;"adventure";194,4;"adventure";0,00981550725624136;"adventure";0,552911078929901
"afflicted";7;7;0;0;1;"afflicted";4,20374719442787;"afflicted";0,748427721431318;"afflicted";275;"afflicted";0,00244926259768004;"afflicted";0,584302663803101
"affliction";50;34;11;109,090909090909;0,68;"affliction";4,27029020196063;"affliction";0,732871479530798;"affliction";344,25;"affliction";0,00174167241410415;"affliction";0,614137515425682
"alight";3;3;0;0;1;"alight";4,29802735443911;"alight";0,698797746537751;"alight";469;"alight";0,000895382532445602;"alight";0,678491234779358
"all”";5;4;2;164,5;0,8;"all”";4,32250047098183;"all”";0,713706903546468;"all”";427;"all”";0,00115286856531287;"all”";0,645245889822642
"along";107;45;27;82,7407407407407;0,420560747663551;"along";4,22582159610062;"along";0,740185584523746;"along";332,75;"along";0,00322508515733938;"along";0,612022972532681
"amiss";5;5;1;640;1;"amiss";4,31034085260766;"amiss";0,714905871153524;"amiss";416,5;"amiss";0,00121722623879413;"amiss";0,64697328209877
"anticipated";5;5;0;0;1;"anticipated";4,30607092301829;"anticipated";0,707183312177887;"anticipated";441;"anticipated";0,00102187299695486;"anticipated";0,648543000221252
"anything";182;75;51;45,0196078431373;0,412087912087912;"anything";4,19649409593378;"anything";0,748310301224656;"anything";315,865384615385;"anything";0,00559922929687542;"anything";0,590454550889822
"apparently";8;7;1;673;0,875;"apparently";3,94086345532133;"apparently";0,814677019599356;"apparently";168;"apparently";0,0141752915374903;"apparently";0,526165351271629
"appearing";3;3;0;0;1;"appearing";4,31016711425058;"appearing";0,710261179209371;"appearing";432;"appearing";0,00106269865699695;"appearing";0,656781375408173
"approach";9;9;3;588,333333333333;1;"approach";4,26615132770198;"approach";0,725887157959648;"approach";369,75;"approach";0,00187363938941097;"approach";0,625449955463409
"ardent";5;5;1;324;1;"ardent";4,32276618478398;"ardent";0,718307737007428;"ardent";411;"ardent";0,00125857166333406;"ardent";0,642933070659637
"argued";10;8;1;171;0,8;"argued";4,32117991634281;"argued";0,723744383356242;"argued";392;"argued";0,00139871813797274;"argued";0,630392611026764
"arriving";3;3;0;0;1;"arriving";4,26488325945608;"arriving";0,737381079996296;"arriving";325;"arriving";0,0017953825569056;"arriving";0,611343562602997
"arrow”";1;1;0;0;1;"arrow”";4,30204092392591;"arrow”";0,699693113288443;"arrow”";468;"arrow”";0,000902211650231327;"arrow”";0,671759903430939
"astern";0;0;0;0;0;"astern";4,0414937912936;"astern";0,779942610892305;"astern";178;"astern";0,00649137761458265;"astern";0,548705339431763
"ate";42;28;14;109,785714285714;0,666666666666667;"ate";4,21852319975424;"ate";0,743255728420164;"ate";301,333333333333;"ate";0,00257332610604032;"ate";0,595365560054779
"attending";15;15;0;0;1;"attending";3,28366192823366;"attending";0,956224275950958;"attending";31;"attending";0,0576923076923077;"attending";0,222222223877907
"attention";3;3;1;352;1;"attention";4,31851137187884;"attention";0,711967195077595;"attention";431;"attention";0,00111559881192225;"attention";0,650414705276489
"authority";15;10;4;510,5;0,666666666666667;"authority";4,16120718823088;"authority";0,75406396409459;"authority";307;"authority";0,00545885008318919;"authority";0,603611397743225
"aware";5;5;1;1025;1;"aware";4,29403539502382;"aware";0,713417179805584;"aware";415,5;"aware";0,00118405398778833;"aware";0,646390348672867
