"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-able";2;2;12;554;1;"#-able";0,0749968599000342;"#-able";0,856981742968873;"#-able";192,692307692308;"#-able";9,86039559335244e-05;"#-able";0,862969242609464
"#-advantage";0;0;2;1678;0;"#-advantage";0,423110805200445;"#-advantage";0,88405218011191;"#-advantage";133,333333333333;"#-advantage";0,000204300866970692;"#-advantage";0,856500764687856
"#-catch";0;0;0;0;0;"#-catch";0;"#-catch";0,972081956724793;"#-catch";18;"#-catch";0,00114155251141553;"#-catch";0,666666626930237
"#-companion";0;0;0;0;0;"#-companion";0;"#-companion";0,948450312207479;"#-companion";8;"#-companion";0,00649350649350649;"#-companion";0,444444417953491
"#-convinced";0;0;2;1706;0;"#-convinced";0,0684839559334502;"#-convinced";0,838052517395743;"#-convinced";241,333333333333;"#-convinced";5,0892654034982e-05;"#-convinced";0,84600172440211
"#-dared";1;1;2;1564;1;"#-dared";0,0280014035958103;"#-dared";0,824952210443509;"#-dared";277,333333333333;"#-dared";3,6217030699937e-05;"#-dared";0,844168742497762
"#-denial";0;0;0;0;0;"#-denial";0;"#-denial";0,878613754378938;"#-denial";128;"#-denial";0,00011215540252574;"#-denial";0,892688810825348
"#-depressed";0;0;0;0;0;"#-depressed";0;"#-depressed";0,82335752707057;"#-depressed";274;"#-depressed";3,44162854585048e-05;"#-depressed";0,847789585590363
"#-determine";0;0;0;0;0;"#-determine";0;"#-determine";0,830778669499163;"#-determine";257;"#-determine";4,22208674975368e-05;"#-determine";0,844853401184082
"#-distress";0;0;0;0;0;"#-distress";0;"#-distress";0,845695881661294;"#-distress";224;"#-distress";6,01870987736606e-05;"#-distress";0,852475881576538
"#-enough";3;3;3;1837,66666666667;1;"#-enough";0,259272375781333;"#-enough";0,866123655050738;"#-enough";172,25;"#-enough";0,000129932057402097;"#-enough";0,861911356449127
"#-even";0;0;2;2925,5;0;"#-even";0,252151826218655;"#-even";0,858754436415736;"#-even";183,666666666667;"#-even";0,000100172003245621;"#-even";0,863458891709645
"#-fair";0;0;1;1565;0;"#-fair";0,56833700966436;"#-fair";0,895512969684554;"#-fair";103,5;"#-fair";0,000242525546186538;"#-fair";0,868116378784179
"#-family";0;0;0;0;0;"#-family";0;"#-family";0,921851137860573;"#-family";65;"#-family";0,000326900769798587;"#-family";0,861862659454346
"#-far";0;0;0;0;0;"#-far";0;"#-far";0,816827501827209;"#-far";299;"#-far";2,84292925154894e-05;"#-far";0,835358321666718
"#-forgive";1;1;2;1344,5;1;"#-forgive";0,0873542193187702;"#-forgive";0,848549872604525;"#-forgive";206;"#-forgive";7,31059453223577e-05;"#-forgive";0,861230174700419
"#-friend";0;0;3;1767,66666666667;0;"#-friend";0,179961054387957;"#-friend";0,855764483914758;"#-friend";189,75;"#-friend";9,38247221503079e-05;"#-friend";0,863724395632744
"#-girl";0;0;1;43;0;"#-girl";0,01962257054935;"#-girl";0,890519869696369;"#-girl";99;"#-girl";0,000187175759989298;"#-girl";0,881808191537857
"#-interrupted";0;0;0;0;0;"#-interrupted";0;"#-interrupted";0,823212455338078;"#-interrupted";277;"#-interrupted";3,40009986739611e-05;"#-interrupted";0,85252320766449
"#-manoeuvring";0;0;0;0;0;"#-manoeuvring";0;"#-manoeuvring";0,865038423968833;"#-manoeuvring";157;"#-manoeuvring";9,71320365272495e-05;"#-manoeuvring";0,863489329814911
"#-matter";0;0;0;0;0;"#-matter";0;"#-matter";0,835503036871278;"#-matter";247;"#-matter";4,76320429398937e-05;"#-matter";0,845280289649963
"#-night";0;0;1;154;0;"#-night";0,02954450738787;"#-night";0,846254306854229;"#-night";221;"#-night";6,04832454962487e-05;"#-night";0,850633084774017
"#-overpowered";0;0;0;0;0;"#-overpowered";0;"#-overpowered";0,887433907664149;"#-overpowered";111;"#-overpowered";0,000144266241287349;"#-overpowered";0,863344669342041
"#-probability";0;0;0;0;0;"#-probability";0;"#-probability";0,850015801045289;"#-probability";206;"#-probability";6,65038098193178e-05;"#-probability";0,840249955654144
"#-reason";0;0;7;726,285714285714;0;"#-reason";0,07737274489887;"#-reason";0,852565381459411;"#-reason";199,75;"#-reason";8,27114717978329e-05;"#-reason";0,860439173877239
"#-slight";1;1;0;0;1;"#-slight";0;"#-slight";0,911744660251629;"#-slight";70;"#-slight";0,000280227918707215;"#-slight";0,879109978675842
"#-sorry";0;0;5;1395,2;0;"#-sorry";0,18626559403358;"#-sorry";0,852288137661724;"#-sorry";212,666666666667;"#-sorry";0,000130098718723756;"#-sorry";0,852547228336334
"#-spare";0;0;0;0;0;"#-spare";0;"#-spare";0,865504053062641;"#-spare";156;"#-spare";9,90435360934741e-05;"#-spare";0,862546384334564
"#-spend";0;0;0;0;0;"#-spend";0;"#-spend";0,956177551903065;"#-spend";25;"#-spend";0,0007703081232493;"#-spend";0,71074378490448
"#-stomach";0;0;0;0;0;"#-stomach";0;"#-stomach";0,856895398424843;"#-stomach";180;"#-stomach";8,74083012303251e-05;"#-stomach";0,87357884645462
"#-tolerated";0;0;0;0;0;"#-tolerated";0;"#-tolerated";0,830965683372046;"#-tolerated";256;"#-tolerated";4,34467241213029e-05;"#-tolerated";0,838091611862183
"#-trouble";0;0;0;0;0;"#-trouble";0;"#-trouble";0,847333559808303;"#-trouble";216;"#-trouble";6,20587688504627e-05;"#-trouble";0,849305808544159
"#-try";0;0;0;0;0;"#-try";0;"#-try";0,839328510359289;"#-try";236;"#-try";5,18517016757807e-05;"#-try";0,849235415458679
"#-unsteady";0;0;0;0;0;"#-unsteady";0;"#-unsteady";0,823203393426483;"#-unsteady";281;"#-unsteady";3,19598495443809e-05;"#-unsteady";0,838902413845062
"#-worse";1;1;0;0;1;"#-worse";0;"#-worse";0,876827720585914;"#-worse";135;"#-worse";0,000110619469026549;"#-worse";0,849204838275909
"able";12;10;28;263,964285714286;0,833333333333333;"able";0,0679098810805204;"able";0,856929872322496;"able";197,862068965517;"able";0,000143072140706138;"able";0,847559363677584
"absolute";1;1;1;643;1;"absolute";0,00311905017887959;"absolute";0,829524153348388;"absolute";258,5;"absolute";4,10114884721131e-05;"absolute";0,844007670879364
"accepted";1;1;3;1061;1;"accepted";0,0196321233381968;"accepted";0,822231683090618;"accepted";283,75;"accepted";3,37639309003446e-05;"accepted";0,840407967567444
"acquitted";0;0;0;0;0;"acquitted";0;"acquitted";0,823766615447903;"acquitted";278;"acquitted";3,37369022698907e-05;"acquitted";0,853147149085999
"action";4;4;3;691,333333333333;1;"action";0,0113052457408867;"action";0,827748693993212;"action";267,75;"action";3,78748084164956e-05;"action";0,848872616887093
"adapt";0;0;0;0;0;"adapt";0;"adapt";0,864118932787613;"adapt";164;"adapt";9,4737424602955e-05;"adapt";0,866055369377136
"admits";0;0;0;0;0;"admits";0;"admits";0,81896834286154;"admits";294;"admits";2,93869260148275e-05;"admits";0,836827158927917
"advantage";1;1;15;476,2;1;"advantage";0,145309185820046;"advantage";0,859659308330009;"advantage";188,1875;"advantage";0,000266690214900135;"advantage";0,844077680259943
"agony";0;0;0;0;0;"agony";0;"agony";0,824315945891778;"agony";287;"agony";3,13479313966054e-05;"agony";0,843979120254517
"agreeably";1;1;4;1291,25;1;"agreeably";0,0749576454092999;"agreeably";0,842452216884621;"agreeably";224,4;"agreeably";6,12916972424466e-05;"agreeably";0,850095331668854
"alliances";0;0;0;0;0;"alliances";0;"alliances";0,86724690975019;"alliances";150;"alliances";0,000101158603202007;"alliances";0,871232748031616
"amusing";0;0;3;963,333333333333;0;"amusing";0,185641884928203;"amusing";0,861336320428043;"amusing";175,75;"amusing";0,00010328421062045;"amusing";0,862026587128639
"another";22;22;71;100,43661971831;1;"another";0,0133707223517908;"another";0,846476265946351;"another";219,236111111111;"another";7,77736413373377e-05;"another";0,853394763337241
