"Great_Expectations"
"51"
"0"
"1746"
"219.75"
"0.000468556776076184"
"0.69947761297226"
"Great_Expectations"
"51"
"0"
"1745"
"219.75"
"0.000468556776076184"
"0.703639149665833"
