"awake";"exhausted"
"great";"impatient"
"handsome";"kind"
"tall";"thin"
"certain";"little"
"little";"old"
"little";"sweet"
"old";"sweet"
"fair";"little"
"good";"little"
"great";"little"
"expressive";"kind"
"expressive";"negative"
"kind";"negative"
"little";"poor"
"certain";"handsome"
"argumentative";"little"
"argumentative";"negative"
"little";"negative"
"brave";"sensitive"
"evil";"jealous"
"tiny";"unusual"
"great";"thinking"
"great";"polite"
"good";"hard"
"determined";"good"
"determined";"short"
"good";"short"
"cheerful";"feminine"
"bright";"healthy"
"bright";"pleasant"
"healthy";"pleasant"
"fair";"natural"
"fair";"rich"
"natural";"rich"
"bright";"good"
"bright";"kind"
"bright";"lovely"
"bright";"wonderful"
"good";"kind"
"good";"lovely"
"good";"wonderful"
"kind";"lovely"
"kind";"wonderful"
"lovely";"wonderful"
"pleasant";"pretty"
"cool";"forward"
"agreeable";"interesting"
"agreeable";"practical"
"interesting";"practical"
"frightening";"little"
"appealing";"great"
"appealing";"poor"
"appealing";"young"
"great";"poor"
"great";"young"
"poor";"young"
"affectionate";"kind"
"affectionate";"playful"
"affectionate";"practical"
"kind";"playful"
"kind";"practical"
"playful";"practical"
"good";"quiet"
"gentle";"graceful"
"gentle";"uncomfortable"
"graceful";"uncomfortable"
"helpful";"practical"
"alone";"handsome"
"alone";"observant"
"alone";"proud"
"alone";"tall"
"alone";"terrible"
"alone";"young"
"handsome";"observant"
"handsome";"proud"
"handsome";"tall"
"handsome";"terrible"
"handsome";"young"
"observant";"proud"
"observant";"tall"
"observant";"terrible"
"observant";"young"
"proud";"tall"
"proud";"terrible"
"proud";"young"
"tall";"terrible"
"tall";"young"
"terrible";"young"
"old";"tough"
"old";"young"
"tough";"young"
"sensible";"short"
"cool";"good"
"cool";"understanding"
"good";"understanding"
"cruel";"handsome"
"cruel";"proud"
"delighted";"short"
"afraid";"young"
"evil";"little"
"curious";"open"
"caring";"tired"
"attentive";"strange"
"old";"wonderful"
"little";"passionate"
"artificial";"natural"
"responsible";"young"
"corrupt";"fair"
"poor";"scared"
"gentle";"natural"
"old";"thinking"
"beautiful";"bright"
"adventurous";"little"
"old";"short"
"old";"proper"
"disappointed";"hopeful"
"good";"great"
"good";"old"
"great";"old"
"active";"old"
"old";"strong"
"forward";"old"
"tall";"thankful"
"little";"old-fashioned"
"open";"short"
"cool";"little"
"cool";"old"
"alone";"certain"
"alone";"old"
"certain";"old"
"innocent";"old"
"awful";"clever"
"little";"tall"
"old";"tall"
"old";"well"
"natural";"weird"
"childish";"old"
"sensible";"trustworthy"
"clever";"good"
"clever";"great"
"bright";"pretty"
"bright";"unusual"
"pretty";"unusual"
"cold";"little"
"cold";"open"
"little";"open"
"distinguished";"old"
"distinguished";"original"
"old";"original"
"careful";"firm"
"careful";"jealous"
"careful";"open"
"firm";"jealous"
"firm";"open"
"jealous";"open"
"natural";"open"
"natural";"ordinary"
"open";"ordinary"
"expressive";"friendly"
"dumb";"tall"
"hard";"old"
"kind";"mean"
"cruel";"sensible"
"old";"religious"
"faithful";"great"
"faithful";"old"
"faithful";"short"
"great";"short"
"hard";"little"
"hard";"shy"
"hard";"youthful"
"little";"shy"
"little";"youthful"
"shy";"youthful"
"dependent";"hard"
"great";"happy"
"busy";"little"
"busy";"tiny"
"little";"tiny"
"corrupt";"old"
"corrupt";"strong"
"corrupt";"unusual"
"old";"unusual"
"strong";"unusual"
"blind";"strong"
"bad";"blind"
"bad";"good"
"bad";"little"
"bad";"strong"
"blind";"good"
"blind";"little"
"good";"strong"
"little";"strong"
"certain";"open"
"helpless";"middle-aged"
"inexperienced";"little"
"good";"practical"
"experienced";"short"
"open";"sarcastic"
"encouraging";"patient"
"good";"helpless"
"good";"patient"
"good";"poor"
"helpless";"kind"
"helpless";"patient"
"helpless";"poor"
"kind";"patient"
"kind";"poor"
"patient";"poor"
"giving";"little"
"little";"nice"
"happy";"little"
"happy";"thankful"
"little";"thankful"
"old";"poor"
"pretty";"well"
"popular";"short"
"short";"weak"
"little";"well"
"cheap";"little"
"difficult";"little"
"pleasant";"short"
"certain";"difficult"
"certain";"social"
"difficult";"social"
"little";"social"
"professional";"remarkable"
"professional";"young"
"little";"pleased"
"social";"well"
"little";"useful"
"kind";"little"
"professional";"wonderful"
"certain";"fine"
"certain";"proud"
"fine";"proud"
"afraid";"good"
"afraid";"weak"
"good";"weak"
"little";"weak"
"afraid";"little"
