"" "abominable" "admired" "afford" "again" "aim" "already" "ammunition" "amusements" "anchor" "apply" "apprehend" "arrive" "arrow" "assurance" "assuring" "astonished" "aversion" "awakened" "barbarities" "barred" "basket" "beak" "beater" "been" "beeswax" "beg" "belong" "belonged" "belt" "bent" "bewitched" "birds" "boldly" "bone" "books" "born" "bounds" "brandy" "break" "brew" "broiled" "broken" "burying" "busy" "called" "calls" "carpenter" "carrying" "catched" "catching" "cautiously" "ceremonies" "changed" "charitably" "circle" "circumstance" "city" "climates" "closing" "clusters" "coals" "coasting" "coat" "colours" "committing" "communicate" "communications" "compare" "complicated" "composure" "conclusion" "condemn" "conference" "conscience" "consent" "consented" "considerable" "contrived" "conveniences" "conversing" "convulsions" "countries" "creatures" "credible" "cries" "cruelties" "cure" "currents" "cutlass" "dam" "dancing" "danger" "days" "dazzling" "debt" "delay" "delayed" "describe" "devise" "diamonds" "dig" "directing" "disability" "disabled" "discomposed" "discussion" "dismal" "distress" "doctrines" "dolphin" "domestic" "doubled" "doubting" "draught" "dreading" "dreamed" "dust" "dwelt" "earthquake" "eastern" "eatee" "echo" "egress" "eighty" "eked" "embodied" "embracings" "emperor" "employ" "enemies" "enemy" "engagement" "equal" "established" "exalted" "explain" "extent" "extorted" "extraordinarily" "famous" "feet" "fellow" "fellows" "ferment" "fewest" "fiery" "figure" "finish" "finishing" "fir" "firing" "fitness" "flour" "fluttering" "forecast" "foremast" "forfeited" "formal" "forsook" "frequent" "fresh" "friendship" "fullest" "fund" "gate" "getting" "glorify" "gnaw" "gout" "governed" "grasping" "gross" "grudge" "guides" "gunnel" "hallooing" "handling" "hanged" "happiness" "hares" "hastily" "hatchet" "hearts" "hide" "highest" "hint" "holy" "homeward" "honour" "honourable" "honourably" "hooped" "hopeless" "hurries" "ideas" "imagination" "incapable" "informed" "ingenio" "inhabited" "integrity" "interred" "intimations" "invited" "journal" "journeys" "lane" "large" "late" "laying" "lays" "leaf" "leaning" "leave" "lee" "legitimates" "limbs" "liquid" "liquors" "looks" "loose" "los" "losses" "machine" "make" "malefactors" "managing" "married" "masts" "meant" "mercies" "merriment" "methods" "miserably" "misspent" "monastery" "money" "monthly" "more" "mused" "name" "nauseate" "necessary" "necessities" "nobody" "northern" "notice" "obedient" "oblige" "obstinacy" "obstinately" "odd" "offenders" "offers" "offshore" "old" "omitting" "omnipotence" "oozy" "ordering" "overjoyed" "parcels" "perceived" "perfection" "perplexed" "perplexing" "pitfall" "planted" "plucking" "point" "pork" "possibility" "pouch" "powder" "power" "practised" "prepared" "preposterous" "prey" "probability" "probable" "probably" "promiscuously" "proper" "pumps" "punish" "purpose" "pursuing" "pushing" "quality" "quarters" "raise" "rather" "reaped" "reasonings" "reasons" "regiment" "relation" "relations" "religious" "remainder" "remedy" "repeating" "required" "resembling" "resigning" "resolving" "return" "ripen" "rock" "rocks" "rollers" "rose" "roughness" "rounded" "rubbed" "rules" "rummaged" "runs" "sacks" "sake" "sands" "sat" "satisfaction" "savannahs" "scarcity" "searce" "sell" "separate" "serve" "seventy" "shed" "shedding" "shelter" "shooting" "should" "shut" "sign" "signified" "single" "skin" "slacker" "sliding" "slow" "smiling" "smoothly" "softness" "solitude" "sop" "sowed" "spake" "speaking" "spectacle" "spend" "sprang" "square" "stated" "steerage" "still" "stirring" "stowed" "strangled" "stripped" "suggesting" "superstitiously" "supply" "supplying" "surface" "surprise" "sweat" "sweetness" "swelled" "swimmer" "taken" "tediousness" "testimony" "thankful" "thatch" "there" "thing" "thoroughfare" "three" "ticklish" "tipped" "toil" "tour" "toward" "trading" "transports" "traps" "troops" "turfs" "unarmed" "undone" "unjustifiable" "unpleasant" "unspotted" "upward" "urgent" "used" "various" "verily" "vessel" "visit" "vivacity" "volleys" "vomited" "waked" "wandered" "wandering" "wanted" "war" "wariness" "water" "waters" "wheel" "when" "wicked" "wild" "willows" "worked" "worth" "wounded" "tolerably" "wildly" "wing" "wisdom" "wondered" "workman" "wound" "wrench" "yellings" "yielded" "yourself" "wrapping" "writings"
"abominable" 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"admired" 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"afford" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"again" 1 1 0 0 4 5 7 1 12 3 0 0 1 0 0 6 2 1 0 1 6 0 1 72 0 1 2 5 3 1 1 1 1 1 2 2 0 3 7 0 2 13 1 3 33 6 4 4 1 1 1 1 3 1 4 2 0 1 2 1 2 1 1 0 1 1 1 0 1 2 3 1 0 8 3 1 2 4 0 1 0 1 25 0 2 0 2 4 1 1 3 23 25 1 1 3 0 8 0 1 6 1 1 1 1 0 7 10 1 1 1 0 4 1 1 3 0 0 4 1 1 1 1 1 0 0 1 0 2 6 10 2 3 0 0 1 1 1 1 0 18 13 7 0 0 1 1 0 3 1 5 1 1 1 0 1 0 1 1 4 17 2 0 1 1 9 1 0 0 0 1 0 0 1 1 1 1 3 2 2 5 8 2 1 6 0 2 1 0 0 1 0 1 2 2 5 0 1 0 5 2 0 0 0 1 1 2 27 1 12 1 1 2 19 1 0 4 1 1 2 6 0 0 1 64 1 1 1 2 6 2 1 1 1 1 0 6 1 73 2 10 1 16 1 5 2 7 1 2 1 1 2 0 1 0 15 2 1 1 1 1 2 15 2 1 1 1 6 1 12 2 5 2 20 10 0 9 0 5 1 4 0 0 18 2 3 17 3 1 1 1 7 25 2 1 2 0 1 2 6 3 5 2 5 0 1 4 15 1 13 9 2 6 0 1 4 2 0 1 0 3 1 17 6 1 1 1 1 3 6 0 0 0 5 3 66 1 5 1 3 5 1 1 1 0 0 1 0 1 5 0 3 2 2 1 6 2 1 33 1 4 2 0 1 0 12 1 2 16 2 2 2 0 28 0 1 12 1 74 28 0 60 1 1 2 0 1 1 2 2 1 0 3 3 0 2 1 1 1 21 1 3 8 2 1 2 2 2 3 4 20 3 1 34 5 3 77 4 21 0 12 4 7 1 1 1 1 3 1 2 1 1 5 1 0 0
"aim" 0 0 0 4 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 5 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 1 0 0 0 0 5 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 3 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 1 0 2 0 0 2 0 4 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 2 0 0 4 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0
"already" 0 0 0 5 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 9 0 0 0 0 1 1 0 1 0 0 0 2 0 0 1 1 1 2 0 0 5 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 6 0 0 0 1 0 0 0 0 5 6 0 0 0 0 2 1 0 2 1 0 1 0 0 1 3 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 4 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 8 0 0 0 0 0 1 0 0 0 0 0 0 0 10 0 1 0 4 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 4 0 0 3 0 0 0 1 1 6 1 0 0 0 0 0 1 1 1 0 2 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 1 1 7 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 4 0 0 2 0 1 0 0 4 1 1 3 0 10 5 0 5 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 4 0 0 3 0 0 11 2 4 0 3 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"ammunition" 2 1 0 7 0 1 0 0 2 0 0 0 0 1 0 1 0 1 1 0 1 0 0 11 0 0 0 0 2 0 0 0 0 0 1 1 0 0 1 0 0 4 0 0 4 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 2 0 0 0 0 0 0 0 0 5 3 0 0 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 6 2 1 0 0 1 4 0 1 0 0 1 0 1 0 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 1 11 0 2 0 3 1 0 0 1 0 1 0 0 0 1 0 1 5 0 0 0 1 0 1 3 1 0 0 1 2 1 1 0 1 0 8 2 1 2 0 0 0 0 1 1 4 0 0 3 0 0 0 0 2 3 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 2 0 2 1 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 1 0 1 1 2 0 12 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 3 0 1 0 0 0 0 3 0 0 1 1 0 0 0 6 0 0 3 0 12 3 1 9 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 3 0 2 0 0 0 0 0 0 1 1 4 1 0 6 1 1 11 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"amusements" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anchor" 0 0 0 12 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 6 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 1 0 0 1 0 0 0 8 3 0 0 1 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 3 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 5 0 0 0 0 1 0 0 0 0 0 13 1 0 0 0 2 0 0 0 0 0 0 0 0 10 1 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 6 0 0 0 0 0 0 3 1 2 0 4 0 0 1 0 0 0 1 0 0 4 0 0 4 1 0 0 0 0 4 0 0 0 0 0 0 0 0 1 1 0 0 0 1 3 0 2 4 1 1 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 13 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 7 0 1 0 1 0 0 0 0 1 5 0 0 0 0 8 0 0 2 0 12 6 0 5 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 2 0 1 1 0 0 0 0 0 1 0 3 0 0 7 3 1 11 1 4 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"apply" 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 3 0 0 0 0 0 0 1 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 1 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 2 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 3 0 0 1 0 0 5 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
