"" "bad" "curious" "delighted" "dishonest" "excellent" "fat" "gentle" "glad" "good" "great" "honest" "innocent" "little" "passionate" "pleasant" "rich" "terrible" "sweet" "rough" "strange"
"bad" 0 0 1 0 0 0 1 0 1 2 0 0 1 0 1 1 1 0 0 0
"curious" 0 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0
"delighted" 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0
"dishonest" 0 1 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0
"excellent" 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0
"fat" 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0
"gentle" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"glad" 0 1 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0
"good" 1 1 1 1 1 1 0 1 0 1 2 1 2 1 1 2 0 1 1 1
"great" 2 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 0 0
"honest" 0 1 0 1 1 1 0 1 2 0 0 1 1 1 0 1 0 1 0 1
"innocent" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1
"little" 1 1 1 1 1 1 0 1 2 1 1 0 0 1 1 1 0 1 0 0
"passionate" 0 1 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0
"pleasant" 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0
"rich" 1 0 1 0 0 0 0 0 2 1 1 1 1 0 1 0 0 0 0 1
"terrible" 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"sweet" 0 1 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0
"rough" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"strange" 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0
