"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"bitter";111;74;5;48,6;0,666666666666667;"bitter";4,59833185976879;"bitter";0,858609191822034;"bitter";236,166666666667;"bitter";0,0923340789868309;"bitter";0,417966725925605
"blind";173;88;11;20,5454545454545;0,508670520231214;"blind";4,66309782085077;"blind";0,848958166588657;"blind";249,75;"blind";0,0647025985651951;"blind";0,432592409352461
"bold";140;76;8;22,75;0,542857142857143;"bold";4,69580837179203;"bold";0,844545419574122;"bold";261,777777777778;"bold";0,0523423227526154;"bold";0,45618435409334
"brave";30;26;1;43;0,866666666666667;"brave";4,70479279541629;"brave";0,841837638064433;"brave";267,5;"brave";0,0459928341520116;"brave";0,475472673773765
"bright";658;153;42;5,90476190476191;0,232522796352584;"bright";4,57499163318994;"bright";0,859820886181043;"bright";227,046511627907;"bright";0,09798455892274;"bright";0,388643643190694
"brilliant";141;84;7;16;0,595744680851064;"brilliant";4,61725517037921;"brilliant";0,860990539583015;"brilliant";217,875;"brilliant";0,0899433080479898;"brilliant";0,36496059037745
"businesslike";14;14;0;0;1;"businesslike";4,42795753076161;"businesslike";0,899994857198821;"businesslike";137;"businesslike";0,182336182336182;"businesslike";0,224090576171875
"busy";269;99;18;13,2222222222222;0,368029739776952;"busy";4,57575193578189;"busy";0,853335217109599;"busy";243,631578947368;"busy";0,0509987458415154;"busy";0,425890533547652
"calm";199;90;11;18,9090909090909;0,452261306532663;"calm";4,67981200316288;"calm";0,846096150733659;"calm";255,416666666667;"calm";0,0572427112632352;"calm";0,442338705062866
"capable";61;45;3;74,6666666666667;0,737704918032787;"capable";4,40183158054939;"capable";0,877844916611091;"capable";201,5;"capable";0,167278537692828;"capable";0,325588390231133
"careful";270;108;16;15,4375;0,4;"careful";4,53323732459666;"careful";0,869062027161678;"careful";206,411764705882;"careful";0,120846791091857;"careful";0,344762165756786
"careless";90;60;5;29,8;0,666666666666667;"careless";4,69822331599044;"careless";0,843904542634302;"careless";263;"careless";0,0506105305954632;"careless";0,46072659889857
"casual";38;33;1;126;0,868421052631579;"casual";4,64961939172083;"casual";0,851164057291093;"casual";239;"casual";0,0695040552770816;"casual";0,416571870446205
"cautious";124;76;7;28,1428571428571;0,612903225806452;"cautious";4,68719746845853;"cautious";0,845552670835253;"cautious";258,75;"cautious";0,0557698240622443;"cautious";0,451589521020651
"certain";830;204;53;4,75471698113208;0,24578313253012;"certain";4,58827421844345;"certain";0,857198689015922;"certain";232,685185185185;"certain";0,0791832743290923;"certain";0,401186290162581
"charming";213;94;14;13,8571428571429;0,44131455399061;"charming";4,67990399474822;"charming";0,846930946317686;"charming";254,066666666667;"charming";0,0587043106575341;"charming";0,434317827224731
"cheap";108;67;5;39;0,62037037037037;"cheap";4,45813829955097;"cheap";0,874149203475178;"cheap";198;"cheap";0,146814813976162;"cheap";0,326661258935928
"cheerful";524;148;32;7,75;0,282442748091603;"cheerful";4,58065598994058;"cheerful";0,862340366634634;"cheerful";219,333333333333;"cheerful";0,100302661028813;"cheerful";0,36989728790341
"childish";97;61;4;59,5;0,628865979381443;"childish";4,56383190544287;"childish";0,867309104776489;"childish";214;"childish";0,114582419072204;"childish";0,365561640262604
"chubby";29;24;1;18;0,827586206896552;"chubby";4,52348313298933;"chubby";0,882176894968165;"chubby";169,5;"chubby";0,143692067736185;"chubby";0,280604913830757
"clean";163;79;10;22;0,484662576687117;"clean";4,60861405600324;"clean";0,85928296540129;"clean";228,090909090909;"clean";0,0902288185848832;"clean";0,390874799002301
"clever";71;44;3;77,6666666666667;0,619718309859155;"clever";4,57363497194018;"clever";0,862577195850679;"clever";214,5;"clever";0,0993646032271802;"clever";0,365785021334886
"cold";796;168;52;4,75;0,21105527638191;"cold";4,63618413832321;"cold";0,852799760691487;"cold";243,094339622642;"cold";0,077786069678373;"cold";0,419136082788683
"comfortable";486;160;29;8,44827586206897;0,329218106995885;"comfortable";4,63606615331423;"comfortable";0,854087216322286;"comfortable";236,4;"comfortable";0,0773270518085626;"comfortable";0,40390304873387
"comical";71;51;3;70,3333333333333;0,71830985915493;"comical";4,43379796582152;"comical";0,872625235296768;"comical";219;"comical";0,154179050361084;"comical";0,367105193436146
"compassionate";70;51;3;27,3333333333333;0,728571428571429;"compassionate";4,68918969959716;"compassionate";0,842599971261476;"compassionate";261,75;"compassionate";0,04861031976778;"compassionate";0,467367552220821
"competent";8;8;0;0;1;"competent";4,63499563185227;"competent";0,850295897072671;"competent";233;"competent";0,0694702123273552;"competent";0,409096002578735
"complicated";12;12;0;0;1;"complicated";4,6737958099112;"complicated";0,848332977154375;"complicated";247;"complicated";0,0603190428713858;"complicated";0,414083182811737
"concerned";37;34;1;178;0,918918918918919;"concerned";4,55614396659702;"concerned";0,868726047253996;"concerned";206,5;"concerned";0,116582573281959;"concerned";0,35126182436943
"confident";26;24;1;107;0,923076923076923;"confident";4,71467318396476;"confident";0,843156908604922;"confident";269;"confident";0,0462905616817889;"confident";0,46069923043251
"confused";60;46;2;47;0,766666666666667;"confused";4,67740135931021;"confused";0,847459361500322;"confused";250,666666666667;"confused";0,0594146935827401;"confused";0,43106081088384
"confusing";11;11;0;0;1;"confusing";4,74347390475673;"confusing";0,832612965890853;"confusing";298;"confusing";0,031032885595183;"confusing";0,535731315612793
"considerate";44;36;1;13;0,818181818181818;"considerate";4,63411251628899;"considerate";0,85253650949101;"considerate";229,5;"considerate";0,0737581508752319;"considerate";0,401236668229103
"consistent";49;39;3;66,6666666666667;0,795918367346939;"consistent";4,63384500946413;"consistent";0,855585342912237;"consistent";237,25;"consistent";0,0793240380241958;"consistent";0,411312498152256
"cool";204;102;12;18,8333333333333;0,5;"cool";4,60348443562915;"cool";0,860901440207873;"cool";222,230769230769;"cool";0,0942178457901879;"cool";0,385765208647801
