"" "anxious" "bad" "delightful" "disappointed" "encouraging" "fine" "friendly" "good" "great" "happy" "interesting" "jealous" "little" "modest" "natural" "pleasant" "poor" "pretty" "proper" "quiet" "satisfied" "short" "young"
"anxious" 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 1
"bad" 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1
"delightful" 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1
"disappointed" 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"encouraging" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"fine" 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1
"friendly" 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1
"good" 1 1 1 1 1 0 0 0 2 1 0 1 0 0 0 1 1 0 1 0 0 1 1
"great" 1 1 1 1 1 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 1 1
"happy" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1
"interesting" 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1
"jealous" 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"little" 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1
"modest" 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1
"natural" 1 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1
"pleasant" 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1
"poor" 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 2
"pretty" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1
"proper" 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1
"quiet" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1
"satisfied" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1
"short" 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"young" 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 0 0
