"#-fair" "#-reasonable" "#-unpleasant" "accustomed" "afraid" "amusing" "appropriate" "beautiful" "calm" "capable" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delighted" "determined" "different" "direct" "entitled" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "forbidden" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "greedy" "happier" "harmless" "heavenly" "hobby" "honest" "humble" "improper" "independent" "intellectual" "intelligent" "interesting" "jest" "liberal" "married" "mature" "minded" "mysterious" "natural" "neat" "newest" "pleasant" "pleasing" "polite" "productive" "proud" "qualified" "quiet" "reasonable" "religious" "rich" "safe" "safer" "secure" "selfish" "sincere" "smart" "social" "stable" "strong" "superior" "welcome" "entertaining" "wealthy" "playful" "unpleasant" "wise" "worth" "novel" "original" "sympathetic" "modest" "surprising" "uncertain" "tidy" "universal" "united" "obliged"
"comfortable" 0 0 1 0 0 0 0 1 0 2 4 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 2 0 1 1 0 1 0 0 1 0 0 2 0 1 1 1 0 2 1 0 1 0 1 2 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 2 1 0 0 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2 2 0 0 0 1 0 1 0 0 0 0
"confident" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
"cruel" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"dangerous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"delicate" 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"delighted" 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 1 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 3 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"determined" 1 0 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"different" 1 0 0 0 1 0 1 2 1 3 1 0 1 1 1 0 0 1 1 2 1 0 0 0 0 1 0 1 0 2 1 0 2 0 2 1 1 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 1 1 0 0 0 1 1 0 2 2 0 3 0 0 1 0 1 0 2 0 1 0 0 2 0 2 0 1 0 0 0 0 1 1 0 0
"direct" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
