"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","active",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","afraid",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","agreeable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","alone",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","angry",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","anxious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","ashamed",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","awful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","awkward",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","bad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","beautiful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","big",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","blind",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","bold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","brave",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","bright",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","busy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","calm",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","capable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","careful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","careless",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","certain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","cheerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","clean",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","cold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","comfortable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","complicated",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","confident",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31","confused",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32","considerate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","cool",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","crazy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35","cruel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36","curious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","dangerous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","decent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","delightful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40","desirable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41","difficult",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42","direct",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43","disappointed",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44","dumb",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45","eager",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","elderly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","evil",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","excellent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49","excited",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","expressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","extraordinary",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52","fair",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53","faithful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54","familiar",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55","feminine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56","fine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57","foolish",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58","fortunate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59","friendly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60","generous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61","gentle",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62","genuine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63","glad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","good",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","graceful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66","gracious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","grateful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68","great",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69","greedy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","handsome",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71","happy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72","hard",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"73","helpless",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74","honest",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75","hopeful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76","ignorant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","impatient",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"78","important",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79","impressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80","independent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81","innocent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"82","interested",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83","interesting",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84","kind",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85","little",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86","lonely",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"87","loud",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"88","mean",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89","modest",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90","natural",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"91","neat",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92","nervous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93","nice",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"94","offensive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"95","old",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96","open",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"97","ordinary",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","original",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99","patient",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100","peaceful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","plain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102","pleasant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103","pleased",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"104","polite",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105","poor",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"106","powerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107","pretty",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108","private",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109","professional",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"110","proper",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"111","proud",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"112","quiet",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113","reasonable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"114","remarkable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"115","respectable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"116","rich",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117","ridiculous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"118","rough",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"119","sad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"120","satisfied",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"121","serious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"122","short",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123","stable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"124","strange",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"125","strict",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126","strong",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127","surprised",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128","suspicious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"129","sweet",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130","tall",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"131","terrible",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"132","thin",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"133","thoughtful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134","tired",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"135","troubled",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"136","uncomfortable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137","unhappy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"138","unreasonable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"139","unusual",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140","useful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"141","violent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"142","warm",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"143","weak",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"144","well",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"145","wise",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"146","wonderful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"147","worthy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"148","young",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"149","youthful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"150","admirable",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"151","attentive",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"152","awake",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"153","brilliant",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"154","charming",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"155","childish",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"156","clever",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"157","depressed",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"158","determined",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"159","devoted",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"160","distinguished",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"161","exhausted",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"162","famous",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"163","fat",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"164","firm",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"165","furious",14,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"166","healthy",14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"167","jealous",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"168","lazy",14,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"169","liberal",14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"170","lively",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"171","lovely",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"172","observant",14,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"173","passionate",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"174","pathetic",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"175","popular",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"176","practical",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"177","punctual",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178","religious",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"179","respectful",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"180","responsible",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"181","rude",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"182","selfish",14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"183","sensible",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"184","sensitive",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"185","social",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"186","terrific",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"187","thankful",14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"188","valuable",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"189","artificial",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"190","cheap",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"191","comical",13,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"192","compassionate",13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"193","consistent",13,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"194","delighted",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"195","encouraging",13,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"196","enthusiastic",13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"197","harmless",13,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"198","lucky",13,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"199","negative",13,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"200","noisy",13,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"201","positive",13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"202","prosperous",13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"203","sarcastic",13,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"204","sentimental",13,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"205","shallow",13,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"206","sincere",13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"207","sleepy",13,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"208","smart",13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"209","stupid",13,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"210","successful",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"211","unlucky",13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"212","amazing",12,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"213","argumentative",12,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"214","cautious",12,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"215","concerned",12,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"216","critical",12,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"217","dependent",12,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"218","embarrassed",12,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
"219","energetic",12,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
"220","intellectual",12,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"221","intelligent",12,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
"222","moody",12,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
"223","playful",12,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"224","prominent",12,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"225","respected",12,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
"226","romantic",12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"227","scared",12,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
