"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abnormal",0,0,0,0,0,0,0
"2","abusive",1,0,0,0,0,1,0
"3","accomplished",5,1,1,0,1,1,1
"4","active",6,1,1,1,1,1,1
"5","admirable",4,1,1,0,0,1,1
"6","adorable",0,0,0,0,0,0,0
"7","adventurous",1,1,0,0,0,0,0
"8","affectionate",6,1,1,1,1,1,1
"9","afraid",6,1,1,1,1,1,1
"10","aggravating",0,0,0,0,0,0,0
"11","aggressive",0,0,0,0,0,0,0
"12","agreeable",6,1,1,1,1,1,1
"13","alcoholic",0,0,0,0,0,0,0
"14","alert",2,1,1,0,0,0,0
"15","alone",6,1,1,1,1,1,1
"16","amazing",5,1,1,1,0,1,1
"17","ambitious",2,0,1,0,1,0,0
"18","amusing",6,1,1,1,1,1,1
"19","angry",6,1,1,1,1,1,1
"20","annoyed",1,0,0,0,0,1,0
"21","annoying",0,0,0,0,0,0,0
"22","anxious",6,1,1,1,1,1,1
"23","appealing",0,0,0,0,0,0,0
"24","appreciated",0,0,0,0,0,0,0
"25","appreciative",0,0,0,0,0,0,0
"26","argumentative",1,1,0,0,0,0,0
"27","arrogant",1,0,0,0,0,1,0
"28","artificial",4,0,1,0,1,1,1
"29","artistic",0,0,0,0,0,0,0
"30","ashamed",6,1,1,1,1,1,1
"31","assertive",0,0,0,0,0,0,0
"32","athletic",0,0,0,0,0,0,0
"33","attentive",6,1,1,1,1,1,1
"34","attractive",5,1,1,1,1,0,1
"35","average",0,0,0,0,0,0,0
"36","awake",6,1,1,1,1,1,1
"37","awesome",0,0,0,0,0,0,0
"38","awful",5,0,1,1,1,1,1
"39","awkward",6,1,1,1,1,1,1
"40","bad",6,1,1,1,1,1,1
"41","bashful",2,0,0,0,0,1,1
"42","beautiful",6,1,1,1,1,1,1
"43","believable",0,0,0,0,0,0,0
"44","big",0,0,0,0,0,0,0
"45","bitter",5,1,1,1,0,1,1
"46","blind",5,1,1,0,1,1,1
"47","bold",5,0,1,1,1,1,1
"48","bored",0,0,0,0,0,0,0
"49","boring",0,0,0,0,0,0,0
"50","bossy",0,0,0,0,0,0,0
"51","brave",1,0,0,0,1,0,0
"52","bright",6,1,1,1,1,1,1
"53","brilliant",5,1,1,1,1,0,1
"54","businesslike",0,0,0,0,0,0,0
"55","busy",6,1,1,1,1,1,1
"56","calm",6,1,1,1,1,1,1
"57","capable",6,1,1,1,1,1,1
"58","carefree",0,0,0,0,0,0,0
"59","careful",5,1,1,0,1,1,1
"60","careless",6,1,1,1,1,1,1
"61","caring",0,0,0,0,0,0,0
"62","casual",1,0,0,0,0,1,0
"63","cautious",5,1,1,0,1,1,1
"64","certain",6,1,1,1,1,1,1
"65","charming",6,1,1,1,1,1,1
"66","cheap",6,1,1,1,1,1,1
"67","cheerful",6,1,1,1,1,1,1
"68","childish",0,0,0,0,0,0,0
"69","chubby",0,0,0,0,0,0,0
"70","clean",2,1,0,1,0,0,0
"71","clever",6,1,1,1,1,1,1
"72","closed-minded",0,0,0,0,0,0,0
"73","clumsy",1,0,0,0,1,0,0
"74","cocky",0,0,0,0,0,0,0
"75","cold",6,1,1,1,1,1,1
"76","colorful",0,0,0,0,0,0,0
"77","comfortable",6,1,1,1,1,1,1
"78","comical",0,0,0,0,0,0,0
"79","compassionate",5,1,1,0,1,1,1
"80","compatible",4,1,1,0,1,1,0
"81","competent",2,1,1,0,0,0,0
"82","competitive",0,0,0,0,0,0,0
"83","complaining",0,0,0,0,0,0,0
"84","complicated",1,0,0,0,0,0,1
"85","compulsive",0,0,0,0,0,0,0
"86","conceited",2,1,0,0,0,1,0
"87","concerned",6,1,1,1,1,1,1
"88","confident",6,1,1,1,1,1,1
"89","confused",5,1,1,0,1,1,1
"90","confusing",0,0,0,0,0,0,0
"91","conscientious",4,0,1,1,0,1,1
"92","conservative",0,0,0,0,0,0,0
"93","considerate",3,1,1,0,0,0,1
"94","consistent",6,1,1,1,1,1,1
"95","constructive",0,0,0,0,0,0,0
"96","controlling",0,0,0,0,0,0,0
"97","controversial",0,0,0,0,0,0,0
"98","cool",6,1,1,1,1,1,1
"99","cooperative",0,0,0,0,0,0,0
"100","corrupt",0,0,0,0,0,0,0
"101","courageous",1,1,0,0,0,0,0
"102","courteous",3,0,1,0,1,1,0
"103","crabby",0,0,0,0,0,0,0
"104","cranky",0,0,0,0,0,0,0
"105","crazy",0,0,0,0,0,0,0
"106","creative",1,0,0,0,0,1,0
"107","critical",6,1,1,1,1,1,1
"108","cruel",6,1,1,1,1,1,1
"109","curious",6,1,1,1,1,1,1
"110","cute",0,0,0,0,0,0,0
"111","dangerous",6,1,1,1,1,1,1
"112","daring",2,0,1,0,0,1,0
"113","decent",6,1,1,1,1,1,1
"114","dedicated",0,0,0,0,0,0,0
"115","defensive",0,0,0,0,0,0,0
"116","delighted",6,1,1,1,1,1,1
"117","delightful",6,1,1,1,1,1,1
"118","demanding",0,0,0,0,0,0,0
