"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"contented";19;18;1;19;0,947368421052632;"contented";4,51044647468512;"contented";0,958255614125243;"contented";111;"contented";0,00169369767542769;"contented";0,204263553023338
"courtly";1;1;0;0;1;"courtly";4,03254876625937;"courtly";0,969623017870884;"courtly";64;"courtly";0,00273410799726589;"courtly";0
"cowardly";23;23;1;80;1;"cowardly";4,80413297757505;"cowardly";0,954098889548105;"cowardly";154;"cowardly";0,00161973023803047;"cowardly";0,19981686770916
"cruel";23;22;1;94;0,956521739130435;"cruel";4,81775312164084;"cruel";0,953943347922175;"cruel";156,5;"cruel";0,00157783695900254;"cruel";0,21604073792696
"curious";53;48;5;50;0,905660377358491;"curious";4,4814404687736;"curious";0,961827197973996;"curious";116,5;"curious";0,00195932953337198;"curious";0,147204603689412
"deep";59;50;6;29,8333333333333;0,847457627118644;"deep";4,08486845205792;"deep";0,967499626368554;"deep";86,2857142857143;"deep";0,00180888116077773;"deep";0,115159797083054
"devilish";12;11;1;17;0,916666666666667;"devilish";4,60959374004501;"devilish";0,957612964616928;"devilish";123,5;"devilish";0,0017971807777398;"devilish";0,21307098865509
"devout";7;7;0;0;1;"devout";4,55948389151885;"devout";0,960916567017709;"devout";115;"devout";0,00163203816458477;"devout";0,189164206385612
"dignified";3;3;0;0;1;"dignified";4,25387670343467;"dignified";0,968011360175074;"dignified";81;"dignified";0,00246360582306831;"dignified";0,074380174279213
"direct";26;25;1;156;0,961538461538462;"direct";4,08814354688379;"direct";0,972596539691415;"direct";81,5;"direct";0,00234919483589697;"direct";0,106634519994259
"disdainful";9;9;0;0;1;"disdainful";4,32583045573995;"disdainful";0,968634002493352;"disdainful";87;"disdainful";0,00163517441860465;"disdainful";0,115226350724697
"disrespectful";11;11;0;0;1;"disrespectful";4,63278009448726;"disrespectful";0,956358623604299;"disrespectful";127;"disrespectful";0,00185748058088484;"disrespectful";0,213269039988518
"distant";44;38;4;62,5;0,863636363636364;"distant";4,53544139028094;"distant";0,959299671114651;"distant";119;"distant";0,0018382760877924;"distant";0,177572616934776
"dogged";5;5;0;0;1;"dogged";4,77931138704413;"dogged";0,953833417625768;"dogged";150;"dogged";0,0013271400132714;"dogged";0,209950014948845
"dull";11;9;3;57,6666666666667;0,818181818181818;"dull";4,79011538819855;"dull";0,954022662102819;"dull";153,25;"dull";0,00139266565944531;"dull";0,241634763777256
"dutiful";13;13;0;0;1;"dutiful";4,40190051353746;"dutiful";0,966627034133619;"dutiful";95;"dutiful";0,00179553361014476;"dutiful";0,17236328125
"earnest";3;3;0;0;1;"earnest";4,67615002333861;"earnest";0,954737234032333;"earnest";134;"earnest";0,00191542288557214;"earnest";0,236464828252792
"eloquent";4;4;0;0;1;"eloquent";4,45204439166326;"eloquent";0,964664817617892;"eloquent";101;"eloquent";0,00159098727210182;"eloquent";0,233382046222687
"enthusiastic";11;11;0;0;1;"enthusiastic";4,63278009448726;"enthusiastic";0,956358623604299;"enthusiastic";127;"enthusiastic";0,00185748058088484;"enthusiastic";0,213269039988518
"excitable";5;5;0;0;1;"excitable";4,77931138704413;"excitable";0,953833417625768;"excitable";150;"excitable";0,0013271400132714;"excitable";0,209950014948845
"exclusive";8;8;0;0;1;"exclusive";4,86117800338884;"exclusive";0,954341656294593;"exclusive";163;"exclusive";0,00129454408511039;"exclusive";0,204297512769699
"expressive";8;8;0;0;1;"expressive";4,82234251140058;"expressive";0,95373973043393;"expressive";157;"expressive";0,00135375570511333;"expressive";0,199410438537598
"fearful";13;13;1;162;1;"fearful";3,43103449225645;"fearful";0,980458283508854;"fearful";62,5;"fearful";0,000816019082292385;"fearful";0,094582103192806
"fierce";14;14;1;18;1;"fierce";4,62815006658386;"fierce";0,956551684416579;"fierce";126,5;"fierce";0,00182842542825416;"fierce";0,23468604683876
"fiery";21;20;2;38,5;0,952380952380952;"fiery";4,60194170020412;"fiery";0,958510444224204;"fiery";123,333333333333;"fiery";0,001853860420597;"fiery";0,222566947340965
"forcible";0;0;0;0;0;"forcible";1,09861228866811;"forcible";1;"forcible";3;"forcible";0;"forcible";0
"forgetful";13;13;0;0;1;"forgetful";4,40190051353746;"forgetful";0,966627034133619;"forgetful";95;"forgetful";0,00179553361014476;"forgetful";0,17236328125
"forgiving";12;12;0;0;1;"forgiving";3,01494688017959;"forgiving";0,990285649671236;"forgiving";21;"forgiving";0,00264550264550265;"forgiving";0
"friendly";30;27;2;75;0,9;"friendly";4,33726490125041;"friendly";0,963435887695309;"friendly";102,333333333333;"friendly";0,00201609185932622;"friendly";0,196598375837008
"gallant";19;19;1;103;1;"gallant";4,74697904893805;"gallant";0,955350139949446;"gallant";145;"gallant";0,00157601233299762;"gallant";0,208783276379109
"genteel";25;24;1;66;0,96;"genteel";4,10771774724381;"genteel";0,971860319713667;"genteel";70,5;"genteel";0,00222567732706986;"genteel";0,0576131753623485
"gentle";21;19;1;96;0,904761904761905;"gentle";4,26926236618815;"gentle";0,964798064981574;"gentle";87;"gentle";0,00217694474660419;"gentle";0,105685755610466
"girlish";16;16;0;0;1;"girlish";3,88960503874767;"girlish";0,975086636933982;"girlish";54;"girlish";0,00281618023553507;"girlish";0
"gloomy";24;24;1;96;1;"gloomy";3,93466872751013;"gloomy";0,978734229135942;"gloomy";61,5;"gloomy";0,00223804175475687;"gloomy";0,0576131753623485
"good-natured";3;3;0;0;1;"good-natured";4,48109851689435;"good-natured";0,958969111782234;"good-natured";107;"good-natured";0,00158718707163985;"good-natured";0,175619840621948
"graceful";13;13;0;0;1;"graceful";4,01564338902119;"graceful";0,969228290705047;"graceful";63;"graceful";0,0027027027027027;"graceful";0
"gracious";22;21;1;232;0,954545454545455;"gracious";4,15337239150838;"gracious";0,971654190908844;"gracious";91,5;"gracious";0,00212085477415666;"gracious";0,118518322706223
"hasty";21;18;1;89;0,857142857142857;"hasty";4,22819311428116;"hasty";0,963686692077353;"hasty";83;"hasty";0,00217433504131095;"hasty";0,087809920310974
"heedless";13;13;0;0;1;"heedless";4,40190051353746;"heedless";0,966627034133619;"heedless";95;"heedless";0,00179553361014476;"heedless";0,17236328125
"homespun";3;3;0;0;1;"homespun";4,48109851689435;"homespun";0,958969111782234;"homespun";107;"homespun";0,00158718707163985;"homespun";0,175619840621948
"honest";14;14;2;98,5;1;"honest";4,62076460815058;"honest";0,958746504594976;"honest";129,666666666667;"honest";0,00188807613782601;"honest";0,175954192876816
"humble";17;16;1;20;0,941176470588235;"humble";4,58974168852457;"humble";0,957764797384827;"humble";121;"humble";0,00180382431286099;"humble";0,210724443197251
"ignorant";8;8;1;74;1;"ignorant";4,84735643105318;"ignorant";0,953143247388129;"ignorant";162;"ignorant";0,00119338843955762;"ignorant";0,231727540493011
"imaginative";9;9;0;0;1;"imaginative";4,65660203369403;"imaginative";0,955161755511552;"imaginative";131;"imaginative";0,00195646183521631;"imaginative";0,210077375173569
"immovable";2;2;0;0;1;"immovable";4,0434902841367;"immovable";0,968642826528597;"immovable";65;"immovable";0,00277777777777778;"immovable";0,012345677241683
"impatient";11;11;0;0;1;"impatient";4,58015010982911;"impatient";0,958366134800825;"impatient";119;"impatient";0,00174142797093617;"impatient";0,232907265424728
"impertinent";4;4;0;0;1;"impertinent";4,45204439166326;"impertinent";0,964664817617892;"impertinent";101;"impertinent";0,00159098727210182;"impertinent";0,233382046222687
"inconsistent";8;8;0;0;1;"inconsistent";4,82234251140058;"inconsistent";0,95373973043393;"inconsistent";157;"inconsistent";0,00135375570511333;"inconsistent";0,199410438537598
"independent";13;13;0;0;1;"independent";4,01564338902119;"independent";0,969228290705047;"independent";63;"independent";0,0027027027027027;"independent";0
"indifferent";15;15;0;0;1;"indifferent";3,54350699928031;"indifferent";0,988834455778531;"indifferent";36;"indifferent";0,00284090909090909;"indifferent";0
"ingenious";29;28;1;71;0,96551724137931;"ingenious";4,14575277614257;"ingenious";0,970856835533801;"ingenious";74,5;"ingenious";0,00230585692283991;"ingenious";0,086181640625
"intense";22;21;1;72;0,954545454545455;"intense";4,5468648357256;"intense";0,960127271901033;"intense";116;"intense";0,00185680066725566;"intense";0,213220193982124
"jolly";1;1;1;66;1;"jolly";4,37107270558142;"jolly";0,96294726877055;"jolly";94,5;"jolly";0,00185671585805575;"jolly";0,155630253255367
"kind";16;16;0;0;1;"kind";3,88960503874767;"kind";0,975086636933982;"kind";54;"kind";0,00281618023553507;"kind";0
"literal";8;8;0;0;1;"literal";4,86117800338884;"literal";0,954341656294593;"literal";163;"literal";0,00129454408511039;"literal";0,204297512769699
"lively";31;30;3;23,6666666666667;0,967741935483871;"lively";3,96557943225053;"lively";0,973334462303414;"lively";61,5;"lively";0,00261712857283245;"lively";0,0352225280366837
"loud";42;42;3;47,6666666666667;1;"loud";4,06638979820302;"loud";0,971478631389077;"loud";78,5;"loud";0,00193184936618943;"loud";0,124740285798907
"manly";8;8;0;0;1;"manly";4,86117800338884;"manly";0,954341656294593;"manly";163;"manly";0,00129454408511039;"manly";0,204297512769699
"meek";3;3;0;0;1;"meek";4,92225407296912;"meek";0,953041248528222;"meek";175;"meek";0,00105218855218855;"meek";0,278579890727997
"merciful";2;2;0;0;1;"merciful";4,7911005475223;"merciful";0,953665304666768;"merciful";152;"merciful";0,00133069828722003;"merciful";0,206499367952347
"merry";22;20;3;47,6666666666667;0,909090909090909;"merry";4,67942377382229;"merry";0,956542911393123;"merry";135,5;"merry";0,0015912992005746;"merry";0,217977955937386
"mild";47;39;4;50,5;0,829787234042553;"mild";4,02246461792562;"mild";0,969623093760782;"mild";90,4;"mild";0,00169303946147835;"mild";0,1299536049366
"moderate";11;11;0;0;1;"moderate";4,58015010982911;"moderate";0,958366134800825;"moderate";119;"moderate";0,00174142797093617;"moderate";0,232907265424728
"modest";8;8;0;0;1;"modest";4,5228813433551;"modest";0,960367839258102;"modest";111;"modest";0,00165118679050568;"modest";0,211371511220932
"moral";36;32;3;33,6666666666667;0,888888888888889;"moral";4,14398076265862;"moral";0,967468792447134;"moral";74,75;"moral";0,00244008954420568;"moral";0,0631793439388274
"narrow";5;5;0;0;1;"narrow";4,89423535797865;"narrow";0,95406081678399;"narrow";169;"narrow";0,00120832309330712;"narrow";0,233553558588028
"natural";53;46;4;83,25;0,867924528301887;"natural";3,62527854310531;"natural";0,977444353483951;"natural";64;"natural";0,00184409283512713;"natural";0,0513911426067352
"negative";8;8;0;0;1;"negative";4,82234251140058;"negative";0,95373973043393;"negative";157;"negative";0,00135375570511333;"negative";0,199410438537598
"nervous";5;5;0;0;1;"nervous";4,11690170704638;"nervous";0,969025848563854;"nervous";70;"nervous";0,00259917920656635;"nervous";0,0110803116112947
"old-fashioned";10;10;0;0;1;"old-fashioned";3,68718545135023;"old-fashioned";0,980321529813181;"old-fashioned";43;"old-fashioned";0,00227272727272727;"old-fashioned";0,122448980808258
"particular";52;44;5;59,8;0,846153846153846;"particular";4,14694656031017;"particular";0,967479733123889;"particular";93;"particular";0,00196084992083841;"particular";0,120587895313899
"passive";15;15;0;0;1;"passive";4,74708795176127;"passive";0,953856122801617;"passive";145;"passive";0,00194491639095055;"passive";0,195336222648621
"peppery";9;9;0;0;1;"peppery";4,32583045573995;"peppery";0,968634002493352;"peppery";87;"peppery";0,00163517441860465;"peppery";0,115226350724697
