"aggressive";"vague"
"certain";"gloomy"
"cheerful";"cold"
"cheerful";"deep"
"cheerful";"fiery"
"cheerful";"indirect"
"cheerful";"kind"
"cheerful";"musical"
"cheerful";"pleasant"
"cheerful";"sedate"
"cheerful";"silent"
"cheerful";"social"
"cheerful";"solemn"
"cheerful";"sprightly"
"cheerful";"timid"
"cold";"deep"
"cold";"fiery"
"cold";"indirect"
"cold";"kind"
"cold";"musical"
"cold";"pleasant"
"cold";"sedate"
"cold";"silent"
"cold";"social"
"cold";"solemn"
"cold";"sprightly"
"cold";"timid"
"deep";"fiery"
"deep";"indirect"
"deep";"kind"
"deep";"musical"
"deep";"pleasant"
"deep";"sedate"
"deep";"silent"
"deep";"social"
"deep";"solemn"
"deep";"sprightly"
"deep";"timid"
"fiery";"indirect"
"fiery";"kind"
"fiery";"musical"
"fiery";"pleasant"
"fiery";"sedate"
"fiery";"silent"
"fiery";"social"
"fiery";"solemn"
"fiery";"sprightly"
"fiery";"timid"
"indirect";"kind"
"indirect";"musical"
"indirect";"pleasant"
"indirect";"sedate"
"indirect";"silent"
"indirect";"social"
"indirect";"solemn"
"indirect";"sprightly"
"indirect";"timid"
"kind";"musical"
"kind";"pleasant"
"kind";"sedate"
"kind";"silent"
"kind";"social"
"kind";"solemn"
"kind";"sprightly"
"kind";"timid"
"musical";"pleasant"
"musical";"sedate"
"musical";"silent"
"musical";"social"
"musical";"solemn"
"musical";"sprightly"
"musical";"timid"
"pleasant";"sedate"
"pleasant";"silent"
"pleasant";"social"
"pleasant";"solemn"
"pleasant";"sprightly"
"pleasant";"timid"
"sedate";"silent"
"sedate";"social"
"sedate";"solemn"
"sedate";"sprightly"
"sedate";"timid"
"silent";"social"
"silent";"solemn"
"silent";"sprightly"
"silent";"timid"
"social";"solemn"
"social";"sprightly"
"social";"timid"
"solemn";"sprightly"
"solemn";"timid"
"sprightly";"timid"
"amiable";"artistic"
"amiable";"bright"
"amiable";"childish"
"amiable";"deep"
"amiable";"dutiful"
"amiable";"genial"
"amiable";"musical"
"amiable";"original"
"amiable";"wise"
"artistic";"bright"
"artistic";"childish"
"artistic";"deep"
"artistic";"dutiful"
"artistic";"genial"
"artistic";"musical"
"artistic";"original"
"artistic";"wise"
"bright";"childish"
"bright";"deep"
"bright";"dutiful"
"bright";"genial"
"bright";"musical"
"bright";"original"
"bright";"wise"
"childish";"deep"
"childish";"dutiful"
"childish";"genial"
"childish";"musical"
"childish";"original"
"childish";"wise"
"deep";"dutiful"
"deep";"genial"
"deep";"original"
"deep";"wise"
"dutiful";"genial"
"dutiful";"musical"
"dutiful";"original"
"dutiful";"wise"
"genial";"musical"
"genial";"original"
"genial";"wise"
"musical";"original"
"musical";"wise"
"original";"wise"
"conscientious";"dull"
"conscientious";"fierce"
"conscientious";"firm"
"conscientious";"gentle"
"conscientious";"independent"
"conscientious";"natural"
"conscientious";"proud"
"conscientious";"quiet"
"conscientious";"respectful"
"conscientious";"rigid"
"conscientious";"silent"
"conscientious";"tender"
"conscientious";"wise"
"dull";"fierce"
"dull";"firm"
"dull";"gentle"
"dull";"independent"
"dull";"natural"
"dull";"proud"
"dull";"quiet"
"dull";"respectful"
"dull";"rigid"
"dull";"silent"
"dull";"tender"
"dull";"wise"
"fierce";"firm"
"fierce";"gentle"
"fierce";"independent"
"fierce";"natural"
"fierce";"proud"
"fierce";"quiet"
"fierce";"respectful"
"fierce";"rigid"
"fierce";"silent"
"fierce";"tender"
"fierce";"wise"
"firm";"gentle"
"firm";"independent"
"firm";"natural"
"firm";"proud"
"firm";"quiet"
"firm";"respectful"
"firm";"rigid"
"firm";"silent"
"firm";"tender"
"firm";"wise"
"gentle";"independent"
"gentle";"natural"
"gentle";"proud"
"gentle";"quiet"
"gentle";"respectful"
"gentle";"rigid"
"gentle";"silent"
"gentle";"tender"
"gentle";"wise"
"independent";"natural"
"independent";"proud"
"independent";"quiet"
"independent";"respectful"
"independent";"rigid"
"independent";"silent"
"independent";"tender"
"independent";"wise"
"natural";"proud"
"natural";"quiet"
"natural";"respectful"
"natural";"rigid"
"natural";"silent"
"natural";"tender"
"natural";"wise"
"proud";"quiet"
"proud";"respectful"
"proud";"rigid"
"proud";"silent"
"proud";"tender"
"proud";"wise"
"quiet";"respectful"
"quiet";"rigid"
"quiet";"silent"
"quiet";"tender"
"quiet";"wise"
"respectful";"rigid"
"respectful";"silent"
"respectful";"tender"
"respectful";"wise"
"rigid";"silent"
"rigid";"tender"
"rigid";"wise"
"silent";"tender"
"silent";"wise"
"tender";"wise"
"anxious";"certain"
"anxious";"devilish"
"anxious";"gloomy"
"anxious";"impressible"
"anxious";"quiet"
"anxious";"shallow"
"anxious";"sympathetic"
"certain";"devilish"
"certain";"impressible"
"certain";"quiet"
"certain";"shallow"
"certain";"sympathetic"
"devilish";"gloomy"
"devilish";"impressible"
"devilish";"quiet"
"devilish";"shallow"
"devilish";"sympathetic"
"gloomy";"impressible"
"gloomy";"quiet"
"gloomy";"shallow"
"gloomy";"sympathetic"
"impressible";"quiet"
"impressible";"shallow"
"impressible";"sympathetic"
"quiet";"shallow"
"quiet";"sympathetic"
"shallow";"sympathetic"
"agreeable";"certain"
"agreeable";"contemplative"
"agreeable";"despondent"
"agreeable";"earthy"
"agreeable";"foolish"
"agreeable";"ignorant"
"agreeable";"imaginative"
"agreeable";"moral"
"agreeable";"narrow"
"agreeable";"noisy"
"agreeable";"silent"
"agreeable";"slow"
"agreeable";"submissive"
