"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","certain",824,25,59,57,70,61,44,13,85,100,24,63,24,102,43,54
"2","quiet",710,27,61,71,72,57,36,27,65,59,18,47,29,43,48,50
"3","cold",637,27,52,48,36,71,37,14,36,45,16,55,45,36,66,53
"4","bright",601,21,61,62,58,66,27,11,52,56,24,28,16,45,31,43
"5","particular",562,15,33,45,43,43,26,15,45,73,6,60,20,39,59,40
"6","natural",529,19,34,64,56,56,22,15,48,46,12,45,7,43,32,30
"7","silent",506,17,56,37,43,56,18,12,34,50,13,41,30,32,25,42
"8","pleasant",505,9,35,52,50,32,19,11,36,70,6,51,14,28,48,44
"9","deep",504,18,49,29,35,66,15,7,25,53,11,33,39,36,40,48
"10","proud",409,5,35,27,37,85,21,11,45,33,12,34,10,27,21,6
"11","kind",380,7,16,34,47,47,5,7,43,37,7,40,15,29,16,30
"12","anxious",375,14,22,36,35,27,15,10,30,31,3,48,23,18,32,31
"13","agreeable",350,6,15,47,45,21,13,12,37,37,5,26,7,31,29,19
"14","gentle",347,9,30,17,34,44,10,8,22,38,5,28,27,15,27,33
"15","wild",346,22,32,29,37,41,17,11,22,24,12,22,13,18,22,24
"16","dull",322,9,36,27,29,30,14,3,28,29,7,33,9,20,9,39
"17","cheerful",317,5,33,27,36,23,12,10,15,36,7,22,12,20,26,33
"18","curious",311,11,14,51,24,21,20,11,35,27,10,13,11,20,28,15
"19","quick",310,17,25,28,20,37,8,14,34,29,9,22,17,23,4,23
"20","honest",308,13,35,18,21,25,14,10,21,31,4,34,8,38,11,25
"21","distant",292,10,35,32,29,33,13,6,24,30,4,12,10,7,17,30
"22","loud",287,14,27,15,7,13,6,6,17,27,2,52,22,4,60,15
"23","warm",270,5,19,25,18,25,10,3,15,23,8,33,13,16,29,28
"24","slow",256,8,18,16,20,21,11,11,23,23,8,23,10,20,13,31
"25","friendly",251,7,18,26,32,22,10,4,23,21,11,11,5,22,17,22
"26","violent",248,5,14,13,13,22,13,6,16,16,5,51,26,8,28,12
"27","solemn",246,8,25,12,15,38,6,2,10,28,9,18,13,9,33,20
"28","earnest",232,7,20,20,26,30,1,6,15,17,7,21,15,10,11,26
"29","original",229,8,28,9,14,18,2,2,25,7,6,29,3,34,8,36
"30","rough",227,13,25,20,27,26,7,5,17,14,4,17,12,16,7,17
"31","gloomy",225,10,18,21,12,15,10,1,26,18,8,18,15,18,14,21
"32","serious",223,3,17,19,23,16,13,4,12,30,4,31,6,19,16,10
"33","narrow",208,9,18,22,14,8,5,8,28,17,5,11,16,14,20,13
"34","proper",206,4,13,14,7,15,3,6,26,19,1,33,12,8,27,18
"35","gracious",205,8,15,19,16,23,5,3,24,27,5,14,5,25,10,6
"36","cruel",200,15,19,11,25,20,6,4,27,20,4,15,7,12,7,8
"37","affectionate",192,5,4,23,26,15,4,6,18,14,10,22,6,13,12,14
"38","bold",188,4,34,10,20,29,4,4,9,27,2,14,4,11,7,9
"39","humble",188,1,17,9,9,17,8,6,16,21,2,19,7,12,16,28
"40","moral",188,6,18,8,3,18,3,12,15,32,5,17,4,15,15,17
"41","profound",186,5,21,11,14,16,8,3,9,12,2,24,10,5,33,13
"42","thoughtful",180,3,13,14,18,25,7,5,11,21,2,10,5,14,11,21
"43","careful",179,4,14,20,12,10,8,3,16,15,2,17,7,14,20,17
"44","expressive",179,6,8,11,12,21,8,5,21,11,6,15,9,27,16,3
"45","constant",175,1,20,13,12,22,10,1,15,17,4,21,3,3,14,19
"46","amiable",173,2,8,21,17,15,4,2,17,17,4,19,8,9,20,10
"47","faithful",173,7,10,22,11,14,6,5,23,11,3,16,5,14,18,8
"48","steady",168,12,16,20,14,22,10,7,15,6,8,9,4,10,10,5
"49","simple",167,4,7,17,17,22,5,8,15,26,0,10,7,7,4,18
"50","cool",160,7,17,17,8,11,4,5,13,20,7,10,3,17,8,13
"51","calm",159,6,9,8,26,19,4,2,16,13,2,11,9,8,14,12
"52","lively",157,2,8,8,14,18,8,0,14,30,3,12,8,11,18,3
"53","foolish",142,2,13,11,21,7,5,3,10,12,3,22,4,8,10,11
"54","fierce",140,7,18,6,8,17,8,1,7,9,6,8,11,9,19,6
"55","wise",138,4,19,7,11,10,3,1,16,12,5,8,6,15,14,7
"56","indifferent",136,5,12,14,14,21,8,6,12,14,2,8,0,10,3,7
"57","timid",135,6,14,10,14,20,2,3,15,11,2,8,2,9,2,17
"58","tight",133,4,5,15,7,16,2,5,11,18,2,12,6,10,9,11
"59","mild",132,0,14,9,15,21,3,3,8,22,3,6,3,7,3,15
"60","generous",129,3,6,14,10,15,3,1,21,14,7,7,3,19,1,5
"61","vain",127,6,13,5,18,10,6,4,11,13,1,13,2,11,10,4
"62","active",123,4,18,19,7,9,1,1,11,10,2,12,8,7,6,8
"63","tender",123,3,7,8,11,16,5,3,15,14,2,6,3,8,5,17
"64","impatient",122,4,9,6,7,7,8,6,17,10,3,16,7,8,2,12
