"#-married" "#-quiet" "accomplished" "afraid" "amusing" "appropriate" "beautiful" "best" "blessed" "calm" "capable" "careful" "cautious" "cheerful" "clever" "comfortable" "compassionate" "confident" "cruel" "curious" "dangerous" "delicate" "delighted" "delightful" "determined" "different" "direct" "encouraged" "encouraging" "enthusiastic" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "fascinating" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "independent" "individual" "intelligent" "interesting" "irregular" "legal" "liberal" "loose" "married" "mighty" "minded" "modest" "modesty" "mysterious" "natural" "neat" "newer" "novel" "passionate" "playful" "pleasant" "pleasing" "polite" "powerful" "productive" "proud" "prudent" "quiet" "reasonable" "respected" "rich" "sacred" "safe" "secure" "selfish" "shocked" "sincere" "smart" "strong" "superior" "surprising" "sympathy" "thoughtful" "tidy" "uncertain" "unfair" "united" "universal" "unpleasant" "wealthy" "welcome" "wise" "worth" "original" "standing" "threatening" "weak" "tenderness" "spontaneous" "stable" "suited"
"#-married" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-quiet" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"accomplished" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"afraid" 0 0 0 0 0 0 2 2 0 1 2 3 1 0 0 5 1 0 0 0 0 2 3 1 2 7 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 1 0 1 4 1 9 0 1 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 5 1 0 0 0 1 0 1 0 0 0 3 2 2 0 0 2 0 1 0 1 0 1 1 0 1 0 0 1 1 3 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"amusing" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"appropriate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"beautiful" 0 0 1 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 3 0 4 0 0 0 1 0 0 1 0 3 0 1 0 0 0 0 1 0 3 0 1 0 0 7 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 1 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 3 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0
"best" 0 1 1 2 0 0 2 0 0 1 1 0 0 1 0 1 0 1 2 0 0 1 0 2 1 5 0 0 1 0 0 1 1 0 1 0 0 0 2 0 2 1 0 1 1 0 1 0 6 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 4 0 1 0 0 1 2 0 1 0 1 4 0 1 1 0 2 0 0 0 1 0 0 3 4 2 0 0 1 0 1 1 1 0 2 1 0 1 1 0 0 0 1 0 0 0 0
"blessed" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"calm" 1 0 0 1 0 0 0 1 0 0 0 0 0 2 1 3 0 2 0 0 0 1 1 1 3 2 0 0 2 0 1 0 2 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 5 1 1 0 0 0 0 2 0 0 2 0 1 0 0 0 0 0 2 0 0 0 1 0 1 1 2 0 0 1 2 2 4 0 1 0 2 1 0 0 2 1 6 1 0 1 1 0 2 0 0 0 2 1 1 0 1 0 0 0 1 1 0 0 0
"capable" 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 4 1 0 4 0 0 3 3 1 1 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 3 0 0 4 0 6 0 2 1 3 0 0 0 0 1 1 0 1 0 1 0 0 0 6 0 0 0 0 0 1 2 0 0 1 2 1 3 2 1 1 1 3 0 2 1 2 0 4 3 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 1 0 0
"careful" 0 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"cautious" 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"cheerful" 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 3 0 2 0 0 0 0 0 0 1 3 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 6 0 1 1 2 0 0 2 0 1 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 1 1 0 0 0 2 2 0 2 1 2 0 0 0 0 0 0 0 0 0 2 0 2 0 3 0 0 0 0 0 0 0 0
"clever" 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0
