"MR1";"MR2"
"#-comfortable";0.0799373953450479;0.260293948563215
"#-dangerous";-0.0587822160620075;0.169734571681115
"#-direct";-0.0587822160620056;0.169734571681116
"#-free";-0.0116923392661823;0.375415296849688
"#-married";0.151453576207254;0.358441105418589
"#-polite";0.217865728746032;0.187103432814002
"#-worth";0.482884163124017;0.238677823390232
"accomplished";0.689208961747193;0.334599622810159
"accustomed";0.519743013628432;0.624590648024777
"afraid";0.654264791574489;0.586426616634965
"aggressive";0.316700279748199;0.142697933855148
"alert";0.139592852203825;0.113312343775938
"almighty";0.108684346174775;0.140735448254991
"appropriate";0.234617639737594;0.451377876405904
"beautiful";0.684863327345517;0.545701735319439
"best";0.618029797441127;0.646271047034494
"blessed";0.627307361005391;0.0118094175349513
"bored";0.115469549741595;-0.0000218746750876568
"brave";0.535340260397501;0.461345151823354
"bustle";0.42729841763794;0.105771769465532
"calm";0.743634002710245;0.322784129816621
"capable";0.274900817050717;0.708806644764818
"careful";0.497199935345438;0.518528245196339
"cautious";0.243843446229874;0.483172016095779
"cheerful";0.670390270332941;0.516688093666951
"choice";0.0101787303552649;0.15864661646778
"clean";0.64876566943381;0.476547929298541
"clever";0.433265661457;0.611060950869335
"comfortable";0.501627704070684;0.332543544191848
"compassionate";0.165565038578098;0.211464349257494
"competent";0.0975759468588289;0.453602262641048
"confident";0.203766078578176;0.380576700278877
"cruel";0.603929246087992;0.565896744205826
"curious";0.605512014179878;0.559380225026433
"dangerous";0.156830165365335;0.495012067096981
"defensive";0.011896715817253;0.0665260831865293
"delicate";0.572434200954588;0.524400213934895
"delicious";0.550161295424034;0.179922460295686
"delighted";0.63170141897742;0.462012568322921
"delightful";0.454608477951284;0.42031884078716
"determined";0.520724207215242;0.490214436029554
"different";0.573982084638473;0.680891887089615
"direct";0.280365478405398;0.383503735672516
"distinctive";0.268589082394338;0.299948125522006
"educational";-0.0221201494161838;0.476014874111012
"encouraging";0.605431638373475;-0.00221906958249931
"energetic";0.553457051499433;0.146035012229286
"enforced";0.104652142499405;0.552840539194302
"enthusiastic";0.311087695776377;0.346419312318733
"expensive";0.434331660135303;0.32307357521958
"extraordinary";0.672920403895966;0.553156190689899
"extreme";0.504201751300366;0.539293235439515
"fair";0.626432735472727;0.545090699933871
"faithful";0.620002027442901;0.435390731662147
"familiar";0.447218274709751;0.650494553584988
"famous";0.530623239554395;0.393201747981064
"fancy";0.467575776322557;0.444513771780602
"fascinating";0.132681148520959;0.552014891766465
"forbidden";-0.0256948152390544;-0.0117606720614417
"forcing";0.0901893759923063;-0.0181424774351642
"free";0.708099509199988;0.533119844029789
"friendly";0.545921781314157;0.565178853162095
"generous";0.562043747912935;0.469596292767752
"gentle";0.713592031118694;0.546764940727328
"genuine";0.56571873603884;0.382280380769346
"graceful";0.661013517497778;0.475779130634277
"greatest";0.356497094678626;0.63346985692361
"greedy";0.393073487659344;0.028560737925266
"habit";0.430643418553213;0.0376330969424284
"happier";0.503357718704803;0.469234369524083
"happy";0.551211358899872;0.660516885515395
"harmless";0.673653504922645;0.14981685069653
"heavenly";0.145513450500117;0.220755977575496
"holy";0.656509675452263;-0.0517465081378861
"honest";0.742605977229072;0.457912875422201
