"MR1";"MR2";"MR3";"MR4";"MR5"
"#-cruel";0.161355249180654;0.0281590998999513;0.570856135941997;0.120997776782784;0.0362079676447949
"#-determined";0.0626913927358114;0.0454957014898048;0.595074742201808;-0.0101755982774684;0.112676179530653
"#-rich";-0.153195426845312;0.751648964541367;0.217916878422948;0.254075487403911;0.00635688588686194
"accomplished";0.681847417526869;-0.0287556036324516;0.224525874847035;-0.00179182762490689;-0.0411533667027578
"accustomed";0.540488219924583;0.137330143947866;0.340278743889637;-0.232469296113469;0.0220617641078716
"afraid";0.640279515862575;0.352491306837342;0.365504313229796;0.371908676934553;0.177937763509997
"alert";0.135527974263997;0.0000325535756650968;0.00706854046440816;-0.0724749829336993;0.542146286771857
"amusing";0.273122910342836;0.0918840330772298;0.442265410586971;0.47151129604422;-0.129621487476172
"appropriate";0.106040386763163;0.127968266242795;0.159930875710076;0.096507020220981;0.125524211464722
"avoided";0.225109675022587;-0.0888387668311212;-0.0163374230715284;0.120794285550027;0.17423719791292
"beautiful";0.460219689639057;0.36352760527193;0.130033005233423;0.293435487990106;0.315520606560783
"best";0.369849790428638;0.45200219242839;0.424978601372722;0.441509776500761;0.327729957488188
"bustle";0.437482097335649;0.106446285625091;0.497625568690277;0.107467396299676;0.184001635012278
"calm";0.363218873443839;0.302061668475444;0.483925219560649;0.233224449787208;0.186344095742931
"capable";0.540733630527774;0.5219244893601;0.307033011900534;0.31992679817795;0.158719392469233
"careful";0.381921772807276;0.300450052986014;0.223418389995603;0.320894830122703;0.0169344844825271
"cautious";0.426511001972116;0.0559841272844618;0.564337009742464;0.00366901021148438;0.0404643573188211
"charitable";0.0540187615841001;0.16589304213935;0.0941873582883511;0.490932037084115;-0.0143955771377838
"cheerful";0.515720980874731;0.360060721307183;0.215300430118652;0.272079803988363;0.428848578465842
"clever";0.637812912577295;0.279819580218723;0.369768591142734;0.134858504205206;0.213461917289841
"comfortable";0.63202287724291;0.464550909812856;0.310743495385449;0.294558809419187;0.190706625641362
"compassionate";0.170459092052818;0.326602578554789;-0.0463871319337314;0.398712102764919;-0.214097588747125
"competent";0.112347141826024;0.0138874181995398;0.45969006632537;0.0301954397563758;0.176138145967214
"confident";0.122699599366247;0.0996033224336503;0.572978518217431;0.188873960466069;0.036499411526677
"conviction";0.0224345485027426;-0.0132197171321181;-0.0114919510637786;0.364904139866121;-0.0562576632290007
"corrupted";0.620508882764581;-0.00370000059411156;0.111189350774194;0.141729723785609;0.16225758623603
"cruel";0.550882503878651;0.276429832402876;0.0719315155835;-0.0143095685116364;0.156140101345364
"curious";0.377868710439632;0.491185406208943;0.338177523050485;0.277375601737953;-0.071550909302973
