"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1504","unobliging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1505","unobservant",5,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
"1506","unobtrusive",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"1507","unoriginal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1508","unostentatious",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1509","unoyful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1510","unpardoning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1511","unpartisan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1512","unpeaceable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1513","unperceptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1514","unpersonable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1515","unpersuadable",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1516","unpersuasive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1517","unphilanthropic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1518","unphilosophical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1519","unpitying",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1520","unpleasable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1521","unpliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1522","unpoised",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1523","unpolished",2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1524","unpolite",7,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0
"1525","unpolitical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1526","unpreaching",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1527","unpredictable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1528","unpresuming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1529","unpretending",5,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0
"1530","unpretentious",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1531","unprincipled",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1532","unproductive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1533","unprogressive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1534","unprovincial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1535","unpunctual",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1536","unpurposed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1537","unquestioning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1538","unrealistic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1539","unreasonable",63,2,1,12,5,6,6,3,8,7,3,2,1,3,3,1
"1540","unreasoning",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1541","unreceptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1542","unrefined",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1543","unreflective",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1544","unreined",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1545","unrelaxing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1546","unrelenting",12,1,2,0,2,3,0,1,1,0,0,0,1,0,1,0
"1547","unreliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1548","unreligious",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1549","unrepressible",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1550","unreproachful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1551","unreserved",7,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0
"1552","unrespectful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1553","unresponsive",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1554","unresting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555","unrestrainable",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1556","unrestrained",5,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"1557","unrevealing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1558","unrevengeful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1559","unromantic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1560","unrude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1561","unruly",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1562","unsaintly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1563","unsatisfiable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1564","unsceptical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1565","unscholarly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1566","unschooled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1567","unscornful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1568","unscrupulous",4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"1569","unsearching",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1570","unselfconscious",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1571","unselfish",14,2,0,2,0,1,0,0,3,2,0,0,0,4,0,0
"1572","unsentimental",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1573","unsevere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1574","unshakalile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1575","unshrinking",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1576","unshy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1577","unskeptical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1578","unsly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1579","unsmiling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1580","unsociable",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"1581","unsocial",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1582","unsolemn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1583","unsolicitous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1584","unsophisticated",4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
"1585","unsparkling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1586","unspeaking",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1587","unspiritual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1588","unspontaneous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1589","unsportsmanlike",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1590","unstable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591","unsteadfast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1592","unstirrable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1593","unstormy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594","unstthduable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1595","unstudious",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1596","unsubmissive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1597","unsunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1598","unsure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1599","unsuspicious",14,1,0,2,0,1,0,0,1,1,1,1,0,0,2,4
"1600","unswayable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1601","unswerving",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1602","unsympathetic",5,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0
"1603","unsystematic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1604","untalkative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1605","untamable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1606","untasteful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1607","untaught",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1608","unteachable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1609","untemptable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1610","untender",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1611","untheatrical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1612","unthinking",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1613","unthorough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1614","unthrifty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1615","untidy",4,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
"1616","untiring",10,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
"1617","untrained",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1618","untransparent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1619","untrustful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1620","untrustworthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1621","untruthful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1622","untutored",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1623","unvacillating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1624","unvain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1625","unvaliant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1626","unvarying",12,0,2,3,0,0,0,0,2,0,0,3,0,2,0,0
"1627","unventurous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1628","unversed",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1629","unvigilant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630","unvigorous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1631","unvindictive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1632","unvisioned",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1633","unvocal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1634","unvoluptuous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1635","unwarlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1636","unwary",4,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"1637","unwasteful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1638","unwatchful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1639","unwavering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1640","unwild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1641","unwiliful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1642","unwily",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1643","unwise",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1644","unwitty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1645","unworldly",4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
"1646","unyielding",6,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
"1647","unzealous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1648","urbane",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1649","vague",114,3,10,7,8,17,5,3,10,6,3,9,2,11,6,14
"1650","vain",127,6,13,5,18,10,6,4,11,13,1,13,2,11,10,4
"1651","valiant",4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
"1652","valorous",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"1653","variable",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1654","vengeful",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1655","venturesome",3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"1656","venturous",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1657","verbal",36,1,2,3,2,3,2,0,4,5,0,4,0,2,6,2
"1658","verbose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1659","versatile",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1660","vibrant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1661","vigorless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1662","vigorous",53,2,2,4,5,5,2,0,5,8,1,5,5,1,3,5
"1663","vindictive",16,0,0,1,1,2,0,0,1,2,1,2,1,0,5,0
"1664","violent",248,5,14,13,13,22,13,6,16,16,5,51,26,8,28,12
"1665","virile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1666","visionary",18,0,1,0,3,2,2,1,1,1,0,2,1,1,2,1
"1667","vivacious",20,1,1,6,2,1,0,1,4,0,2,1,1,0,0,0
"1668","vivid",27,3,2,0,1,2,2,0,3,3,0,6,4,0,1,0
"1669","vocal",17,0,0,2,0,0,0,1,1,4,1,2,0,1,0,5
"1670","volatile",8,0,0,0,3,0,1,0,0,0,0,2,0,0,2,0
"1671","volcanic",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1672","voluptuous",6,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0
"1673","warlike",3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"1674","warm",270,5,19,25,18,25,10,3,15,23,8,33,13,16,29,28
"1675","warmhearted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1676","warmthless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1677","wary",19,2,0,2,2,1,0,1,1,1,0,0,2,3,3,1
"1678","wasteful",4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"1679","weak-hearted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1680","weak-kneed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1681","weak-spirited",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1682","weariless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1683","weepy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1684","well-mannered",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1685","well-read",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1686","well-spoken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1687","whimsical",26,0,3,3,1,4,0,0,2,4,2,1,0,4,0,2
"1688","whiny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1689","wide-awake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1690","wild",346,22,32,29,37,41,17,11,22,24,12,22,13,18,22,24
"1691","willful",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1692","wily",8,0,1,0,0,0,0,0,0,0,0,2,2,1,2,0
