"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","agreeable",176,38,41,16,29,34,18
"2","natural",153,41,35,11,18,19,29
"3","particular",151,35,22,14,15,23,42
"4","anxious",142,28,35,16,17,22,24
"5","certain",136,24,22,11,12,38,29
"6","kind",131,41,33,13,12,17,15
"7","proper",120,36,24,8,16,16,20
"8","pleasant",117,30,36,12,11,17,11
"9","silent",116,22,19,8,11,22,34
"10","serious",110,23,28,4,15,19,21
"11","cold",100,32,17,7,11,14,19
"12","amiable",99,28,15,7,7,28,14
"13","eager",89,18,18,12,10,13,18
"14","quiet",84,24,22,8,11,7,12
"15","warm",81,25,20,6,14,6,10
"16","determined",75,13,21,7,12,9,13
"17","cheerful",73,27,13,7,8,6,12
"18","capable",70,6,21,5,8,14,16
"19","quick",70,20,16,10,7,9,8
"20","affectionate",68,7,13,10,3,16,19
"21","constant",64,6,10,7,10,12,19
"22","reasonable",63,18,12,4,5,12,12
"23","elegant",60,21,10,1,10,12,6
"24","lively",60,9,18,6,6,14,7
"25","gentle",58,14,17,7,7,5,8
"26","vain",58,17,10,8,7,11,5
"27","indifferent",56,12,9,3,7,13,12
"28","civil",55,12,9,4,5,15,10
"29","earnest",55,8,7,3,5,12,20
"30","simple",55,15,11,10,2,1,16
"31","impatient",54,11,12,8,6,8,9
"32","clever",53,17,13,5,7,6,5
"33","severe",53,17,6,5,11,8,6
"34","steady",53,11,14,5,7,11,5
"35","friendly",52,18,12,2,7,7,6
"36","intimate",50,9,9,4,7,9,12
"37","rational",46,16,5,4,7,9,5
"38","deep",41,12,8,4,8,5,4
"39","proud",41,6,5,2,4,17,7
"40","selfish",38,4,10,3,4,6,11
"41","wild",38,3,5,9,6,11,4
"42","ignorant",37,9,3,4,2,14,5
"43","active",36,7,10,2,5,4,8
"44","distant",36,8,7,2,6,5,8
"45","sincere",36,5,3,5,4,9,10
"46","fearful",35,5,5,11,3,5,6
"47","independent",35,9,11,4,2,2,7
"48","violent",35,2,1,6,2,10,14
"49","awkward",33,11,5,1,3,10,3
"50","calm",33,4,7,3,3,3,13
"51","foolish",33,8,8,5,2,6,4
"52","generous",31,4,6,5,2,9,5
"53","unreasonable",29,8,10,1,1,7,2
"54","obliging",28,19,1,1,3,2,2
"55","dull",27,6,3,4,2,4,8
"56","thorough",27,12,4,1,2,3,5
"57","honest",26,5,6,7,1,1,6
"58","modest",26,3,15,1,3,2,2
"59","cruel",25,4,3,2,4,4,8
"60","humble",25,9,4,4,2,4,2
"61","nervous",25,10,3,0,3,4,5
"62","careless",23,3,7,4,5,2,2
"63","jealous",23,3,3,4,5,3,5
"64","careful",22,5,2,0,5,4,6
"65","direct",22,6,4,2,3,3,4
"66","solemn",22,5,7,4,0,4,2
"67","excessive",21,3,6,2,1,4,5
"68","hasty",20,3,8,0,2,3,4
"69","prudent",20,3,2,0,3,4,8
"70","wise",20,4,1,3,4,5,3
"71","polite",19,2,1,3,4,5,4
"72","unaffected",19,4,2,4,3,5,1
"73","unkind",19,1,7,3,3,0,5
"74","bright",18,2,4,5,5,1,1
"75","cautious",18,6,2,0,4,4,2
"76","cool",18,4,4,2,5,2,1
"77","slow",18,5,7,0,2,1,3
"78","thoughtful",18,4,6,0,3,1,4
"79","affected",17,1,5,3,2,4,2
"80","formal",17,2,2,0,3,8,2
"81","imprudent",17,4,3,1,2,6,1
"82","narrow",17,2,3,4,1,2,5
"83","rude",17,6,1,3,0,3,4
"84","worldly",17,1,5,2,5,2,2
"85","cordial",16,4,5,1,2,3,1
"86","curious",16,3,3,1,3,5,1
"87","gallant",16,10,1,2,2,1,0
"88","impertinent",16,2,1,3,0,5,5
"89","loud",16,2,6,4,0,0,4
"90","mild",16,4,6,3,1,1,1
"91","moderate",16,5,2,3,2,2,2
"92","noisy",16,2,5,1,1,3,4
"93","original",16,5,3,1,1,5,1
"94","smart",16,0,1,3,1,2,9
"95","tender",16,3,7,1,0,2,3
"96","confident",15,3,2,2,2,3,3
"97","exact",15,4,2,0,4,3,2
"98","gracious",15,2,1,2,0,7,3
"99","intelligent",15,4,1,2,3,4,1
"100","musical",15,8,1,0,1,1,4
"101","speedy",15,1,2,4,1,2,5
"102","strict",15,3,4,2,4,0,2
"103","dignified",14,2,4,1,1,3,3
"104","graceful",14,4,2,2,1,1,4
"105","scrupulous",14,4,5,1,2,1,1
"106","unsuspicious",14,5,5,2,1,1,0
"107","bitter",13,2,5,2,0,2,2
"108","compassionate",13,4,1,0,1,2,5
"109","consistent",13,1,5,1,2,3,1
"110","decisive",13,5,3,1,1,2,1
"111","genteel",13,2,3,1,1,3,3
"112","gloomy",13,1,3,4,1,1,3
"113","hearty",13,1,3,2,4,2,1
"114","restless",13,2,3,1,1,1,5
"115","accomplished",12,4,2,0,2,3,1
"116","dependent",12,3,2,0,2,1,4
"117","expressive",12,2,4,0,1,2,3
"118","extravagant",12,1,1,1,2,4,3
"119","faithful",12,2,1,4,1,3,1
"120","maternal",12,1,5,2,0,2,2
"121","playful",12,2,5,1,1,2,1
"122","ungenerous",12,1,3,3,0,3,2
"123","ungracious",12,4,1,0,1,3,3
"124","bold",11,0,2,4,1,1,3
"125","confused",11,3,2,0,2,2,2
"126","gentlemanlike",11,3,3,1,2,0,2
"127","judicious",11,3,4,3,0,0,1
"128","just",11,4,2,2,2,1,0
"129","moral",11,1,6,0,2,2,0
"130","negligent",11,5,2,2,0,1,1
"131","shy",11,0,3,1,2,2,3
"132","solicitous",11,4,1,1,3,0,2
"133","thoughtless",11,4,3,1,1,1,1
"134","critical",10,2,3,1,1,1,2
"135","indulgent",10,2,3,2,0,1,2
"136","rough",10,1,4,0,4,1,0
"137","social",10,5,2,1,1,1,0
"138","spirited",10,2,2,0,1,1,4
"139","stable",10,2,4,2,1,0,1
"140","suspicious",10,2,2,0,3,1,2
"141","communicative",9,3,2,1,0,1,2
"142","considerate",9,2,4,0,0,0,3
"143","contrary",9,2,3,1,2,0,1
"144","courteous",9,0,5,0,3,1,0
"145","firm",9,2,0,1,1,3,2
"146","impartial",9,1,1,2,0,3,2
"147","insolent",9,4,0,0,0,4,1
"148","languid",9,1,3,1,0,0,4
"149","punctual",9,1,3,1,0,3,1
"150","ceremonious",8,3,1,0,1,3,0
"151","fervent",8,0,1,1,3,0,3
"152","negative",8,1,3,0,2,1,1
"153","respectful",8,2,2,1,0,1,2
"154","unfeeling",8,3,1,0,2,0,2
"155","benevolent",7,1,3,0,2,1,0
"156","candid",7,0,2,0,1,1,3
"157","charitable",7,4,1,0,2,0,0
"158","invariable",7,1,1,0,0,1,4
"159","irritable",7,1,0,1,1,2,2
"160","merry",7,1,2,0,1,1,2
"161","observant",7,2,0,0,3,0,2
"162","resentful",7,0,2,3,1,1,0
"163","uncivil",7,1,0,1,0,4,1
"164","unreserved",7,1,1,1,0,2,2
