"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","certain",1001,25,59,57,17,70,61,24,19,5,44,13,85,22,100,24,63,11,24,102,12,43,38,29,54,0
"2","quiet",820,27,61,71,9,72,57,24,13,3,36,27,65,22,59,18,47,8,29,43,11,48,7,12,50,1
"3","cold",773,27,52,48,7,36,71,32,5,22,37,14,36,17,45,16,55,7,45,36,11,66,14,19,53,2
"4","particular",760,15,33,45,21,43,43,35,25,0,26,15,45,22,73,6,60,14,20,39,15,59,23,42,40,1
"5","natural",712,19,34,64,6,56,56,41,13,10,22,15,48,35,46,12,45,11,7,43,18,32,19,29,30,1
"6","silent",673,17,56,37,2,43,56,22,35,14,18,12,34,19,50,13,41,8,30,32,11,25,22,34,42,0
"7","pleasant",650,9,35,52,11,50,32,30,4,10,19,11,36,36,70,6,51,12,14,28,11,48,17,11,44,3
"8","bright",631,21,61,62,3,58,66,2,0,7,27,11,52,4,56,24,28,5,16,45,5,31,1,1,43,2
"9","deep",576,18,49,29,8,35,66,12,11,11,15,7,25,8,53,11,33,4,39,36,8,40,5,4,48,1
"10","agreeable",550,6,15,47,9,45,21,38,10,5,13,12,37,41,37,5,26,16,7,31,29,29,34,18,19,0
"11","anxious",538,14,22,36,8,35,27,28,8,5,15,10,30,35,31,3,48,16,23,18,17,32,22,24,31,0
"12","kind",538,7,16,34,4,47,47,41,14,9,5,7,43,33,37,7,40,13,15,29,12,16,17,15,30,0
"13","proud",468,5,35,27,0,37,85,6,15,2,21,11,45,5,33,12,34,2,10,27,4,21,17,7,6,1
"14","gentle",442,9,30,17,2,34,44,14,10,22,10,8,22,17,38,5,28,7,27,15,7,27,5,8,33,3
"15","wild",428,22,32,29,30,37,41,3,3,11,17,11,22,5,24,12,22,9,13,18,6,22,11,4,24,0
"16","cheerful",416,5,33,27,6,36,23,27,9,11,12,10,15,13,36,7,22,7,12,20,8,26,6,12,33,0
"17","quick",401,17,25,28,1,20,37,20,10,7,8,14,34,16,29,9,22,10,17,23,7,4,9,8,23,3
