"agreeable" "bright" "certain" "cold" "deep" "gracious" "honest" "kind" "natural" "original" "particular" "proud" "quiet" "silent"
"agreeable" 0 6 10 3 3 4 0 4 8 5 4 2 2 3
"bright" 6 0 14 4 4 4 6 6 5 5 4 8 7 3
"certain" 10 14 0 7 9 6 10 10 13 7 14 10 14 9
"cold" 3 4 7 0 6 2 5 5 6 3 5 3 5 4
"deep" 3 4 9 6 0 4 5 1 3 3 3 3 7 5
"gracious" 4 4 6 2 4 0 2 1 5 2 2 4 4 2
"honest" 0 6 10 5 5 2 0 3 2 5 2 4 4 6
"kind" 4 6 10 5 1 1 3 0 5 3 3 4 5 3
"natural" 8 5 13 6 3 5 2 5 0 4 5 7 9 3
"original" 5 5 7 3 3 2 5 3 4 0 1 3 2 4
"particular" 4 4 14 5 3 2 2 3 5 1 0 3 7 3
"proud" 2 8 10 3 3 4 4 4 7 3 3 0 5 2
"quiet" 2 7 14 5 7 4 4 5 9 2 7 5 0 5
"silent" 3 3 9 4 5 2 6 3 3 4 3 2 5 0
