"affectionate" "agreeable" "anxious" "bright" "certain" "cheerful" "cold" "curious" "deep" "exact" "gentle" "graceful" "honest" "humble" "indifferent" "loud" "moral" "narrow" "natural" "particular" "pleasant" "political" "practical" "proper" "proud" "quick" "quiet" "simple" "slow" "steady" "stern" "wild"
"affectionate" 0 0 0 1 1 1 2 0 1 1 0 1 1 1 0 0 1 1 0 3 0 0 3 0 1 1 4 0 0 1 0 0
"agreeable" 0 0 1 1 2 0 1 1 1 1 0 1 0 1 1 1 0 0 2 0 1 1 0 4 2 1 3 0 0 0 0 0
"anxious" 0 1 0 2 1 1 1 1 1 0 1 1 0 0 0 0 1 1 2 1 1 0 0 0 0 0 3 0 2 3 0 1
"bright" 1 1 2 0 1 0 1 0 3 1 1 0 0 0 0 1 1 1 0 4 2 1 1 0 1 2 4 1 1 0 0 2
"certain" 1 2 1 1 0 3 4 0 2 0 3 0 2 0 1 0 2 2 1 2 2 1 0 0 0 3 6 1 3 1 3 1
"cheerful" 1 0 1 0 3 0 4 3 1 0 1 1 1 1 0 0 0 0 4 1 1 1 1 0 1 1 4 2 2 1 1 1
"cold" 2 1 1 1 4 4 0 2 1 1 0 2 0 1 3 2 0 1 4 3 0 2 2 1 3 1 3 2 1 1 0 2
"curious" 0 1 1 0 0 3 2 0 1 0 1 2 1 1 1 0 1 0 2 3 0 0 1 0 2 0 2 4 2 1 1 2
"deep" 1 1 1 3 2 1 1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 2 3 1 1 1 0 1
"exact" 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 2 1 1 2 2 1 0 1 0 1 1 1 0
"gentle" 0 0 1 1 3 1 0 1 1 0 0 0 2 2 1 0 2 2 1 0 1 0 0 0 3 0 5 0 4 0 1 1
"graceful" 1 1 1 0 0 1 2 2 0 1 0 0 0 0 2 0 1 1 2 2 0 1 2 1 2 0 0 1 1 1 0 1
"honest" 1 0 0 0 2 1 0 1 0 0 2 0 0 1 1 1 1 2 1 0 1 0 0 0 0 4 5 1 2 2 0 1
"humble" 1 1 0 0 0 1 1 1 0 0 2 0 1 0 0 0 1 0 1 0 1 0 0 1 2 0 2 0 1 1 0 1
"indifferent" 0 1 0 0 1 0 3 1 1 1 1 2 1 0 0 1 0 0 1 1 1 1 0 1 2 0 1 1 1 0 0 3
"loud" 0 1 0 1 0 0 2 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 2 2 0 0 0 0 1
"moral" 1 0 1 1 2 0 0 1 1 0 2 1 1 1 0 1 0 3 0 2 1 1 2 0 1 1 3 1 2 0 1 0
"narrow" 1 0 1 1 2 0 1 0 1 0 2 1 2 0 0 1 3 0 1 2 1 0 1 0 1 1 2 1 1 0 0 0
"natural" 0 2 2 0 1 4 4 2 0 2 1 2 1 1 1 0 0 1 0 0 1 2 1 1 3 1 4 4 2 0 0 0
"particular" 3 0 1 4 2 1 3 3 1 2 0 2 0 0 1 1 2 2 0 0 1 2 3 0 2 2 2 1 1 0 3 3
"pleasant" 0 1 1 2 2 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 0 0 1 1 4 0 3 0 0 2
"political" 0 1 0 1 1 1 2 0 0 1 0 1 0 0 1 0 1 0 2 2 0 0 1 1 1 1 0 0 1 0 0 1
"practical" 3 0 0 1 0 1 2 1 0 2 0 2 0 0 0 1 2 1 1 3 0 1 0 1 1 2 2 1 0 1 0 2
"proper" 0 4 0 0 0 0 1 0 0 2 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 2 0 0 1 0 0
"proud" 1 2 0 1 0 1 3 2 0 1 3 2 0 2 2 0 1 1 3 2 1 1 1 1 0 0 4 1 0 0 0 2
"quick" 1 1 0 2 3 1 1 0 2 0 0 0 4 0 0 2 1 1 1 2 1 1 2 0 0 0 4 0 1 1 0 4
"quiet" 4 3 3 4 6 4 3 2 3 1 5 0 5 2 1 2 3 2 4 2 4 0 2 2 4 4 0 1 3 3 1 1
"simple" 0 0 0 1 1 2 2 4 1 0 0 1 1 0 1 0 1 1 4 1 0 0 1 0 1 0 1 0 1 0 0 2
"slow" 0 0 2 1 3 2 1 2 1 1 4 1 2 1 1 0 2 1 2 1 3 1 0 0 0 1 3 1 0 1 1 2
"steady" 1 0 3 0 1 1 1 1 1 1 0 1 2 1 0 0 0 0 0 0 0 0 1 1 0 1 3 0 1 0 0 0
"stern" 0 0 0 0 3 1 0 1 0 1 1 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0
"wild" 0 0 1 2 1 1 2 2 1 0 1 1 1 1 3 1 0 0 0 3 2 1 2 0 2 4 1 2 2 0 0 0
