"MR4";"MR2";"MR6";"MR1";"MR5";"MR7";"MR3"
"close";0.100542972534721;0.239390619958415;0.0289272968840475;-0.0395959132296137;0.079818684105208;0.933880622504052;0.225320557609237
"fresh";0.243102428958451;-0.0895700077027956;0.265786817038626;0.920533586430188;0.10437667801306;-0.0356532514950651;-0.0181113079608806
"honest";0.12759532742763;-0.0713852715715327;0.286656473124801;0.021956503356894;-0.145286841350216;0.266336436223592;0.89628814396961
"open";0.816704383013998;-0.202234569857382;0.145469503216448;0.231437000461257;0.400030342537143;0.209826175465693;0.092068603689836
"second";0.194690898486014;0.358463355304863;0.233268675463029;0.61633972726267;0.531163494244038;-0.0420599659048907;0.129329005194036
"simple";0.77758968077264;0.119086658054191;0.175217287015258;0.199851845178057;0.0303302108752692;0.0238786844110021;0.0994109459316928
"soft";0.137185984901119;-0.064446532863127;0.148236204384133;0.129443141931685;0.952869203489351;0.0770184016105137;-0.148622137625662
"sure";0.199478066020925;0.906497096399023;-0.113686353640585;-0.049367909937067;-0.0950434270193827;0.259136225438352;-0.21396760225686
"sweet";0.324340764677078;0.107453450545815;0.787344781518545;0.393150635273609;0.13470375689712;0.272520961770168;0.122697094626174
"true";-0.502344544702131;0.706015749967624;-0.0608130673963959;0.0907589288736977;0.0815321860330109;0.0643642500161989;0.177177213358944
"wise";0.120148485497948;-0.279568816285966;0.836944712693316;0.186768586808646;0.194147407456971;-0.142837382266743;0.291436789577392
