"affectionate" "bright" "certain" "cheerful" "childish" "cold" "confident" "cool" "curious" "deep" "dull" "earnest" "expressive" "fierce" "firm" "friendly" "generous" "gentle" "gloomy" "kind" "modest" "moral" "musical" "narrow" "natural" "particular" "polite" "proud" "quick" "quiet" "silent" "slow" "solemn" "steady" "warm" "wild" "wise"
"affectionate" 0 2 2 0 2 1 0 1 2 0 0 3 2 1 1 2 2 2 0 1 0 0 1 0 2 2 0 0 0 2 2 2 0 1 1 0 0
"bright" 2 0 5 3 4 5 0 1 2 3 0 3 1 2 0 2 1 1 4 4 0 0 2 0 3 2 0 3 1 4 2 1 1 2 3 1 2
"certain" 2 5 0 1 2 1 0 1 2 1 1 3 0 2 1 3 1 2 3 1 2 3 0 1 3 0 1 1 1 2 6 2 1 1 2 3 2
"cheerful" 0 3 1 0 0 1 0 0 0 2 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 2 0 2 1 0 2 2 0 0 0
"childish" 2 4 2 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 2 1 1 1
"cold" 1 5 1 1 0 0 1 0 1 4 0 1 0 2 1 3 1 0 0 1 2 0 2 1 1 1 1 3 0 2 2 3 1 1 2 1 0
"confident" 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 0
"cool" 1 1 1 0 0 0 0 0 1 2 1 0 1 0 0 0 1 0 1 0 2 0 0 2 2 0 0 2 0 2 0 1 0 0 2 1 1
"curious" 2 2 2 0 1 1 1 1 0 2 0 2 2 0 0 0 1 1 0 2 1 1 1 2 1 1 1 1 1 4 1 2 1 1 2 0 0
"deep" 0 3 1 2 1 4 2 2 2 0 0 0 0 1 1 0 1 0 1 1 0 0 3 2 0 1 0 2 0 4 2 0 1 1 1 2 1
"dull" 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 2 1 1 0 0 1 0 0 0 3 0 0 3 1 2 2 0 1 1 0 2 2
"earnest" 3 3 3 1 1 1 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 3 1 0 0 0 3 0 1 1 1 1 0 0
"expressive" 2 1 0 0 1 0 0 1 2 0 0 1 0 1 0 0 0 0 0 1 2 0 0 1 2 1 1 2 0 1 1 1 2 0 0 1 0
"fierce" 1 2 2 0 1 2 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 2 1 1 1 0 0 0 0 1 1
"firm" 1 0 1 1 0 1 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 1 0 0 2 0 0 3 0 2 2 1 0 2 1 1 1
"friendly" 2 2 3 1 0 3 0 0 0 0 2 0 0 1 1 0 0 1 0 1 1 0 0 0 2 0 0 1 2 0 2 1 1 0 1 2 0
"generous" 2 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 2 1 1 1 1 4 0 1 1 2 1 1 1
"gentle" 2 1 2 0 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 2 0 0 1 0 3 2 0 0 1 1 1 1
"gloomy" 0 4 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 2 1
"kind" 1 4 1 1 0 1 0 0 2 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0
"modest" 0 0 2 0 0 2 0 2 1 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 3 1 1 4 0 1 2 0 0 0 1 0 1
"moral" 0 0 3 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 2 1 2 0 0 1 0 1
"musical" 1 2 0 1 2 2 1 0 1 3 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 0 1
"narrow" 0 0 1 0 0 1 1 2 2 2 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 0 2 0 2 1 1 0 0 1 0 0
"natural" 2 3 3 1 1 1 0 2 1 0 3 3 2 1 2 2 2 2 0 0 3 1 1 1 0 1 1 5 0 5 3 0 1 2 1 0 3
"particular" 2 2 0 1 0 1 0 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 2 0 1 0 0 1 0 1
"polite" 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1
"proud" 0 3 1 2 0 3 1 2 1 2 3 0 2 2 3 1 1 1 1 0 4 0 1 2 5 1 1 0 0 4 3 0 1 3 0 1 2
"quick" 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 2 0
"quiet" 2 4 2 2 1 2 1 2 4 4 2 3 1 1 2 0 4 3 1 0 1 2 1 2 5 2 1 4 4 0 1 0 1 2 2 1 2
"silent" 2 2 6 1 0 2 0 0 1 2 2 0 1 1 2 2 0 2 0 1 2 1 1 1 3 0 1 3 0 1 0 1 1 1 0 1 1
"slow" 2 1 2 0 0 3 1 1 2 0 0 1 1 0 1 1 1 0 0 1 0 2 0 1 0 1 1 0 0 0 1 0 1 0 2 0 0
"solemn" 0 1 1 2 0 1 1 0 1 1 1 1 2 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 0
"steady" 1 2 1 2 2 1 0 0 1 1 1 1 0 0 2 0 2 1 1 1 0 0 1 0 2 0 0 3 0 2 1 0 0 0 1 2 0
"warm" 1 3 2 0 1 2 0 2 2 1 0 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 2 0 2 0 1 0 0 1
"wild" 0 1 3 0 1 1 1 1 0 2 2 0 1 1 1 2 1 1 2 0 0 0 0 0 0 0 0 1 2 1 1 0 1 2 0 0 0
"wise" 0 2 2 0 1 0 0 1 0 1 2 0 0 1 1 0 1 1 1 0 1 1 1 0 3 1 1 2 0 2 1 0 0 0 1 0 0
