"agreeable" "anxious" "bold" "bright" "certain" "cheerful" "cold" "constant" "cruel" "deep" "distant" "dull" "earnest" "gentle" "haughty" "honest" "kind" "natural" "particular" "pleasant" "proud" "quick" "quiet" "rough" "silent" "simple" "slow" "solemn" "thoughtful" "violent" "warm" "wild"
"agreeable" 0 2 1 6 7 2 4 1 0 3 2 2 1 2 2 4 3 4 4 2 7 1 1 1 4 2 1 2 2 3 1 0
"anxious" 2 0 3 4 3 2 5 1 2 2 6 2 2 1 2 3 3 5 5 2 6 4 3 0 5 1 3 4 0 0 3 2
"bold" 1 3 0 5 2 1 5 2 2 9 2 0 2 4 2 2 2 3 1 5 9 5 1 1 6 0 2 1 2 3 1 4
"bright" 6 4 5 0 15 8 12 4 4 11 8 7 7 13 3 8 11 5 9 7 13 7 16 4 16 6 5 10 4 2 8 10
"certain" 7 3 2 15 0 5 13 2 1 8 3 5 6 8 3 5 6 9 10 9 13 6 8 2 14 2 6 4 8 4 3 7
"cheerful" 2 2 1 8 5 0 7 0 2 5 0 4 2 4 0 2 4 4 0 2 4 3 4 3 1 2 1 6 2 1 4 2
"cold" 4 5 5 12 13 7 0 3 6 13 8 6 3 12 9 2 6 10 7 3 16 9 13 6 11 6 4 10 6 2 11 7
"constant" 1 1 2 4 2 0 3 0 2 3 3 5 1 7 4 3 2 6 1 2 6 1 4 5 1 2 1 2 2 0 2 2
"cruel" 0 2 2 4 1 2 6 2 0 5 3 3 4 2 0 1 4 5 2 1 6 5 5 0 1 2 1 3 3 0 2 8
"deep" 3 2 9 11 8 5 13 3 5 0 9 5 7 9 4 5 7 10 7 10 17 4 12 6 7 3 3 7 3 3 4 7
"distant" 2 6 2 8 3 0 8 3 3 9 0 8 2 5 8 2 0 4 1 0 9 5 10 3 6 2 2 5 1 1 4 8
"dull" 2 2 0 7 5 4 6 5 3 5 8 0 2 5 4 3 4 5 2 5 6 2 3 4 4 1 2 6 0 0 4 1
"earnest" 1 2 2 7 6 2 3 1 4 7 2 2 0 5 3 1 8 7 3 2 11 4 6 2 6 1 1 1 3 3 3 5
"gentle" 2 1 4 13 8 4 12 7 2 9 5 5 5 0 3 2 7 8 3 4 11 4 12 6 8 10 1 6 4 2 3 9
"haughty" 2 2 2 3 3 0 9 4 0 4 8 4 3 3 0 2 0 5 0 0 12 1 2 2 2 0 0 3 0 1 2 3
"honest" 4 3 2 8 5 2 2 3 1 5 2 3 1 2 2 0 6 3 3 3 5 3 5 4 2 1 3 2 0 2 4 4
"kind" 3 3 2 11 6 4 6 2 4 7 0 4 8 7 0 6 0 11 7 2 9 4 6 3 10 5 4 3 6 1 6 5
"natural" 4 5 3 5 9 4 10 6 5 10 4 5 7 8 5 3 11 0 13 6 11 5 7 6 8 7 5 6 4 2 3 7
"particular" 4 5 1 9 10 0 7 1 2 7 1 2 3 3 0 3 7 13 0 5 7 2 5 3 10 3 4 4 2 2 3 3
"pleasant" 2 2 5 7 9 2 3 2 1 10 0 5 2 4 0 3 2 6 5 0 7 4 6 3 4 1 1 2 5 5 1 0
"proud" 7 6 9 13 13 4 16 6 6 17 9 6 11 11 12 5 9 11 7 7 0 12 18 6 14 6 4 2 6 4 5 8
"quick" 1 4 5 7 6 3 9 1 5 4 5 2 4 4 1 3 4 5 2 4 12 0 6 3 8 0 1 3 4 2 5 2
"quiet" 1 3 1 16 8 4 13 4 5 12 10 3 6 12 2 5 6 7 5 6 18 6 0 4 11 6 3 7 9 5 3 14
"rough" 1 0 1 4 2 3 6 5 0 6 3 4 2 6 2 4 3 6 3 3 6 3 4 0 1 2 1 1 3 2 4 5
"silent" 4 5 6 16 14 1 11 1 1 7 6 4 6 8 2 2 10 8 10 4 14 8 11 1 0 2 3 5 7 6 4 9
"simple" 2 1 0 6 2 2 6 2 2 3 2 1 1 10 0 1 5 7 3 1 6 0 6 2 2 0 2 3 1 1 0 3
"slow" 1 3 2 5 6 1 4 1 1 3 2 2 1 1 0 3 4 5 4 1 4 1 3 1 3 2 0 1 5 1 1 5
"solemn" 2 4 1 10 4 6 10 2 3 7 5 6 1 6 3 2 3 6 4 2 2 3 7 1 5 3 1 0 1 3 2 7
"thoughtful" 2 0 2 4 8 2 6 2 3 3 1 0 3 4 0 0 6 4 2 5 6 4 9 3 7 1 5 1 0 2 1 2
"violent" 3 0 3 2 4 1 2 0 0 3 1 0 3 2 1 2 1 2 2 5 4 2 5 2 6 1 1 3 2 0 1 3
"warm" 1 3 1 8 3 4 11 2 2 4 4 4 3 3 2 4 6 3 3 1 5 5 3 4 4 0 1 2 1 1 0 2
"wild" 0 2 4 10 7 2 7 2 8 7 8 1 5 9 3 4 5 7 3 0 8 2 14 5 9 3 5 7 2 3 2 0
