"agreeable" "anxious" "calm" "certain" "cold" "constant" "faithful" "firm" "honest" "just" "particular" "pleasant" "proper" "quiet" "religious" "serious" "tame" "violent" "wild" "wise"
"agreeable" 0 3 0 0 1 1 0 1 0 1 2 3 1 1 0 1 3 0 5 1
"anxious" 3 0 0 0 2 1 0 2 0 0 0 1 1 1 0 0 2 1 2 0
"calm" 0 0 0 1 0 0 1 1 0 0 1 2 2 3 1 2 1 2 2 2
"certain" 0 0 1 0 2 3 2 0 2 2 5 1 3 1 2 3 1 1 1 3
"cold" 1 2 0 2 0 1 0 0 0 1 0 2 1 0 0 0 1 1 1 0
"constant" 1 1 0 3 1 0 0 1 0 2 2 1 1 0 1 2 1 1 3 1
"faithful" 0 0 1 2 0 0 0 0 3 1 1 1 3 3 1 0 0 0 0 0
"firm" 1 2 1 0 0 1 0 0 0 0 1 0 3 2 2 2 2 1 4 0
"honest" 0 0 0 2 0 0 3 0 0 2 2 0 3 3 2 1 0 1 2 0
"just" 1 0 0 2 1 2 1 0 2 0 2 1 1 1 1 0 1 1 1 0
"particular" 2 0 1 5 0 2 1 1 2 2 0 2 6 1 3 1 3 1 5 2
"pleasant" 3 1 2 1 2 1 1 0 0 1 2 0 1 0 0 1 2 0 5 1
"proper" 1 1 2 3 1 1 3 3 3 1 6 1 0 3 3 1 2 0 8 0
"quiet" 1 1 3 1 0 0 3 2 3 1 1 0 3 0 2 1 1 2 3 0
"religious" 0 0 1 2 0 1 1 2 2 1 3 0 3 2 0 2 1 1 4 1
"serious" 1 0 2 3 0 2 0 2 1 0 1 1 1 1 2 0 0 1 1 3
"tame" 3 2 1 1 1 1 0 2 0 1 3 2 2 1 1 0 0 0 8 1
"violent" 0 1 2 1 1 1 0 1 1 1 1 0 0 2 1 1 0 0 4 0
"wild" 5 2 2 1 1 3 0 4 2 1 5 5 8 3 4 1 8 4 0 0
"wise" 1 0 2 3 0 1 0 0 0 0 2 1 0 0 1 3 1 0 0 0
