"bright" "capable" "clownish" "cold" "constant" "cunning" "curious" "dishonest" "dull" "eager" "earnest" "gentle" "gracious" "headlong" "honest" "ignorant" "indifferent" "ingenious" "melancholic" "modest" "passionate" "pleasant" "proper" "quick" "reasonable" "rough" "simple" "thorough" "wise"
"bright" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2
"capable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1
"clownish" 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"cold" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"constant" 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"cunning" 0 0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 2 1 0 1 0 0 0 0 0 1 0 0
"curious" 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0
"dishonest" 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"dull" 0 0 1 0 1 1 1 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"eager" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 3
"earnest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"gentle" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1
"gracious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 1
"headlong" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0
"honest" 0 0 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0
"ignorant" 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 1 0 0 1 1 1 1
"indifferent" 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"ingenious" 0 0 1 0 1 2 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0
"melancholic" 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0
"modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0
"passionate" 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
"pleasant" 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2
"proper" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1
"quick" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"reasonable" 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2
"rough" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
"simple" 0 0 1 0 1 1 1 1 1 0 0 1 1 0 2 1 0 1 1 0 1 0 0 0 1 0 0 0 1
"thorough" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0
"wise" 2 1 0 1 0 0 0 0 0 3 0 1 1 0 0 1 1 0 0 0 0 2 1 1 2 1 1 0 0
