"agreeable" "anxious" "bright" "certain" "cheerful" "cold" "curious" "deep" "distant" "dull" "friendly" "gentle" "gracious" "honest" "kind" "lively" "loud" "moral" "natural" "particular" "pleasant" "proud" "quick" "quiet" "serious" "silent" "simple" "solemn" "warm"
"agreeable" 0 5 7 7 4 7 4 5 3 3 4 5 2 5 7 2 4 4 6 12 8 4 1 8 4 6 5 2 3
"anxious" 5 0 4 10 5 0 3 5 3 4 2 8 3 5 3 2 3 0 1 5 9 3 3 7 3 7 3 1 3
"bright" 7 4 0 18 9 12 4 10 7 8 2 10 6 4 3 8 7 6 7 10 16 5 5 12 6 9 5 2 4
"certain" 7 10 18 0 17 12 6 15 8 5 8 11 8 10 11 8 10 6 16 26 21 11 9 15 10 11 8 11 8
"cheerful" 4 5 9 17 0 4 4 8 6 4 4 8 0 4 1 7 4 3 4 6 13 4 6 7 5 6 2 3 1
"cold" 7 0 12 12 4 0 7 12 4 8 4 6 3 3 9 3 5 8 7 7 7 0 8 12 3 11 7 4 8
"curious" 4 3 4 6 4 7 0 3 5 3 2 3 2 5 3 2 2 4 3 5 6 2 3 3 3 7 2 3 3
"deep" 5 5 10 15 8 12 3 0 7 5 8 6 2 4 5 7 3 3 10 12 7 8 5 11 3 8 3 4 4
"distant" 3 3 7 8 6 4 5 7 0 5 3 8 2 2 1 3 3 1 3 4 6 6 5 7 0 10 2 3 2
"dull" 3 4 8 5 4 8 3 5 5 0 2 7 0 4 5 3 2 2 2 2 5 0 2 11 1 9 3 3 3
"friendly" 4 2 2 8 4 4 2 8 3 2 0 3 3 6 3 2 2 1 3 6 3 2 3 6 2 3 1 2 4
"gentle" 5 8 10 11 8 6 3 6 8 7 3 0 3 4 5 6 5 1 5 6 10 6 2 13 2 11 3 4 2
"gracious" 2 3 6 8 0 3 2 2 2 0 3 3 0 2 6 7 1 1 2 5 8 1 0 5 2 1 1 2 2
"honest" 5 5 4 10 4 3 5 4 2 4 6 4 2 0 8 1 2 2 4 3 4 2 3 7 1 8 4 4 3
"kind" 7 3 3 11 1 9 3 5 1 5 3 5 6 8 0 1 0 1 5 8 6 1 1 7 1 3 1 2 1
"lively" 2 2 8 8 7 3 2 7 3 3 2 6 7 1 1 0 2 2 6 11 9 5 6 7 3 4 4 2 3
"loud" 4 3 7 10 4 5 2 3 3 2 2 5 1 2 0 2 0 1 3 4 8 4 4 4 0 6 3 1 2
"moral" 4 0 6 6 3 8 4 3 1 2 1 1 1 2 1 2 1 0 5 7 4 0 4 3 2 4 4 3 5
"natural" 6 1 7 16 4 7 3 10 3 2 3 5 2 4 5 6 3 5 0 12 9 7 5 7 3 7 3 4 3
"particular" 12 5 10 26 6 7 5 12 4 2 6 6 5 3 8 11 4 7 12 0 17 7 3 14 9 6 4 9 5
"pleasant" 8 9 16 21 13 7 6 7 6 5 3 10 8 4 6 9 8 4 9 17 0 9 8 16 6 6 7 8 8
"proud" 4 3 5 11 4 0 2 8 6 0 2 6 1 2 1 5 4 0 7 7 9 0 2 3 5 1 3 1 1
"quick" 1 3 5 9 6 8 3 5 5 2 3 2 0 3 1 6 4 4 5 3 8 2 0 8 2 9 2 4 3
"quiet" 8 7 12 15 7 12 3 11 7 11 6 13 5 7 7 7 4 3 7 14 16 3 8 0 4 16 5 4 7
"serious" 4 3 6 10 5 3 3 3 0 1 2 2 2 1 1 3 0 2 3 9 6 5 2 4 0 2 4 2 1
"silent" 6 7 9 11 6 11 7 8 10 9 3 11 1 8 3 4 6 4 7 6 6 1 9 16 2 0 4 7 7
"simple" 5 3 5 8 2 7 2 3 2 3 1 3 1 4 1 4 3 4 3 4 7 3 2 5 4 4 0 2 6
"solemn" 2 1 2 11 3 4 3 4 3 3 2 4 2 4 2 2 1 3 4 9 8 1 4 4 2 7 2 0 5
"warm" 3 3 4 8 1 8 3 4 2 3 4 2 2 3 1 3 2 5 3 5 8 1 3 7 1 7 6 5 0
