"affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "certain" "cheerful" "civil" "cold" "constant" "determined" "dull" "eager" "earnest" "gentle" "indifferent" "intimate" "kind" "natural" "particular" "pleasant" "proper" "quiet" "reasonable" "selfish" "serious" "silent" "simple" "sincere" "smart" "violent" "warm"
"affectionate" 0 2 5 0 3 4 7 1 2 4 1 1 1 4 0 1 2 1 2 5 6 1 4 3 2 1 3 5 1 2 0 2 1
"agreeable" 2 0 2 4 0 1 4 1 6 4 3 1 4 3 2 2 1 1 2 4 6 3 0 2 0 0 5 6 1 0 4 2 0
"amiable" 5 2 0 1 0 3 3 1 3 4 3 2 0 4 3 1 2 0 0 5 4 1 3 2 1 3 2 3 3 2 0 3 2
"anxious" 0 4 1 0 2 4 4 1 3 4 4 3 3 1 4 0 1 1 5 6 10 3 2 1 4 1 4 6 6 3 2 5 2
"calm" 3 0 0 2 0 0 4 2 0 3 1 3 0 0 2 1 1 3 1 2 2 1 0 2 4 0 1 4 2 2 1 1 0
"capable" 4 1 3 4 0 0 4 1 0 4 5 1 1 1 4 3 3 1 1 6 8 1 2 3 2 2 2 5 3 2 0 2 1
"certain" 7 4 3 4 4 4 0 2 1 1 5 3 2 3 1 1 3 4 3 6 8 4 4 3 1 2 3 6 8 2 1 2 3
"cheerful" 1 1 1 1 2 1 2 0 1 3 2 1 1 1 2 0 1 1 2 0 4 0 2 3 1 2 5 6 1 2 1 3 2
"civil" 2 6 3 3 0 0 1 1 0 2 2 1 2 1 1 2 0 0 2 2 3 2 0 2 0 0 2 3 1 0 2 3 1
"cold" 4 4 4 4 3 4 1 3 2 0 3 1 1 5 3 2 2 1 2 4 8 2 0 2 2 2 3 4 2 1 1 4 2
"constant" 1 3 3 4 1 5 5 2 2 3 0 3 0 0 4 2 4 3 2 3 8 1 2 1 2 1 4 5 4 3 1 2 2
"determined" 1 1 2 3 3 1 3 1 1 1 3 0 1 3 0 1 1 1 2 1 3 3 1 0 1 2 1 5 1 2 0 1 1
"dull" 1 4 0 3 0 1 2 1 2 1 0 1 0 3 1 1 0 0 2 3 3 1 2 1 1 1 1 6 1 2 2 1 1
"eager" 4 3 4 1 0 1 3 1 1 5 0 3 3 0 1 0 1 0 0 2 4 2 3 1 1 5 3 5 2 0 0 2 1
"earnest" 0 2 3 4 2 4 1 2 1 3 4 0 1 1 0 1 2 2 1 8 5 1 3 1 2 2 6 6 3 3 0 2 1
"gentle" 1 2 1 0 1 3 1 0 2 2 2 1 1 0 1 0 2 1 0 3 2 0 0 2 0 1 1 3 1 0 2 1 0
"indifferent" 2 1 2 1 1 3 3 1 0 2 4 1 0 1 2 2 0 0 1 2 5 0 2 0 2 0 2 3 1 0 1 1 0
"intimate" 1 1 0 1 3 1 4 1 0 1 3 1 0 0 2 1 0 0 1 1 5 1 3 1 3 1 3 1 3 2 1 1 1
"kind" 2 2 0 5 1 1 3 2 2 2 2 2 2 0 1 0 1 1 0 4 6 2 2 1 1 0 4 9 3 1 0 2 3
"natural" 5 4 5 6 2 6 6 0 2 4 3 1 3 2 8 3 2 1 4 0 7 2 5 3 2 3 5 11 8 3 2 3 4
"particular" 6 6 4 10 2 8 8 4 3 8 8 3 3 4 5 2 5 5 6 7 0 6 5 4 6 3 6 6 6 3 4 5 7
"pleasant" 1 3 1 3 1 1 4 0 2 2 1 3 1 2 1 0 0 1 2 2 6 0 0 0 0 0 0 2 1 0 0 2 1
"proper" 4 0 3 2 0 2 4 2 0 0 2 1 2 3 3 0 2 3 2 5 5 0 0 1 1 2 1 5 1 5 1 1 2
"quiet" 3 2 2 1 2 3 3 3 2 2 1 0 1 1 1 2 0 1 1 3 4 0 1 0 1 0 2 7 1 1 1 3 3
"reasonable" 2 0 1 4 4 2 1 1 0 2 2 1 1 1 2 0 2 3 1 2 6 0 1 1 0 1 2 3 3 2 0 1 1
"selfish" 1 0 3 1 0 2 2 2 0 2 1 2 1 5 2 1 0 1 0 3 3 0 2 0 1 0 2 3 1 0 0 1 1
"serious" 3 5 2 4 1 2 3 5 2 3 4 1 1 3 6 1 2 3 4 5 6 0 1 2 2 2 0 8 2 1 1 3 1
"silent" 5 6 3 6 4 5 6 6 3 4 5 5 6 5 6 3 3 1 9 11 6 2 5 7 3 3 8 0 4 4 2 3 4
"simple" 1 1 3 6 2 3 8 1 1 2 4 1 1 2 3 1 1 3 3 8 6 1 1 1 3 1 2 4 0 1 1 4 1
"sincere" 2 0 2 3 2 2 2 2 0 1 3 2 2 0 3 0 0 2 1 3 3 0 5 1 2 0 1 4 1 0 0 1 2
"smart" 0 4 0 2 1 0 1 1 2 1 1 0 2 0 0 2 1 1 0 2 4 0 1 1 0 0 1 2 1 0 0 1 0
"violent" 2 2 3 5 1 2 2 3 3 4 2 1 1 2 2 1 1 1 2 3 5 2 1 3 1 1 3 3 4 1 1 0 2
"warm" 1 0 2 2 0 1 3 2 1 2 2 1 1 1 1 0 0 1 3 4 7 1 2 3 1 1 1 4 1 2 0 2 0
