"affectionate" "agreeable" "amiable" "anxious" "capable" "careless" "certain" "cheerful" "clever" "cold" "constant" "deep" "determined" "eager" "earnest" "faithful" "fearful" "foolish" "generous" "gentle" "honest" "ignorant" "impatient" "independent" "intelligent" "intimate" "jealous" "kind" "lively" "natural" "particular" "pleasant" "proper" "quick" "quiet" "rational" "reasonable" "resentful" "serious" "severe" "silent" "simple" "sincere" "solemn" "speedy" "steady" "vain" "violent" "warm" "wild" "wise"
"affectionate" 0 0 0 2 1 1 2 2 1 2 1 0 1 3 1 0 1 1 0 0 1 2 0 1 1 1 1 2 0 2 0 1 0 1 1 1 2 0 0 2 3 0 0 0 1 1 2 0 2 1 1
"agreeable" 0 0 1 3 0 1 1 0 1 0 2 0 0 0 0 0 1 0 1 2 0 1 2 0 1 1 1 1 2 2 3 3 1 0 1 1 0 0 0 0 0 2 1 0 1 1 0 0 0 1 0
"amiable" 0 1 0 1 1 0 1 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
"anxious" 2 3 1 0 2 0 1 0 1 2 0 1 2 2 0 1 3 1 2 2 0 0 2 0 0 0 1 3 0 2 2 2 1 4 3 0 2 1 1 2 0 3 0 0 0 0 1 3 0 0 1
"capable" 1 0 1 2 0 0 1 1 0 0 0 0 0 1 0 2 1 0 1 0 0 1 2 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 4 0 1 0 1 1 0 1 1 1 0 1
"careless" 1 1 0 0 0 0 0 2 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0
"certain" 2 1 1 1 1 0 0 1 0 0 2 1 0 3 1 0 0 2 0 1 0 1 1 1 1 2 1 1 2 1 1 2 0 2 3 0 0 1 0 1 2 0 2 0 0 0 1 0 1 1 1
"cheerful" 2 0 1 0 1 2 1 0 1 1 2 0 0 3 0 2 0 1 0 1 3 1 0 0 1 1 0 2 0 1 1 0 0 1 1 1 0 0 0 1 1 2 1 1 1 0 0 0 1 0 1
"clever" 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 1 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 1 0 1 0 2 0 1 1 0 1 0 1 0 1
"cold" 2 0 0 2 0 1 0 1 0 0 1 0 1 2 0 0 3 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 2 1 0 0 1 1 0 2 0 0 0 0 0 2 2 0 0 0
"constant" 1 2 1 0 0 1 2 2 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 2 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0
"deep" 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1
"determined" 1 0 1 2 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0
"eager" 3 0 0 2 1 1 3 3 0 2 1 1 2 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 3 1 0 1 2 1 0 0 1 0 1 3 1 0 0 0 1 3 0 2 1 1
"earnest" 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 1 1 1 0 0
"faithful" 0 0 1 1 2 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 2 0 1 1 1 1 0 1 0 0 0 0
"fearful" 1 1 1 3 1 0 0 0 0 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 2 3 1 0 1 0 1 2 1 1 0 0 1 0 1 2 3 0 0 1
"foolish" 1 0 0 1 0 0 2 1 2 1 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 2 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 2 1 1 0 0
"generous" 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 0 0 0 1 0 2 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 0
"gentle" 0 2 1 2 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 1 2 0 0 0 0 2 1 0 0 1 0 0 0 2 2 0 0 0 0 0 1 0 0
"honest" 1 0 1 0 0 1 0 3 1 1 0 1 0 0 0 1 0 1 0 2 0 0 0 1 0 1 0 2 0 0 1 2 1 1 0 2 1 0 0 0 0 2 0 1 1 1 0 0 0 1 0
"ignorant" 2 1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 2 1 0 0 1 2 2 0 1 0 1 1 1 0 0 2 0 0 0 0 0 1 1 0 2 0 1
"impatient" 0 2 1 2 2 0 1 0 0 0 0 1 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 2 1 0 0 0 1 1 2 2 0 2 0 0 1 0 1 0 0 2 0
"independent" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 2 1 0 0 1 0 1 1 0 0 0 0 0 2 0 0 2 0 0 0 2 0
"intelligent" 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1
"intimate" 1 1 0 0 1 0 2 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1
"jealous" 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0
"kind" 2 1 2 3 0 0 1 2 1 1 0 1 0 1 0 0 2 1 1 1 2 0 3 1 0 0 1 0 0 2 2 2 1 1 0 0 1 1 1 0 0 2 1 0 1 1 1 0 0 3 0
"lively" 0 2 0 0 0 1 2 0 0 0 2 0 0 0 1 0 0 1 0 2 0 1 0 1 1 0 2 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0
"natural" 2 2 0 2 0 0 1 1 1 0 1 1 1 3 1 0 1 1 2 0 0 2 1 2 1 0 0 2 1 0 3 1 2 1 1 2 1 1 1 1 1 0 1 1 1 1 2 0 1 2 0
"particular" 0 3 0 2 1 0 1 1 2 0 1 1 3 1 0 0 2 2 1 0 1 2 0 1 1 1 0 2 1 3 0 1 3 1 0 2 0 0 1 0 1 2 0 2 1 1 2 1 1 2 1
"pleasant" 1 3 2 2 0 0 2 0 0 1 1 0 0 0 0 0 2 0 1 0 2 0 2 0 0 2 0 2 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0
"proper" 0 1 0 1 1 1 0 0 0 1 1 1 0 1 0 1 3 0 1 0 1 1 1 0 1 1 0 1 1 2 3 1 0 0 0 2 0 0 2 1 1 0 0 1 1 1 2 0 1 0 0
"quick" 1 0 0 4 0 0 2 1 0 2 1 2 1 2 1 1 1 1 0 2 1 0 0 1 0 0 1 1 0 1 1 0 0 0 2 0 0 0 0 0 1 0 2 0 0 1 1 3 1 0 1
"quiet" 1 1 0 3 1 0 3 1 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 2 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1
"rational" 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 1 2 2 0 2 0 0 0 1 0 1 0 0 1 0 2 0 1 0 0 0 1 0
"reasonable" 2 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0
"resentful" 0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0
"serious" 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 1 1 1 2 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0
"severe" 2 0 1 2 4 0 1 1 1 0 0 0 0 1 1 2 1 1 1 0 0 2 2 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 2 1 2 0 1
"silent" 3 0 0 0 0 1 2 1 0 2 1 0 1 3 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0
"simple" 0 2 0 3 1 1 0 2 2 0 1 0 0 1 0 1 0 1 1 2 2 0 2 0 0 0 0 2 0 0 2 0 0 0 1 1 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0
"sincere" 0 1 0 0 0 1 2 1 0 0 1 0 0 0 1 1 0 1 0 2 0 0 0 2 0 0 2 1 3 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"solemn" 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 1 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1
"speedy" 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0
"steady" 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0
"vain" 2 0 0 1 1 0 1 0 1 2 0 0 1 3 1 1 2 2 1 0 0 1 1 0 0 1 1 1 0 2 2 1 2 1 1 0 1 0 0 2 1 0 0 0 1 1 0 0 1 0 0
"violent" 0 0 0 3 1 0 0 0 0 2 0 1 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1
"warm" 2 0 0 0 1 1 1 1 1 0 0 1 1 2 1 0 0 1 0 1 0 2 0 0 1 1 0 0 0 1 1 0 1 1 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 1
"wild" 1 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 2 2 0 0 1 3 1 2 2 2 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0
"wise" 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0
