"active" "affectionate" "agreeable" "amiable" "anxious" "capable" "certain" "cheerful" "clever" "cold" "constant" "determined" "eager" "elegant" "friendly" "gentle" "impatient" "kind" "lively" "modest" "natural" "particular" "pleasant" "proper" "quick" "quiet" "reasonable" "selfish" "serious" "silent" "simple" "steady" "warm"
"active" 0 0 3 1 3 1 2 2 1 0 2 1 2 0 2 1 3 2 1 2 3 1 2 4 0 4 0 1 0 0 1 3 0
"affectionate" 0 0 3 0 4 0 1 1 1 1 1 4 1 1 0 0 1 3 1 3 3 1 1 4 2 1 1 0 1 3 1 0 4
"agreeable" 3 3 0 2 5 5 7 4 6 2 2 3 3 8 3 5 1 8 6 4 12 6 15 5 5 7 3 2 5 3 3 2 6
"amiable" 1 0 2 0 3 2 4 1 2 3 1 1 2 1 0 3 0 3 3 1 3 1 2 2 1 2 2 2 1 1 2 2 2
"anxious" 3 4 5 3 0 1 4 3 1 2 1 4 3 2 3 3 4 4 3 2 6 2 3 7 4 3 0 1 5 3 1 4 4
"capable" 1 0 5 2 1 0 3 1 0 4 2 4 3 2 2 3 0 2 2 4 5 2 3 5 3 2 3 1 4 1 1 3 5
"certain" 2 1 7 4 4 3 0 2 1 5 3 1 1 2 0 2 0 2 2 2 7 4 4 4 3 6 2 2 3 2 2 2 0
"cheerful" 2 1 4 1 3 1 2 0 1 2 1 2 1 1 0 1 3 1 2 1 4 1 4 2 1 3 2 0 0 1 0 3 1
"clever" 1 1 6 2 1 0 1 1 0 0 2 0 1 2 0 3 0 3 1 2 2 2 4 4 3 0 1 2 5 0 2 0 1
"cold" 0 1 2 3 2 4 5 2 0 0 0 3 1 2 0 1 0 4 4 0 5 1 5 2 2 2 2 2 1 2 2 1 2
"constant" 2 1 2 1 1 2 3 1 2 0 0 1 1 2 1 3 1 2 2 2 4 3 3 2 0 2 1 0 2 1 2 1 1
"determined" 1 4 3 1 4 4 1 2 0 3 1 0 4 1 2 2 1 3 2 0 6 1 5 6 2 1 3 2 1 2 0 3 1
"eager" 2 1 3 2 3 3 1 1 1 1 1 4 0 2 2 1 3 3 2 2 5 2 4 1 3 0 0 1 4 2 3 1 2
"elegant" 0 1 8 1 2 2 2 1 2 2 2 1 2 0 0 2 0 1 4 3 4 3 5 3 4 1 1 0 3 1 1 1 2
"friendly" 2 0 3 0 3 2 0 0 0 0 1 2 2 0 0 2 0 2 1 1 4 2 3 3 2 2 3 1 3 2 1 1 1
"gentle" 1 0 5 3 3 3 2 1 3 1 3 2 1 2 2 0 0 2 1 2 2 2 2 3 1 2 1 0 3 3 0 3 3
"impatient" 3 1 1 0 4 0 0 3 0 0 1 1 3 0 0 0 0 4 0 2 3 2 2 2 1 3 1 0 1 0 1 2 0
"kind" 2 3 8 3 4 2 2 1 3 4 2 3 3 1 2 2 4 0 5 3 7 4 8 4 2 1 5 3 6 3 3 1 5
"lively" 1 1 6 3 3 2 2 2 1 4 2 2 2 4 1 1 0 5 0 0 7 3 7 4 2 1 1 1 5 3 2 2 7
"modest" 2 3 4 1 2 4 2 1 2 0 2 0 2 3 1 2 2 3 0 0 2 1 4 5 4 2 1 0 4 1 2 1 2
"natural" 3 3 12 3 6 5 7 4 2 5 4 6 5 4 4 2 3 7 7 2 0 4 10 8 3 5 3 1 5 5 4 2 5
"particular" 1 1 6 1 2 2 4 1 2 1 3 1 2 3 2 2 2 4 3 1 4 0 2 1 3 4 2 2 2 3 0 3 1
"pleasant" 2 1 15 2 3 3 4 4 4 5 3 5 4 5 3 2 2 8 7 4 10 2 0 6 5 6 2 3 5 5 4 3 6
"proper" 4 4 5 2 7 5 4 2 4 2 2 6 1 3 3 3 2 4 4 5 8 1 6 0 4 4 1 1 5 2 0 4 3
"quick" 0 2 5 1 4 3 3 1 3 2 0 2 3 4 2 1 1 2 2 4 3 3 5 4 0 2 1 1 5 2 1 1 1
"quiet" 4 1 7 2 3 2 6 3 0 2 2 1 0 1 2 2 3 1 1 2 5 4 6 4 2 0 0 1 2 3 1 3 0
"reasonable" 0 1 3 2 0 3 2 2 1 2 1 3 0 1 3 1 1 5 1 1 3 2 2 1 1 0 0 2 2 1 1 0 1
"selfish" 1 0 2 2 1 1 2 0 2 2 0 2 1 0 1 0 0 3 1 0 1 2 3 1 1 1 2 0 1 0 1 1 1
"serious" 0 1 5 1 5 4 3 0 5 1 2 1 4 3 3 3 1 6 5 4 5 2 5 5 5 2 2 1 0 6 2 2 6
"silent" 0 3 3 1 3 1 2 1 0 2 1 2 2 1 2 3 0 3 3 1 5 3 5 2 2 3 1 0 6 0 2 3 3
"simple" 1 1 3 2 1 1 2 0 2 2 2 0 3 1 1 0 1 3 2 2 4 0 4 0 1 1 1 1 2 2 0 0 3
"steady" 3 0 2 2 4 3 2 3 0 1 1 3 1 1 1 3 2 1 2 1 2 3 3 4 1 3 0 1 2 3 0 0 3
"warm" 0 4 6 2 4 5 0 1 1 2 1 1 2 2 1 3 0 5 7 2 5 1 6 3 1 0 1 1 6 3 3 3 0
