"active" "agreeable" "anxious" "bold" "brave" "bright" "certain" "cheerful" "cold" "constant" "cool" "cruel" "deep" "distant" "dull" "earnest" "fierce" "friendly" "gentle" "gloomy" "hearty" "honest" "humble" "kind" "loud" "moral" "natural" "original" "particular" "pleasant" "profound" "proud" "quick" "quiet" "rough" "serious" "silent" "slow" "solemn" "stable" "steady" "warm" "wild" "wise"
"active" 0 0 0 3 1 6 4 2 3 1 3 2 1 2 4 0 2 0 1 3 1 1 2 0 3 2 1 0 2 1 0 1 4 3 2 1 3 0 2 3 0 3 0 2
"agreeable" 0 0 2 2 1 4 7 7 5 3 1 2 2 1 4 1 1 2 2 0 2 2 2 1 0 0 3 4 1 5 0 4 0 3 0 1 3 0 1 0 0 2 0 1
"anxious" 0 2 0 4 4 4 7 4 3 2 1 3 2 5 3 2 1 1 0 1 1 1 1 3 0 0 4 2 6 1 1 2 2 4 2 0 4 0 4 2 2 0 6 4
"bold" 3 2 4 0 4 8 9 3 6 0 1 1 6 3 8 3 2 3 2 2 3 5 3 3 2 4 2 3 6 4 6 8 4 8 6 3 3 2 2 2 3 1 8 3
"brave" 1 1 4 4 0 6 3 1 3 1 1 0 3 4 2 1 2 2 2 4 1 2 2 0 0 0 1 1 3 2 1 2 3 3 2 1 3 1 2 1 2 1 3 2
"bright" 6 4 4 8 6 0 11 10 19 4 4 4 11 11 13 1 7 5 10 5 5 4 5 4 4 4 4 3 7 7 4 8 6 16 6 3 16 8 5 9 2 4 10 5
"certain" 4 7 7 9 3 11 0 12 12 6 3 4 9 4 9 5 2 4 4 4 7 7 5 4 6 4 10 8 6 5 2 9 6 11 5 5 9 5 6 4 1 4 10 8
"cheerful" 2 7 4 3 1 10 12 0 7 5 3 1 5 2 10 1 1 2 5 4 5 5 2 5 4 2 3 2 6 11 1 5 1 7 2 3 9 4 4 4 1 4 3 4
"cold" 3 5 3 6 3 19 12 7 0 3 2 4 14 6 12 1 2 4 8 4 6 7 3 3 6 1 10 3 7 8 1 5 5 10 7 7 12 6 4 2 3 8 7 2
"constant" 1 3 2 0 1 4 6 5 3 0 1 4 3 4 4 1 2 1 3 1 3 1 3 0 1 0 3 0 2 3 2 2 2 8 1 2 3 1 0 1 1 2 5 4
"cool" 3 1 1 1 1 4 3 3 2 1 0 0 2 1 3 4 0 1 1 0 0 0 0 1 0 2 2 2 3 3 0 0 2 2 2 1 4 1 2 1 0 4 0 4
"cruel" 2 2 3 1 0 4 4 1 4 4 0 0 1 1 3 0 3 3 1 1 2 1 1 0 3 0 2 2 1 4 0 3 1 6 1 1 3 1 1 1 1 2 1 1
"deep" 1 2 2 6 3 11 9 5 14 3 2 1 0 8 10 4 3 5 5 3 8 9 2 3 6 3 5 3 8 5 7 3 3 17 6 3 11 3 4 4 3 4 5 1
"distant" 2 1 5 3 4 11 4 2 6 4 1 1 8 0 6 1 6 2 6 4 2 5 2 4 4 3 2 2 5 3 1 4 7 12 1 2 7 1 3 5 1 0 8 4
"dull" 4 4 3 8 2 13 9 10 12 4 3 3 10 6 0 2 3 5 2 5 4 5 3 2 3 3 4 4 4 7 1 5 3 11 5 1 13 3 3 3 4 7 5 3
"earnest" 0 1 2 3 1 1 5 1 1 1 4 0 4 1 2 0 0 1 1 2 0 1 0 2 1 1 4 2 2 1 5 6 2 1 3 0 4 1 2 1 2 2 1 1
"fierce" 2 1 1 2 2 7 2 1 2 2 0 3 3 6 3 0 0 1 3 1 0 1 0 0 4 1 0 0 1 1 1 2 2 5 1 1 3 1 2 1 1 0 4 0
"friendly" 0 2 1 3 2 5 4 2 4 1 1 3 5 2 5 1 1 0 0 1 2 4 1 1 4 0 1 2 3 2 1 1 2 2 1 1 6 3 0 1 2 1 0 1
"gentle" 1 2 0 2 2 10 4 5 8 3 1 1 5 6 2 1 3 0 0 2 1 10 1 2 1 1 4 1 4 8 0 3 4 10 2 3 6 2 1 3 1 2 4 2
"gloomy" 3 0 1 2 4 5 4 4 4 1 0 1 3 4 5 2 1 1 2 0 1 2 0 2 2 0 3 3 4 1 1 3 2 4 4 1 5 1 1 2 1 2 3 1
"hearty" 1 2 1 3 1 5 7 5 6 3 0 2 8 2 4 0 0 2 1 1 0 5 2 2 3 1 4 1 4 4 1 1 1 4 1 2 3 4 0 2 1 3 3 0
"honest" 1 2 1 5 2 4 7 5 7 1 0 1 9 5 5 1 1 4 10 2 5 0 3 4 2 4 3 2 4 5 3 8 3 7 3 1 7 2 2 2 5 2 6 1
"humble" 2 2 1 3 2 5 5 2 3 3 0 1 2 2 3 0 0 1 1 0 2 3 0 0 4 2 2 3 0 3 2 6 4 4 1 0 5 0 1 2 3 1 3 2
"kind" 0 1 3 3 0 4 4 5 3 0 1 0 3 4 2 2 0 1 2 2 2 4 0 0 1 0 1 0 3 1 2 5 1 6 2 2 5 1 2 2 0 2 2 1
"loud" 3 0 0 2 0 4 6 4 6 1 0 3 6 4 3 1 4 4 1 2 3 2 4 1 0 0 2 4 1 2 0 6 4 6 1 2 7 2 2 2 2 1 4 1
"moral" 2 0 0 4 0 4 4 2 1 0 2 0 3 3 3 1 1 0 1 0 1 4 2 0 0 0 3 2 3 3 1 2 0 2 2 1 7 1 1 1 3 2 3 2
"natural" 1 3 4 2 1 4 10 3 10 3 2 2 5 2 4 4 0 1 4 3 4 3 2 1 2 3 0 4 3 5 1 5 2 4 3 5 9 2 4 2 1 5 5 4
"original" 0 4 2 3 1 3 8 2 3 0 2 2 3 2 4 2 0 2 1 3 1 2 3 0 4 2 4 0 4 4 4 4 0 4 1 0 5 1 3 0 2 1 2 1
"particular" 2 1 6 6 3 7 6 6 7 2 3 1 8 5 4 2 1 3 4 4 4 4 0 3 1 3 3 4 0 6 3 7 5 5 4 2 8 2 4 3 2 2 7 2
"pleasant" 1 5 1 4 2 7 5 11 8 3 3 4 5 3 7 1 1 2 8 1 4 5 3 1 2 3 5 4 6 0 4 7 2 7 5 4 7 2 3 2 2 6 3 2
"profound" 0 0 1 6 1 4 2 1 1 2 0 0 7 1 1 5 1 1 0 1 1 3 2 2 0 1 1 4 3 4 0 6 0 5 4 1 3 3 3 4 2 1 1 1
"proud" 1 4 2 8 2 8 9 5 5 2 0 3 3 4 5 6 2 1 3 3 1 8 6 5 6 2 5 4 7 7 6 0 2 6 5 2 5 0 5 6 3 1 8 1
"quick" 4 0 2 4 3 6 6 1 5 2 2 1 3 7 3 2 2 2 4 2 1 3 4 1 4 0 2 0 5 2 0 2 0 5 2 2 3 2 1 3 0 0 3 4
"quiet" 3 3 4 8 3 16 11 7 10 8 2 6 17 12 11 1 5 2 10 4 4 7 4 6 6 2 4 4 5 7 5 6 5 0 8 8 13 3 8 5 3 4 11 4
"rough" 2 0 2 6 2 6 5 2 7 1 2 1 6 1 5 3 1 1 2 4 1 3 1 2 1 2 3 1 4 5 4 5 2 8 0 1 4 3 1 1 4 3 4 1
"serious" 1 1 0 3 1 3 5 3 7 2 1 1 3 2 1 0 1 1 3 1 2 1 0 2 2 1 5 0 2 4 1 2 2 8 1 0 3 2 3 1 1 1 2 0
"silent" 3 3 4 3 3 16 9 9 12 3 4 3 11 7 13 4 3 6 6 5 3 7 5 5 7 7 9 5 8 7 3 5 3 13 4 3 0 5 6 3 4 9 4 3
