"agreeable" "amiable" "anxious" "certain" "cheerful" "civil" "clever" "cold" "determined" "eager" "elegant" "friendly" "gentle" "indifferent" "kind" "natural" "obliging" "particular" "pleasant" "proper" "quick" "quiet" "rational" "reasonable" "serious" "severe" "silent" "simple" "vain" "warm"
"agreeable" 0 10 6 4 7 2 3 9 3 2 6 5 3 1 7 10 4 4 12 9 8 5 6 6 7 8 4 3 1 5
"amiable" 10 0 6 3 4 4 4 4 4 1 6 3 3 1 13 11 7 8 6 5 7 1 5 2 3 6 3 2 3 3
"anxious" 6 6 0 7 4 3 2 3 2 3 1 2 1 1 6 5 5 6 4 10 4 3 1 4 2 2 2 0 1 4
"certain" 4 3 7 0 1 1 3 3 2 2 3 4 0 4 5 5 2 6 4 5 3 4 1 2 1 2 5 1 2 4
"cheerful" 7 4 4 1 0 3 3 6 2 1 1 6 5 1 5 8 0 2 8 8 1 3 5 3 3 2 5 2 3 9
"civil" 2 4 3 1 3 0 2 2 1 0 1 2 2 4 6 5 3 4 6 3 2 1 2 2 2 3 0 1 0 2
"clever" 3 4 2 3 3 2 0 2 1 0 4 1 3 3 4 9 2 5 5 2 4 1 2 1 0 1 1 2 2 3
"cold" 9 4 3 3 6 2 2 0 5 4 4 3 2 3 8 6 5 5 6 5 4 4 3 6 5 2 6 3 1 3
"determined" 3 4 2 2 2 1 1 5 0 0 1 2 0 2 5 2 2 4 5 2 2 0 2 1 4 1 4 0 1 1
"eager" 2 1 3 2 1 0 0 4 0 0 2 1 2 0 3 0 1 2 3 1 2 2 2 0 1 1 3 2 2 3
"elegant" 6 6 1 3 1 1 4 4 1 2 0 0 4 0 8 6 3 7 3 4 6 7 2 3 0 4 1 1 3 4
"friendly" 5 3 2 4 6 2 1 3 2 1 0 0 0 3 5 2 0 1 5 5 1 1 1 1 2 4 5 1 2 4
"gentle" 3 3 1 0 5 2 3 2 0 2 4 0 0 0 4 5 3 0 4 3 2 3 2 1 1 2 1 0 2 2
"indifferent" 1 1 1 4 1 4 3 3 2 0 0 3 0 0 3 4 3 4 1 2 1 0 0 3 1 2 3 2 1 3
"kind" 7 13 6 5 5 6 4 8 5 3 8 5 4 3 0 14 7 11 6 8 7 5 2 5 4 6 4 5 3 6
"natural" 10 11 5 5 8 5 9 6 2 0 6 2 5 4 14 0 2 15 6 12 7 9 5 7 5 5 7 6 2 6
"obliging" 4 7 5 2 0 3 2 5 2 1 3 0 3 3 7 2 0 6 2 2 4 1 0 1 2 0 2 2 2 2
"particular" 4 8 6 6 2 4 5 5 4 2 7 1 0 4 11 15 6 0 5 10 2 4 4 5 2 4 1 6 2 4
"pleasant" 12 6 4 4 8 6 5 6 5 3 3 5 4 1 6 6 2 5 0 9 4 4 2 4 6 5 4 1 3 3
"proper" 9 5 10 5 8 3 2 5 2 1 4 5 3 2 8 12 2 10 9 0 4 9 3 3 3 1 4 0 2 6
"quick" 8 7 4 3 1 2 4 4 2 2 6 1 2 1 7 7 4 2 4 4 0 4 2 3 1 2 3 1 2 2
"quiet" 5 1 3 4 3 1 1 4 0 2 7 1 3 0 5 9 1 4 4 9 4 0 2 4 1 3 2 0 3 3
"rational" 6 5 1 1 5 2 2 3 2 2 2 1 2 0 2 5 0 4 2 3 2 2 0 3 2 6 1 1 1 1
"reasonable" 6 2 4 2 3 2 1 6 1 0 3 1 1 3 5 7 1 5 4 3 3 4 3 0 2 4 2 3 1 2
"serious" 7 3 2 1 3 2 0 5 4 1 0 2 1 1 4 5 2 2 6 3 1 1 2 2 0 2 5 3 3 2
"severe" 8 6 2 2 2 3 1 2 1 1 4 4 2 2 6 5 0 4 5 1 2 3 6 4 2 0 1 2 2 1
"silent" 4 3 2 5 5 0 1 6 4 3 1 5 1 3 4 7 2 1 4 4 3 2 1 2 5 1 0 3 3 6
"simple" 3 2 0 1 2 1 2 3 0 2 1 1 0 2 5 6 2 6 1 0 1 0 1 3 3 2 3 0 1 1
"vain" 1 3 1 2 3 0 2 1 1 2 3 2 2 1 3 2 2 2 3 2 2 3 1 1 3 2 3 1 0 1
"warm" 5 3 4 4 9 2 3 3 1 3 4 4 2 3 6 6 2 4 3 6 2 3 1 2 2 1 6 1 1 0
